# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,96
# meta,0,0,tempo,750000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,53,80,0,88
1,0,69,80,0,264
1,0,72,80,0,264
2,0,57,80,96,184
1,0,60,80,192,280
1,0,61,80,288,376
1,0,67,80,288,376
1,0,70,80,288,376
1,0,62,80,384,648
1,0,67,80,384,576
1,0,70,80,384,576
1,0,65,80,576,664
1,0,69,80,576,664
1,0,60,80,672,760
2,0,58,80,768,912
1,0,67,80,768,816
1,0,70,80,768,816
1,0,66,80,816,864
1,0,69,80,816,864
1,0,67,80,864,912
1,0,70,80,864,912
2,0,57,80,912,956
1,0,69,80,912,956
1,0,72,80,912,956
2,0,55,80,960,1008
1,0,70,80,960,1008
1,0,74,80,960,1008
2,0,57,80,1008,1056
1,0,69,80,1008,1056
1,0,72,80,1008,1056
2,0,58,80,1056,1104
1,0,67,80,1056,1104
1,0,70,80,1056,1104
2,0,59,80,1104,1148
1,0,65,80,1104,1148
1,0,69,80,1104,1148
1,0,60,80,1152,1344
1,0,65,80,1152,1328
1,0,69,80,1152,1344
2,0,58,80,1344,1432
1,0,64,80,1344,1432
1,0,67,80,1344,1388
1,0,69,80,1392,1436
1,0,70,80,1440,1484
1,0,71,80,1488,1532
2,0,53,80,1536,1624
1,0,69,80,1536,1824
1,0,72,80,1536,1824
2,0,57,80,1632,1720
1,0,60,80,1728,1816
1,0,61,80,1824,1912
1,0,67,80,1824,1912
1,0,70,80,1824,1912
1,0,62,80,1920,2184
1,0,67,80,1920,2112
1,0,70,80,1920,2112
1,0,65,80,2112,2200
1,0,69,80,2112,2288
1,0,60,80,2208,2296
1,0,66,80,2208,2296
2,0,58,80,2304,2480
1,0,67,80,2304,2496
1,0,70,80,2304,2328
1,0,72,80,2328,2352
1,0,70,80,2352,2376
1,0,69,80,2376,2400
1,0,70,80,2400,2424
1,0,72,80,2424,2448
1,0,74,80,2448,2472
1,0,70,80,2472,2496
1,0,60,80,2496,2672
