# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,62,80,0,96
1,0,62,80,96,384
1,0,64,80,384,480
1,0,65,80,480,576
1,0,67,80,576,672
1,0,69,80,672,768
1,0,70,80,768,864
1,0,61,80,864,960
1,0,70,80,960,1056
1,0,69,80,1056,1152
1,0,67,80,1152,1248
1,0,76,80,1248,1536
1,0,67,80,1536,1632
1,0,65,80,1632,1728
1,0,61,80,1728,1824
1,0,62,80,1824,1920
2,0,57,80,1920,2016
2,0,58,80,2016,2112
1,0,62,80,2112,2208
1,0,65,80,2208,2304
1,0,67,80,2304,2400
1,0,61,80,2400,2496
2,0,57,80,2496,2592
1,0,61,80,2592,2688
1,0,64,80,2688,2784
1,0,69,80,2784,2848
1,0,67,80,2848,2912
1,0,65,80,2912,2976
1,0,67,80,2976,3040
1,0,65,80,3040,3104
1,0,64,80,3104,3168
1,0,65,80,3168,3264
1,0,62,80,3264,3360
1,0,65,80,3360,3456
1,0,69,80,3456,3552
1,0,70,80,3552,3616
1,0,69,80,3616,3680
1,0,67,80,3680,3744
1,0,69,80,3744,3808
1,0,67,80,3808,3872
1,0,65,80,3872,3936
1,0,64,80,3936,4032
1,0,67,80,4032,4128
1,0,70,80,4128,4224
1,0,74,80,4224,4320
1,0,72,80,4320,4384
1,0,70,80,4384,4448
1,0,69,80,4448,4512
1,0,70,80,4512,4576
1,0,69,80,4576,4640
1,0,67,80,4640,4704
1,0,69,80,4704,4800
1,0,65,80,4800,4896
1,0,69,80,4896,4992
1,0,72,80,4992,5088
1,0,77,80,5088,5184
1,0,79,80,5184,5280
1,0,81,80,5280,5376
1,0,72,80,5376,5472
1,0,74,80,5472,5568
1,0,69,80,5568,5664
1,0,70,80,5664,5760
1,0,74,80,5760,5856
1,0,79,80,5856,5952
1,0,81,80,5952,6048
