# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,428571
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,62,80,0,192
2,0,66,80,0,192
1,0,69,80,0,192
1,0,74,80,0,192
1,0,74,80,384,576
2,0,62,80,768,1056
2,0,67,80,768,1056
1,0,71,80,768,1056
2,0,66,80,1056,1152
1,0,70,80,1056,1152
2,0,67,80,1152,1344
1,0,71,80,1152,1344
2,0,64,80,1440,1536
1,0,73,80,1440,1536
2,0,62,80,1536,1728
2,0,66,80,1536,1728
1,0,69,80,1536,1728
1,0,74,80,1536,1728
1,0,74,80,1920,2112
2,0,62,80,2304,2592
2,0,67,80,2304,2592
1,0,71,80,2304,2592
2,0,66,80,2592,2688
1,0,70,80,2592,2688
2,0,67,80,2688,2880
1,0,71,80,2688,2880
2,0,64,80,2976,3072
1,0,73,80,2976,3072
2,0,62,80,3072,3264
2,0,66,80,3072,3264
1,0,69,80,3072,3264
1,0,74,80,3072,3264
2,0,69,80,3456,3648
1,0,73,80,3456,3648
1,0,76,80,3456,3648
2,0,74,80,3840,4032
1,0,78,80,3840,4032
1,0,74,80,4224,4416
1,0,78,80,4224,4416
2,0,62,80,4608,4800
2,0,69,80,4608,4800
1,0,76,80,4608,4800
1,0,79,80,4608,4800
1,0,74,80,4896,4992
1,0,78,80,4896,4992
1,0,73,80,4992,5184
1,0,76,80,4992,5184
1,0,71,80,5280,5376
1,0,74,80,5280,5376
2,0,69,80,5376,5568
1,0,73,80,5376,5568
1,0,76,80,5376,5568
2,0,69,80,5568,5664
2,0,69,80,5664,5760
2,0,69,80,5760,5952
2,0,69,80,5952,6144
2,0,62,80,6144,6336
2,0,66,80,6144,6336
1,0,69,80,6144,6336
1,0,74,80,6144,6336
1,0,74,80,6528,6720
2,0,62,80,6912,7200
2,0,67,80,6912,7200
1,0,71,80,6912,7200
2,0,66,80,7200,7296
1,0,70,80,7200,7296
