# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,550461
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,48,80,0,2048
1,0,79,80,0,170.66666666666666
2,0,52,80,554.6666666666666,938.6666666666666
2,0,55,80,554.6666666666666,938.6666666666666
1,0,84,80,554.6666666666666,682.6666666666666
2,0,52,80,1066.6666666666665,1450.6666666666665
2,0,55,80,1066.6666666666665,1450.6666666666665
1,0,79,80,1066.6666666666665,1194.6666666666665
2,0,52,80,1536,2005.3333333333333
2,0,55,80,1536,2048
1,0,88,80,1536,1621.3333333333333
2,0,48,80,2048,4096
1,0,88,80,2048,2645.333333333333
2,0,54,80,2602.6666666666665,2986.6666666666665
2,0,57,80,2602.6666666666665,2986.6666666666665
1,0,86,80,2602.6666666666665,2858.6666666666665
1,0,85,80,2816,3029.333333333333
2,0,54,80,3114.6666666666665,3498.6666666666665
2,0,57,80,3114.6666666666665,3498.6666666666665
1,0,86,80,3114.6666666666665,3242.6666666666665
2,0,54,80,3584,4053.333333333333
2,0,57,80,3584,4096
1,0,84,80,3584,3754.6666666666665
2,0,48,80,4096,6144
1,0,83,80,4096,4266.666666666666
2,0,53,80,4650.666666666666,5034.666666666666
2,0,55,80,4650.666666666666,5034.666666666666
1,0,86,80,4650.666666666666,4778.666666666666
2,0,53,80,5162.666666666666,5546.666666666666
2,0,55,80,5162.666666666666,5546.666666666666
1,0,83,80,5162.666666666666,5290.666666666666
2,0,53,80,5632,6101.333333333333
2,0,55,80,5632,6144
1,0,93,80,5632,5717.333333333333
2,0,48,80,6144,8192
1,0,93,80,6144,6741.333333333333
2,0,52,80,6698.666666666666,7082.666666666666
2,0,55,80,6698.666666666666,7082.666666666666
1,0,91,80,6698.666666666666,6954.666666666666
1,0,90,80,6912,7125.333333333333
2,0,52,80,7210.666666666666,7594.666666666666
2,0,55,80,7210.666666666666,7594.666666666666
1,0,91,80,7210.666666666666,7338.666666666666
2,0,52,80,7680,8149.333333333333
2,0,55,80,7680,8192
1,0,88,80,7680,7850.666666666666
2,0,48,80,8192,10240
1,0,79,80,8192,8362.666666666666
2,0,52,80,8746.666666666666,9130.666666666666
2,0,55,80,8746.666666666666,9130.666666666666
1,0,84,80,8746.666666666666,8874.666666666666
2,0,52,80,9258.666666666666,9642.666666666666
2,0,55,80,9258.666666666666,9642.666666666666
1,0,79,80,9258.666666666666,9386.666666666666
2,0,52,80,9728,10197.333333333332
2,0,55,80,9728,10240
1,0,88,80,9728,9813.333333333332
2,0,48,80,10240,12288
1,0,88,80,10240,10837.333333333332
2,0,54,80,10794.666666666666,11178.666666666666
2,0,57,80,10794.666666666666,11178.666666666666
1,0,86,80,10794.666666666666,11050.666666666666
1,0,85,80,11008,11221.333333333332
2,0,54,80,11306.666666666666,11690.666666666666
2,0,57,80,11306.666666666666,11690.666666666666
1,0,86,80,11306.666666666666,11434.666666666666
2,0,54,80,11776,12245.333333333332
2,0,57,80,11776,12288
1,0,84,80,11776,11946.666666666666
2,0,48,80,12288,14336
1,0,83,80,12288,12800
2,0,53,80,12842.666666666666,13226.666666666666
2,0,55,80,12842.666666666666,13226.666666666666
1,0,93,80,12842.666666666666,13098.666666666666
1,0,91,80,13056,13269.333333333332
2,0,53,80,13354.666666666666,13738.666666666666
2,0,55,80,13354.666666666666,13738.666666666666
1,0,89,80,13354.666666666666,13482.666666666666
2,0,53,80,13824,14293.333333333332
2,0,55,80,13824,14336
1,0,86,80,13824,13994.666666666666
2,0,48,80,14336,15872
1,0,84,80,14336,14506.666666666666
2,0,52,80,14890.666666666666,15274.666666666666
2,0,55,80,14890.666666666666,15274.666666666666
1,0,88,80,14890.666666666666,15018.666666666666
2,0,52,80,15402.666666666666,15872
2,0,55,80,15402.666666666666,15872
1,0,84,80,15402.666666666666,15530.666666666666
2,0,55,80,16384,16981.333333333332
2,0,59,80,16384,16938.666666666664
1,0,86,80,16384,16981.333333333332
2,0,50,80,16938.666666666664,17493.333333333332
1,0,91,80,16938.666666666664,17493.333333333332
2,0,55,80,17450.666666666664,18005.333333333332
2,0,59,80,17450.666666666664,17920
1,0,83,80,17450.666666666664,18005.333333333332
2,0,50,80,17920,18346.666666666664
1,0,88,80,17920,18346.666666666664
2,0,55,80,18432,19029.333333333332
2,0,59,80,18432,18986.666666666664
