# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,57,80,160,320
2,0,59,80,320,480
1,0,60,80,480,640
2,0,59,80,640,800
2,0,57,80,800,960
2,0,55,80,960,1120
2,0,59,80,1120,1280
2,0,57,80,1280,1440
2,0,55,80,1440,1600
2,0,54,80,1600,1760
2,0,52,80,1760,1920
2,0,33,80,1920,2880
2,0,52,80,1920,2880
2,0,57,80,1920,2880
1,0,60,80,1920,2880
2,0,28,80,2880,3360
2,0,52,80,2880,3360
2,0,55,80,2880,3360
2,0,59,80,2880,3360
2,0,57,80,4000,4160
2,0,59,80,4160,4320
1,0,60,80,4320,4480
2,0,59,80,4480,4640
2,0,57,80,4640,4800
2,0,55,80,4800,4960
2,0,59,80,4960,5120
2,0,57,80,5120,5280
2,0,55,80,5280,5440
1,0,71,80,5280,5520
2,0,54,80,5440,5600
1,0,71,80,5520,5760
2,0,52,80,5600,5760
2,0,33,80,5760,6720
2,0,52,80,5760,6720
2,0,57,80,5760,6720
1,0,60,80,5760,6720
1,0,72,80,5760,6240
1,0,71,80,6240,6480
1,0,69,80,6480,6720
2,0,28,80,6720,7200
2,0,52,80,6720,7200
2,0,55,80,6720,7200
2,0,59,80,6720,7200
1,0,71,80,6720,7200
1,0,64,80,7200,7440
1,0,64,80,8160,8400
1,0,66,80,8400,8640
2,0,36,80,8640,9600
2,0,48,80,8640,9600
2,0,52,80,8640,9600
2,0,58,80,8640,9600
1,0,64,80,8640,9600
1,0,67,80,8640,9120
1,0,66,80,9120,9360
1,0,67,80,9120,9180
1,0,69,80,9120,9180
1,0,64,80,9360,9600
2,0,35,80,9600,10080
2,0,43,80,9600,10560
2,0,47,80,9600,10080
2,0,54,80,9600,10080
2,0,59,80,9600,10080
1,0,63,80,9600,10080
1,0,63,80,9600,10080
1,0,66,80,10080,10320
2,0,43,80,10560,10720
1,0,71,80,10560,11040
2,0,59,80,10720,10880
1,0,67,80,10720,10880
1,0,62,80,10880,11040
1,0,69,80,10880,11040
1,0,67,80,11040,11200
1,0,69,80,11040,11280
1,0,71,80,11040,11200
1,0,62,80,11200,11360
1,0,69,80,11200,11360
1,0,67,80,11280,11520
2,0,59,80,11360,11520
1,0,67,80,11360,11520
2,0,38,80,11520,11680
2,0,38,80,11520,12000
1,0,66,80,11520,11760
2,0,54,80,11680,11840
1,0,62,80,11680,11840
1,0,69,80,11760,12000
2,0,57,80,11840,12000
1,0,64,80,11840,12000
2,0,45,80,12000,12640
1,0,62,80,12000,12480
1,0,66,80,12000,12480
1,0,69,80,12000,12240
1,0,62,80,12240,12480
2,0,45,80,12480,12960
1,0,72,80,12480,12960
1,0,60,80,12640,12800
1,0,69,80,12640,12800
1,0,64,80,12800,12960
1,0,71,80,12800,12960
1,0,69,80,12960,13120
