# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,61,80,0,480
1,0,73,80,0,480
1,0,85,80,0,480
2,0,59,80,480,600
1,0,71,80,480,600
1,0,83,80,480,600
2,0,57,80,600,720
1,0,69,80,600,720
1,0,81,80,600,720
2,0,59,80,720,2160
1,0,71,80,720,780
1,0,71,80,720,2160
1,0,83,80,720,780
1,0,83,80,720,2160
2,0,30,80,2160,2520
2,0,42,80,2160,2520
2,0,49,80,2160,3600
2,0,55,80,2160,3600
2,0,59,80,2160,3600
1,0,61,80,2160,3600
2,0,47,80,2520,2640
2,0,43,80,2640,2880
2,0,42,80,2880,3240
2,0,47,80,3240,3360
2,0,43,80,3360,3600
2,0,42,80,3600,3960
2,0,49,80,3600,4320
2,0,55,80,3600,4320
2,0,59,80,3600,4320
1,0,61,80,3600,4320
2,0,47,80,3960,4080
2,0,43,80,4080,4320
2,0,42,80,4320,4680
2,0,49,80,4320,5760
2,0,55,80,4320,5760
2,0,59,80,4320,5760
1,0,61,80,4320,5760
2,0,47,80,4680,4800
2,0,43,80,4800,5040
2,0,42,80,5040,5400
2,0,47,80,5400,5520
2,0,43,80,5520,5760
2,0,42,80,5760,6120
2,0,49,80,5760,6480
2,0,55,80,5760,6480
2,0,59,80,5760,6480
1,0,61,80,5760,6480
2,0,47,80,6120,6240
2,0,43,80,6240,6480
2,0,42,80,6480,6840
2,0,55,80,6480,7920
2,0,59,80,6480,7920
1,0,61,80,6480,7920
1,0,73,80,6480,6960
2,0,47,80,6840,6960
2,0,43,80,6960,7200
1,0,71,80,6960,7080
1,0,69,80,7080,7200
2,0,42,80,7200,7560
1,0,71,80,7200,7920
2,0,47,80,7560,7680
2,0,43,80,7680,7920
2,0,42,80,7920,8280
2,0,55,80,7920,8640
2,0,59,80,7920,8640
1,0,61,80,7920,8640
1,0,71,80,7920,8400
2,0,47,80,8280,8400
2,0,43,80,8400,8640
1,0,73,80,8400,8640
2,0,42,80,8640,9000
2,0,52,80,8640,10080
2,0,55,80,8640,10080
2,0,59,80,8640,10080
1,0,62,80,8640,10080
1,0,74,80,8640,9120
2,0,47,80,9000,9120
2,0,43,80,9120,9360
1,0,71,80,9120,9360
2,0,42,80,9360,9720
1,0,71,80,9360,10080
2,0,47,80,9720,9840
2,0,43,80,9840,10080
2,0,42,80,10080,10440
2,0,52,80,10080,10800
2,0,55,80,10080,10800
2,0,59,80,10080,10800
1,0,62,80,10080,10800
1,0,71,80,10080,10560
2,0,47,80,10440,10560
2,0,43,80,10560,10800
1,0,71,80,10560,10800
2,0,42,80,10800,11160
2,0,57,80,10800,11520
1,0,61,80,10800,11520
1,0,64,80,10800,11520
1,0,76,80,10800,11280
2,0,44,80,11160,11280
2,0,45,80,11280,11520
1,0,74,80,11280,11400
1,0,73,80,11400,11520
2,0,47,80,11520,11880
1,0,62,80,11520,12000
1,0,66,80,11520,12000
1,0,69,80,11520,12000
1,0,74,80,11520,12000
2,0,49,80,11880,12000
2,0,50,80,12000,12240
1,0,64,80,12000,12240
1,0,68,80,12000,12240
1,0,71,80,12000,12240
1,0,71,80,12000,12240
2,0,47,80,12240,12600
1,0,62,80,12240,12720
1,0,66,80,12240,12720
1,0,69,80,12240,12720
1,0,69,80,12240,12720
2,0,49,80,12600,12720
2,0,50,80,12720,12960
1,0,64,80,12720,12960
1,0,68,80,12720,12960
1,0,71,80,12720,12960
1,0,71,80,12720,12960
2,0,54,80,12960,13320
1,0,66,80,12960,13680
1,0,67,80,12960,13440
1,0,71,80,12960,13440
1,0,74,80,12960,13440
2,0,52,80,13320,13440
2,0,50,80,13440,13680
1,0,66,80,13440,14160
1,0,69,80,13440,13680
1,0,73,80,13440,13680
2,0,49,80,13680,14040
1,0,62,80,13680,14160
1,0,66,80,13680,14400
1,0,69,80,13680,14160
2,0,47,80,14040,14160
2,0,45,80,14160,14400
2,0,59,80,14160,14400
1,0,62,80,14160,14400
1,0,66,80,14160,14400
2,0,47,80,14400,14760
2,0,57,80,14400,14880
1,0,62,80,14400,14880
1,0,66,80,14400,14880
2,0,45,80,14760,14880
2,0,43,80,14880,15120
2,0,54,80,14880,15120
2,0,59,80,14880,15120
2,0,42,80,15120,15480
2,0,55,80,15120,16560
2,0,59,80,15120,16560
1,0,61,80,15120,16560
1,0,73,80,15120,15600
2,0,47,80,15480,15600
2,0,43,80,15600,15840
1,0,71,80,15600,15840
2,0,42,80,15840,16200
1,0,74,80,15840,16560
2,0,47,80,16200,16320
2,0,43,80,16320,16560
2,0,42,80,16560,16920
2,0,55,80,16560,17280
2,0,59,80,16560,17280
1,0,61,80,16560,17280
1,0,74,80,16560,17040
2,0,47,80,16920,17040
2,0,43,80,17040,17280
1,0,71,80,17040,17280
2,0,42,80,17280,17640
2,0,52,80,17280,18720
2,0,55,80,17280,18720
1,0,60,80,17280,18720
1,0,64,80,17280,18720
1,0,76,80,17280,17520
1,0,72,80,17520,18000
2,0,47,80,17640,17760
2,0,43,80,17760,18000
2,0,42,80,18000,18360
1,0,72,80,18000,18720
2,0,47,80,18360,18480
2,0,43,80,18480,18720
2,0,42,80,18720,19080
2,0,52,80,18720,19440
2,0,55,80,18720,19440
1,0,60,80,18720,19440
1,0,64,80,18720,19440
1,0,72,80,18720,19200
2,0,47,80,19080,19200
2,0,43,80,19200,19440
1,0,72,80,19200,19440
2,0,42,80,19440,19800
2,0,56,80,19440,20160
1,0,60,80,19440,20160
1,0,63,80,19440,20160
1,0,66,80,19440,20160
1,0,78,80,19440,20160
2,0,44,80,19800,19920
2,0,46,80,19920,20160
2,0,47,80,20160,20520
2,0,55,80,20160,20640
2,0,59,80,20160,20640
1,0,62,80,20160,20640
1,0,78,80,20160,20640
2,0,49,80,20520,20640
2,0,50,80,20640,20880
2,0,59,80,20640,20880
1,0,62,80,20640,20880
1,0,67,80,20640,20880
1,0,74,80,20640,20880
2,0,52,80,20880,21240
1,0,61,80,20880,21360
1,0,64,80,20880,21360
1,0,69,80,20880,21360
1,0,76,80,20880,21360
2,0,54,80,21240,21360
2,0,55,80,21360,21600
1,0,64,80,21360,21600
1,0,69,80,21360,21600
1,0,69,80,21360,21600
1,0,73,80,21360,21600
2,0,47,80,21600,22320
2,0,54,80,21600,22320
1,0,71,80,21600,23040
2,0,47,80,22080,23040
2,0,54,80,22080,23040
2,0,59,80,22320,22800
1,0,74,80,22320,22440
1,0,81,80,22320,22440
1,0,83,80,22440,22560
1,0,74,80,22560,22680
1,0,81,80,22560,22680
1,0,83,80,22680,22800
1,0,66,80,22800,23040
1,0,74,80,22800,22920
1,0,81,80,22800,22920
1,0,83,80,22920,23040
1,0,71,80,23040,23520
1,0,71,80,23040,23760
1,0,74,80,23040,23160
1,0,81,80,23040,23160
1,0,83,80,23160,23280
1,0,74,80,23280,23400
1,0,81,80,23280,23400
1,0,83,80,23400,23520
1,0,74,80,23520,23640
1,0,78,80,23520,23760
1,0,81,80,23520,23640
1,0,83,80,23640,23760
1,0,71,80,23760,24000
1,0,71,80,23760,24240
1,0,74,80,23760,23880
1,0,81,80,23760,23880
1,0,83,80,23880,24000
1,0,74,80,24000,24120
1,0,81,80,24000,24120
1,0,83,80,24120,24240
1,0,74,80,24240,24360
1,0,78,80,24240,24480
1,0,81,80,24240,24360
1,0,83,80,24360,24480
1,0,71,80,24480,24960
1,0,74,80,24480,24600
1,0,81,80,24480,24600
1,0,83,80,24600,24720
1,0,74,80,24720,24840
1,0,81,80,24720,24840
1,0,83,80,24840,24960
1,0,66,80,24960,25200
1,0,74,80,24960,25080
1,0,81,80,24960,25080
1,0,83,80,25080,25200
2,0,59,80,25200,25680
1,0,74,80,25200,25320
1,0,81,80,25200,25320
1,0,83,80,25320,25440
1,0,74,80,25440,25560
1,0,81,80,25440,25560
1,0,83,80,25560,25680
1,0,66,80,25680,25920
1,0,71,80,25680,25920
1,0,74,80,25680,25800
1,0,81,80,25680,25800
1,0,83,80,25800,25920
2,0,59,80,25920,27360
1,0,68,80,25920,26400
1,0,76,80,25920,26400
1,0,76,80,25920,26640
1,0,83,80,25920,26400
1,0,64,80,26400,26640
1,0,73,80,26400,26640
1,0,80,80,26400,26640
1,0,66,80,26640,27120
1,0,76,80,26640,27120
1,0,76,80,26640,27120
1,0,81,80,26640,27120
1,0,64,80,27120,27360
1,0,73,80,27120,27360
1,0,73,80,27120,27360
1,0,78,80,27120,27360
2,0,59,80,27360,28080
1,0,66,80,27360,27840
1,0,74,80,27360,27600
1,0,74,80,27360,27840
1,0,81,80,27360,27840
1,0,71,80,27600,28080
1,0,62,80,27840,28080
1,0,71,80,27840,28080
1,0,78,80,27840,28080
2,0,59,80,28080,29520
1,0,68,80,28080,28560
1,0,76,80,28080,28560
1,0,76,80,28080,28560
1,0,83,80,28080,28560
1,0,64,80,28560,28800
1,0,73,80,28560,28800
1,0,73,80,28560,28800
1,0,80,80,28560,28800
1,0,66,80,28800,29280
1,0,73,80,28800,29520
1,0,76,80,28800,29280
1,0,81,80,28800,29280
1,0,64,80,29280,29520
1,0,73,80,29280,29520
1,0,78,80,29280,29520
2,0,59,80,29520,30240
1,0,66,80,29520,30000
1,0,73,80,29520,30000
1,0,74,80,29520,30000
1,0,81,80,29520,30000
