# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,468750
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,50,80,0,576
2,0,54,80,0,576
1,0,66,80,0,576
1,0,72,80,0,576
2,0,49,80,576,768
2,0,56,80,576,768
1,0,65,80,576,768
1,0,73,80,576,768
2,0,47,80,768,960
2,0,49,80,768,960
1,0,65,80,768,960
1,0,68,80,768,960
2,0,46,80,1344,1536
2,0,49,80,1344,1536
1,0,66,80,1344,1536
1,0,70,80,1344,1536
2,0,44,80,1536,1824
1,0,63,80,1536,1824
1,0,71,80,1536,1824
2,0,46,80,1824,1920
1,0,61,80,1824,1920
1,0,70,80,1824,1920
2,0,47,80,1920,2112
1,0,59,80,1920,2112
1,0,68,80,1920,2112
2,0,48,80,2112,2304
1,0,58,80,2112,2304
1,0,66,80,2112,2304
2,0,49,80,2304,2688
1,0,56,80,2304,2688
1,0,65,80,2304,2688
2,0,64,80,3072,3648
2,0,67,80,3072,3648
1,0,70,80,3072,3648
1,0,73,80,3072,3648
2,0,63,80,3648,3840
2,0,66,80,3648,3840
1,0,71,80,3648,3840
1,0,75,80,3648,3840
2,0,61,80,3840,4224
2,0,64,80,3840,4224
1,0,73,80,3840,4224
1,0,76,80,3840,4224
2,0,59,80,4416,4608
2,0,63,80,4416,4608
1,0,75,80,4416,4608
1,0,78,80,4416,4608
2,0,52,80,4608,4992
2,0,56,80,4608,4896
1,0,76,80,4608,4896
1,0,80,80,4608,4896
2,0,61,80,4896,4992
1,0,73,80,4896,4992
1,0,76,80,4896,4992
2,0,54,80,4992,5184
2,0,63,80,4992,5184
1,0,71,80,4992,5184
1,0,75,80,4992,5184
2,0,54,80,5184,5376
2,0,64,80,5184,5376
1,0,70,80,5184,5376
1,0,73,80,5184,5376
2,0,59,80,5376,5760
2,0,63,80,5376,5760
1,0,71,80,5376,5760
1,0,75,80,5376,5760
2,0,63,80,6144,6720
1,0,66,80,6144,6720
1,0,71,80,6144,6720
2,0,61,80,6720,6912
1,0,66,80,6720,6912
1,0,70,80,6720,6912
2,0,59,80,6912,7296
1,0,66,80,6912,7296
1,0,75,80,6912,7296
2,0,58,80,7488,7680
1,0,66,80,7488,7680
1,0,73,80,7488,7680
2,0,56,80,7680,7968
1,0,66,80,7680,8064
1,0,71,80,7680,7968
2,0,58,80,7968,8064
1,0,70,80,7968,8064
2,0,59,80,8064,8256
1,0,66,80,8064,8256
1,0,68,80,8064,8256
2,0,49,80,8256,8448
1,0,65,80,8256,8448
1,0,73,80,8256,8448
2,0,54,80,8448,8640
1,0,70,80,8448,8544
1,0,66,80,8544,8640
2,0,61,80,8640,8832
1,0,65,80,8640,8736
1,0,66,80,8736,8832
2,0,63,80,8832,9024
1,0,71,80,8832,8928
1,0,78,80,8928,9024
2,0,61,80,9024,9216
1,0,70,80,9024,9120
1,0,78,80,9120,9216
2,0,59,80,9216,9408
1,0,75,80,9216,9312
1,0,78,80,9312,9408
2,0,58,80,9408,9600
1,0,73,80,9408,9504
1,0,78,80,9504,9600
2,0,56,80,9600,9792
1,0,77,80,9600,9696
1,0,80,80,9696,9792
2,0,49,80,9792,9984
1,0,77,80,9792,9888
1,0,85,80,9888,9984
2,0,54,80,9984,10176
1,0,78,80,9984,10080
1,0,82,80,10080,10176
2,0,49,80,10176,10368
1,0,78,80,10176,10272
1,0,85,80,10272,10368
2,0,46,80,10368,10560
1,0,78,80,10368,10464
1,0,85,80,10464,10560
2,0,49,80,10560,10752
1,0,82,80,10560,10656
1,0,85,80,10656,10752
2,0,42,80,10752,10944
1,0,82,80,10752,10848
1,0,85,80,10848,10944
2,0,49,80,10944,11136
1,0,82,80,10944,11040
1,0,85,80,11040,11136
2,0,37,80,11136,11328
1,0,80,80,11136,11232
1,0,83,80,11232,11328
2,0,49,80,11328,11520
1,0,77,80,11328,11424
1,0,85,80,11424,11520
2,0,42,80,11520,11712
1,0,82,80,11520,11616
1,0,78,80,11616,11712
2,0,61,80,11712,11904
1,0,70,80,11712,11808
1,0,78,80,11808,11904
2,0,63,80,11904,12096
1,0,71,80,11904,12000
1,0,78,80,12000,12096
2,0,61,80,12096,12288
1,0,70,80,12096,12192
1,0,78,80,12192,12288
2,0,59,80,12288,12480
1,0,75,80,12288,12384
1,0,78,80,12384,12480
2,0,58,80,12480,12672
1,0,73,80,12480,12576
1,0,78,80,12576,12672
2,0,56,80,12672,12864
1,0,77,80,12672,12768
1,0,80,80,12768,12864
2,0,49,80,12864,13056
1,0,77,80,12864,12960
1,0,85,80,12960,13056
2,0,54,80,13056,13248
1,0,78,80,13056,13152
1,0,82,80,13152,13248
2,0,49,80,13248,13440
1,0,78,80,13248,13344
1,0,85,80,13344,13440
2,0,46,80,13440,13632
1,0,78,80,13440,13536
1,0,85,80,13536,13632
2,0,49,80,13632,13824
1,0,82,80,13632,13728
1,0,85,80,13728,13824
2,0,42,80,13824,14016
1,0,82,80,13824,13920
1,0,85,80,13920,14016
2,0,49,80,14016,14208
1,0,82,80,14016,14112
1,0,85,80,14112,14208
2,0,37,80,14208,14400
1,0,80,80,14208,14304
1,0,83,80,14304,14400
2,0,49,80,14400,14592
1,0,77,80,14400,14496
1,0,85,80,14496,14592
2,0,42,80,14592,14784
