# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,45,80,0,480
1,0,64,80,0,480
2,0,55,80,480,960
1,0,60,80,480,960
1,0,63,80,480,960
1,0,63,80,480,960
2,0,57,80,960,1440
1,0,60,80,960,1440
1,0,64,80,960,1440
1,0,64,80,960,1440
2,0,45,80,1440,1920
1,0,65,80,1440,2640
2,0,57,80,1920,2400
1,0,60,80,1920,2400
1,0,65,80,1920,2400
2,0,57,80,2400,2880
1,0,60,80,2400,2880
1,0,64,80,2400,2880
1,0,64,80,2640,2880
2,0,45,80,2880,3360
1,0,72,80,2880,4080
2,0,57,80,3360,3840
1,0,60,80,3360,3840
1,0,64,80,3360,3840
2,0,57,80,3840,4320
1,0,60,80,3840,4320
1,0,64,80,3840,4320
1,0,71,80,4080,4320
2,0,45,80,4320,4800
1,0,72,80,4320,4800
2,0,57,80,4800,5280
1,0,60,80,4800,5280
1,0,64,80,4800,5280
2,0,57,80,5280,5760
1,0,60,80,5280,5760
1,0,64,80,5280,5760
2,0,40,80,5760,6240
1,0,71,80,5760,6240
2,0,56,80,6240,6720
2,0,59,80,6240,6720
1,0,62,80,6240,6720
1,0,64,80,6240,6720
1,0,70,80,6240,6720
2,0,56,80,6720,7200
2,0,59,80,6720,7200
1,0,62,80,6720,7200
1,0,64,80,6720,7200
1,0,71,80,6720,7200
2,0,40,80,7200,7680
1,0,72,80,7200,8400
2,0,56,80,7680,8160
2,0,59,80,7680,8160
1,0,62,80,7680,8160
1,0,64,80,7680,8160
2,0,56,80,8160,8640
2,0,59,80,8160,8640
1,0,62,80,8160,8640
1,0,64,80,8160,8640
1,0,68,80,8400,8640
2,0,45,80,8640,9120
1,0,69,80,8640,9120
2,0,57,80,9120,9600
1,0,60,80,9120,9600
1,0,64,80,9120,9600
2,0,57,80,9600,10080
1,0,60,80,9600,10080
1,0,64,80,9600,10080
2,0,45,80,10080,10560
2,0,57,80,10560,11040
1,0,60,80,10560,11040
1,0,64,80,10560,11040
2,0,57,80,11040,11520
1,0,60,80,11040,11520
1,0,64,80,11040,11520
2,0,45,80,11520,12000
1,0,64,80,11520,12000
2,0,55,80,12000,12480
1,0,60,80,12000,12480
1,0,63,80,12000,12480
1,0,63,80,12000,12480
2,0,57,80,12480,12960
1,0,60,80,12480,12960
1,0,64,80,12480,12960
1,0,64,80,12480,12960
2,0,45,80,12960,13440
1,0,65,80,12960,14160
2,0,57,80,13440,13920
1,0,60,80,13440,13920
1,0,65,80,13440,13920
2,0,57,80,13920,14400
1,0,60,80,13920,14400
1,0,64,80,13920,14400
1,0,64,80,14160,14400
2,0,45,80,14400,14880
1,0,72,80,14400,15600
2,0,57,80,14880,15360
1,0,60,80,14880,15360
1,0,64,80,14880,15360
2,0,57,80,15360,15840
1,0,60,80,15360,15840
1,0,64,80,15360,15840
1,0,71,80,15600,15840
2,0,45,80,15840,16320
1,0,72,80,15840,16320
2,0,57,80,16320,16800
1,0,60,80,16320,16800
1,0,64,80,16320,16800
2,0,57,80,16800,17280
1,0,60,80,16800,17280
1,0,64,80,16800,17280
2,0,40,80,17280,17760
1,0,71,80,17280,17760
2,0,57,80,17760,18240
1,0,60,80,17760,18240
1,0,64,80,17760,18240
1,0,72,80,17760,18240
2,0,56,80,18240,18720
2,0,59,80,18240,18720
1,0,64,80,18240,18720
1,0,74,80,18240,18720
2,0,40,80,18720,19200
1,0,76,80,18720,19920
2,0,56,80,19200,19680
2,0,59,80,19200,19680
1,0,62,80,19200,19680
1,0,64,80,19200,19680
2,0,56,80,19680,20160
2,0,59,80,19680,20160
1,0,62,80,19680,20160
1,0,64,80,19680,20160
1,0,68,80,19920,20160
2,0,45,80,20160,20640
1,0,69,80,20160,20640
2,0,57,80,20640,21120
1,0,60,80,20640,21120
1,0,64,80,20640,21120
2,0,57,80,21120,21600
1,0,60,80,21120,21600
1,0,64,80,21120,21600
2,0,45,80,21600,22080
2,0,57,80,22080,22560
1,0,60,80,22080,22560
1,0,64,80,22080,22560
