# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,62,80,0,480
1,0,62,80,0,480
2,0,55,80,1920,2880
2,0,59,80,1920,2160
1,0,67,80,1920,2160
1,0,67,80,1920,2640
1,0,62,80,2160,2400
2,0,59,80,2400,2640
1,0,67,80,2400,2640
1,0,62,80,2640,2880
1,0,67,80,2640,2880
2,0,55,80,2880,3840
2,0,59,80,2880,3120
1,0,67,80,2880,3120
1,0,69,80,2880,3120
1,0,62,80,3120,3360
1,0,67,80,3120,3360
2,0,59,80,3360,3600
1,0,66,80,3360,3600
1,0,67,80,3360,3600
1,0,62,80,3600,3840
1,0,67,80,3600,3840
2,0,50,80,3840,4800
1,0,60,80,3840,4080
1,0,66,80,3840,4080
1,0,66,80,3840,4080
2,0,57,80,4080,4320
1,0,67,80,4080,4320
1,0,60,80,4320,4560
1,0,66,80,4320,4560
1,0,69,80,4320,4560
2,0,57,80,4560,4800
1,0,71,80,4560,4800
2,0,50,80,4800,5760
1,0,60,80,4800,5040
1,0,66,80,4800,5040
1,0,72,80,4800,5280
2,0,57,80,5040,5280
1,0,60,80,5280,5520
1,0,66,80,5280,5520
2,0,57,80,5520,5760
1,0,69,80,5520,5760
2,0,55,80,5760,6720
2,0,59,80,5760,6000
1,0,67,80,5760,6000
1,0,71,80,5760,6480
1,0,62,80,6000,6240
2,0,59,80,6240,6480
1,0,67,80,6240,6480
1,0,62,80,6480,6720
1,0,67,80,6480,6720
2,0,48,80,6720,7680
1,0,64,80,6720,6960
1,0,64,80,6720,7200
1,0,69,80,6720,6960
1,0,72,80,6720,6960
1,0,64,80,6960,7440
1,0,64,80,7200,7440
1,0,69,80,7200,7440
1,0,72,80,7200,7440
1,0,64,80,7440,7680
1,0,69,80,7440,7680
2,0,50,80,7680,8640
1,0,66,80,7680,8880
1,0,67,80,7680,7740
1,0,67,80,7680,7920
1,0,71,80,7680,7920
1,0,62,80,7920,8160
1,0,67,80,8160,8400
1,0,71,80,8160,8400
1,0,62,80,8400,8640
2,0,50,80,8640,9600
