# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,625001
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
1,0,65,80,0,1066.6666666666665
1,0,77,80,0,1066.6666666666665
1,0,65,80,1066.6666666666665,1664
1,0,77,80,1066.6666666666665,1664
1,0,65,80,1792,2005.3333333333333
1,0,77,80,1792,2005.3333333333333
1,0,65,80,2048,2944
1,0,77,80,2048,2944
1,0,65,80,3114.6666666666665,3925.333333333333
1,0,77,80,3114.6666666666665,3925.333333333333
1,0,65,80,4096,6144
1,0,77,80,4096,6144
1,0,65,80,6144,8149.333333333333
1,0,77,80,6144,8149.333333333333
2,0,46,80,8192,9258.666666666666
2,0,53,80,8192,9258.666666666666
2,0,58,80,8192,9258.666666666666
1,0,62,80,8192,9258.666666666666
1,0,65,80,8192,9258.666666666666
2,0,46,80,9258.666666666666,9984
2,0,53,80,9258.666666666666,9984
2,0,58,80,9258.666666666666,9984
1,0,62,80,9258.666666666666,9984
1,0,65,80,9258.666666666666,9984
1,0,70,80,9258.666666666666,9984
2,0,46,80,9984,10240
2,0,53,80,9984,10240
2,0,58,80,9984,10240
1,0,62,80,9984,10240
1,0,65,80,9984,10240
1,0,70,80,9984,10240
2,0,46,80,10240,11776
2,0,53,80,10240,11776
2,0,58,80,10240,11776
1,0,62,80,10240,11776
1,0,65,80,10240,11776
1,0,70,80,10240,11776
2,0,46,80,12288,13354.666666666666
2,0,53,80,12288,13354.666666666666
2,0,58,80,12288,13354.666666666666
1,0,62,80,12288,13354.666666666666
1,0,65,80,12288,13354.666666666666
2,0,41,80,13354.666666666666,14080
2,0,53,80,13354.666666666666,14080
1,0,63,80,13354.666666666666,14080
1,0,65,80,13354.666666666666,14080
1,0,72,80,13354.666666666666,14080
2,0,41,80,14080,14336
2,0,53,80,14080,14336
1,0,60,80,14080,14336
1,0,65,80,14080,14336
1,0,69,80,14080,14336
2,0,46,80,14336,15872
2,0,53,80,14336,15872
2,0,58,80,14336,15872
1,0,62,80,14336,15872
1,0,65,80,14336,15872
1,0,70,80,14336,15872
2,0,46,80,16384,17450.666666666664
2,0,53,80,16384,17450.666666666664
2,0,58,80,16384,17450.666666666664
1,0,62,80,16384,17450.666666666664
1,0,65,80,16384,17450.666666666664
2,0,46,80,17450.666666666664,18176
2,0,53,80,17450.666666666664,18176
2,0,58,80,17450.666666666664,18176
1,0,62,80,17450.666666666664,18176
1,0,65,80,17450.666666666664,18176
1,0,70,80,17450.666666666664,18176
2,0,46,80,18176,18432
2,0,58,80,18176,18432
1,0,67,80,18176,18432
1,0,70,80,18176,18432
1,0,75,80,18176,18432
2,0,46,80,18432,20480
2,0,58,80,18432,20480
1,0,67,80,18432,19498.666666666664
1,0,70,80,18432,19498.666666666664
1,0,75,80,18432,19498.666666666664
1,0,65,80,19498.666666666664,20224
1,0,70,80,19498.666666666664,20224
1,0,74,80,19498.666666666664,20224
1,0,63,80,20224,20480
1,0,65,80,20224,20480
1,0,72,80,20224,20480
2,0,46,80,20480,21546.666666666664
2,0,53,80,20480,21546.666666666664
2,0,58,80,20480,21546.666666666664
1,0,62,80,20480,21546.666666666664
1,0,65,80,20480,21546.666666666664
1,0,70,80,20480,21333.333333333332
1,0,72,80,21290.666666666664,21418.666666666664
1,0,70,80,21418.666666666664,21546.666666666664
2,0,43,80,21546.666666666664,22272
2,0,55,80,21546.666666666664,22272
1,0,60,80,21546.666666666664,22229.333333333332
1,0,64,80,21546.666666666664,22272
1,0,69,80,21546.666666666664,22272
2,0,43,80,22272,22528
2,0,55,80,22272,22528
1,0,64,80,22272,22528
1,0,70,80,22272,22528
2,0,41,80,22528,24277.333333333332
2,0,53,80,22528,24277.333333333332
1,0,60,80,22528,24277.333333333332
1,0,65,80,22528,24277.333333333332
1,0,69,80,22528,24277.333333333332
1,0,72,80,22528,24277.333333333332
2,0,46,80,24576,25642.666666666664
2,0,53,80,24576,25642.666666666664
2,0,58,80,24576,25642.666666666664
1,0,62,80,24576,25642.666666666664
1,0,65,80,24576,25642.666666666664
2,0,46,80,25642.666666666664,26368
2,0,53,80,25642.666666666664,26368
2,0,58,80,25642.666666666664,26368
1,0,62,80,25642.666666666664,26368
1,0,65,80,25642.666666666664,26368
