# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,52,80,720,960
2,0,52,80,720,960
2,0,59,80,720,960
2,0,59,80,720,960
1,0,64,80,720,960
1,0,67,80,720,960
1,0,67,80,720,960
1,0,67,80,720,960
2,0,48,80,960,1320
2,0,48,80,960,1320
1,0,64,80,960,1320
1,0,64,80,960,1320
1,0,67,80,960,1320
1,0,67,80,960,1320
1,0,69,80,960,1320
1,0,69,80,960,1320
2,0,47,80,1320,1440
2,0,47,80,1320,1440
1,0,62,80,1320,1440
1,0,62,80,1320,1440
1,0,67,80,1320,1440
1,0,67,80,1320,1440
1,0,71,80,1320,1440
1,0,71,80,1320,1440
2,0,45,80,1440,2160
2,0,45,80,1440,2160
1,0,60,80,1440,2160
1,0,60,80,1440,2160
1,0,67,80,1440,2160
1,0,67,80,1440,2160
1,0,72,80,1440,2160
1,0,72,80,1440,2160
2,0,48,80,2160,2400
2,0,48,80,2160,2400
1,0,64,80,2160,2400
1,0,64,80,2160,2400
1,0,66,80,2160,2400
1,0,66,80,2160,2400
1,0,69,80,2160,2400
1,0,69,80,2160,2400
2,0,47,80,2400,2640
2,0,47,80,2400,2640
1,0,62,80,2400,2760
1,0,62,80,2400,2760
1,0,67,80,2400,2760
1,0,67,80,2400,2760
1,0,71,80,2400,2760
1,0,71,80,2400,2760
2,0,59,80,2640,2880
2,0,59,80,2640,2880
1,0,62,80,2760,2880
1,0,62,80,2760,2880
1,0,67,80,2760,2880
1,0,67,80,2760,2880
1,0,76,80,2760,2880
1,0,76,80,2760,2880
2,0,57,80,2880,3840
2,0,57,80,2880,3840
1,0,60,80,2880,3840
1,0,60,80,2880,3840
1,0,67,80,2880,3840
1,0,67,80,2880,3840
1,0,76,80,2880,3840
1,0,76,80,2880,3840
1,0,60,80,3840,4320
1,0,60,80,3840,4320
1,0,62,80,3840,4320
1,0,62,80,3840,4320
1,0,66,80,3840,4320
1,0,66,80,3840,4320
1,0,74,80,3840,4320
1,0,74,80,3840,4320
2,0,59,80,4320,5280
2,0,59,80,4320,5280
1,0,62,80,4320,5280
1,0,62,80,4320,5280
1,0,67,80,4320,5280
1,0,67,80,4320,5280
1,0,79,80,4320,5280
1,0,79,80,4320,5280
2,0,55,80,5280,5760
2,0,55,80,5280,5760
2,0,59,80,5280,5760
2,0,59,80,5280,5760
1,0,62,80,5280,5760
1,0,62,80,5280,5760
1,0,71,80,5280,5760
1,0,71,80,5280,5760
2,0,54,80,5760,6480
2,0,54,80,5760,6480
2,0,59,80,5760,6480
2,0,59,80,5760,6480
1,0,63,80,5760,6480
1,0,63,80,5760,6480
1,0,66,80,5760,6000
1,0,71,80,5760,6480
1,0,71,80,5760,6480
1,0,66,80,6000,6240
1,0,64,80,6240,6480
2,0,51,80,6480,6720
2,0,51,80,6480,6720
2,0,59,80,6480,6720
2,0,59,80,6480,6720
1,0,66,80,6480,6720
1,0,66,80,6480,6720
1,0,66,80,6480,6720
2,0,52,80,6720,6960
2,0,52,80,6720,6960
1,0,60,80,6720,6960
1,0,60,80,6720,6960
1,0,66,80,6720,6960
1,0,69,80,6720,7080
1,0,69,80,6720,7080
2,0,52,80,6960,7200
2,0,52,80,6960,7200
2,0,59,80,6960,7200
2,0,59,80,6960,7200
1,0,64,80,6960,7200
1,0,67,80,7080,7200
1,0,67,80,7080,7200
2,0,54,80,7200,7920
2,0,54,80,7200,7920
2,0,58,80,7200,7920
2,0,58,80,7200,7920
1,0,61,80,7200,7920
1,0,61,80,7200,7920
1,0,66,80,7200,7920
1,0,66,80,7200,7920
2,0,52,80,8160,8640
2,0,52,80,8160,8640
1,0,61,80,8160,8640
1,0,61,80,8160,8640
1,0,66,80,8160,8640
1,0,66,80,8160,8640
1,0,70,80,8160,8640
1,0,70,80,8160,8640
2,0,52,80,8640,8880
2,0,52,80,8640,8880
1,0,61,80,8640,8880
1,0,61,80,8640,8880
1,0,66,80,8640,8880
1,0,66,80,8640,8880
1,0,70,80,8640,8880
1,0,70,80,8640,8880
2,0,50,80,9120,9480
2,0,50,80,9120,9480
1,0,66,80,9120,9480
1,0,66,80,9120,9480
1,0,66,80,9120,9480
1,0,71,80,9120,9480
1,0,71,80,9120,9480
2,0,49,80,9480,9600
2,0,49,80,9480,9600
1,0,64,80,9480,9600
1,0,64,80,9480,9600
1,0,70,80,9480,9600
1,0,70,80,9480,9600
1,0,73,80,9480,9600
1,0,73,80,9480,9600
2,0,47,80,9600,9840
2,0,47,80,9600,9840
1,0,62,80,9600,9840
1,0,62,80,9600,9840
1,0,71,80,9600,9840
1,0,71,80,9600,9840
1,0,74,80,9600,9840
1,0,74,80,9600,9840
2,0,59,80,9840,10080
2,0,59,80,9840,10080
1,0,62,80,9840,10080
1,0,62,80,9840,10080
1,0,66,80,9840,10080
1,0,71,80,9840,10080
1,0,71,80,9840,10080
1,0,71,80,9840,10080
2,0,58,80,10080,11520
2,0,58,80,10080,11520
1,0,61,80,10080,11040
1,0,61,80,10080,11520
1,0,66,80,10080,11040
1,0,66,80,10080,11040
1,0,78,80,10080,11040
1,0,78,80,10080,11040
1,0,66,80,11040,11520
1,0,66,80,11040,11520
1,0,73,80,11040,11520
1,0,73,80,11040,11520
1,0,73,80,11040,11520
2,0,58,80,11520,11760
2,0,58,80,11520,11760
1,0,67,80,11520,12000
1,0,67,80,11520,12000
1,0,73,80,11520,12000
1,0,73,80,11520,12000
