# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,38,80,0,360
2,0,50,80,0,360
2,0,57,80,0,240
1,0,62,80,0,240
1,0,66,80,0,240
1,0,69,80,0,240
2,0,57,80,240,480
1,0,62,80,240,480
1,0,66,80,240,480
1,0,69,80,240,480
2,0,33,80,360,480
2,0,45,80,360,480
2,0,33,80,480,1440
2,0,45,80,480,1440
2,0,57,80,480,720
1,0,62,80,480,720
1,0,66,80,480,720
1,0,69,80,480,720
2,0,57,80,720,960
1,0,62,80,720,960
1,0,66,80,720,960
1,0,69,80,720,960
2,0,57,80,960,1200
1,0,62,80,960,1200
1,0,66,80,960,1200
1,0,69,80,960,1200
1,0,69,80,960,1320
2,0,57,80,1200,1440
1,0,62,80,1200,1440
1,0,66,80,1200,1440
1,0,69,80,1200,1440
1,0,71,80,1320,1440
2,0,40,80,1440,1800
2,0,52,80,1440,1800
2,0,57,80,1440,1680
1,0,61,80,1440,1680
1,0,67,80,1440,1680
1,0,69,80,1440,1680
1,0,71,80,1440,1920
2,0,57,80,1680,1920
1,0,61,80,1680,1920
1,0,67,80,1680,1920
1,0,69,80,1680,1920
2,0,33,80,1800,1920
2,0,45,80,1800,1920
2,0,33,80,1920,2880
2,0,45,80,1920,2880
2,0,57,80,1920,2160
1,0,61,80,1920,2160
1,0,64,80,1920,2400
1,0,67,80,1920,2160
1,0,69,80,1920,2160
2,0,57,80,2160,2400
1,0,61,80,2160,2400
1,0,67,80,2160,2400
1,0,69,80,2160,2400
2,0,57,80,2400,2640
1,0,61,80,2400,2640
1,0,67,80,2400,2640
1,0,69,80,2400,2640
2,0,57,80,2640,2880
1,0,61,80,2640,2880
1,0,64,80,2640,2880
1,0,67,80,2640,2880
1,0,69,80,2640,2880
2,0,38,80,2880,3360
2,0,50,80,2880,3360
2,0,57,80,2880,3120
1,0,62,80,2880,3120
1,0,66,80,2880,3120
1,0,66,80,2880,3360
1,0,69,80,2880,3120
2,0,57,80,3120,3360
1,0,62,80,3120,3360
1,0,66,80,3120,3600
1,0,69,80,3120,3360
2,0,37,80,3360,3840
2,0,49,80,3360,3840
2,0,58,80,3360,3600
1,0,64,80,3360,3600
1,0,66,80,3360,3840
1,0,70,80,3360,3600
2,0,58,80,3600,3840
1,0,64,80,3600,3840
1,0,66,80,3600,3840
1,0,70,80,3600,3840
2,0,35,80,3840,4320
2,0,47,80,3840,4320
2,0,59,80,3840,4080
1,0,62,80,3840,4080
1,0,66,80,3840,4080
1,0,66,80,3840,4320
1,0,71,80,3840,4080
2,0,59,80,4080,4320
1,0,62,80,4080,4320
1,0,66,80,4080,4320
1,0,71,80,4080,4320
2,0,40,80,4320,5280
2,0,59,80,4320,4560
1,0,61,80,4320,4560
1,0,67,80,4320,4560
1,0,69,80,4320,4800
1,0,71,80,4320,4560
2,0,59,80,4560,4800
1,0,61,80,4560,4800
1,0,67,80,4560,4800
1,0,71,80,4560,4800
2,0,59,80,4800,5040
1,0,61,80,4800,5040
1,0,67,80,4800,5040
1,0,67,80,4800,5040
1,0,71,80,4800,5040
2,0,59,80,5040,5280
1,0,61,80,5040,5280
1,0,66,80,5040,5280
1,0,67,80,5040,5280
1,0,71,80,5040,5280
2,0,42,80,5280,5760
2,0,58,80,5280,5520
1,0,61,80,5280,5520
1,0,64,80,5280,5440
1,0,66,80,5280,5340
1,0,66,80,5280,5520
1,0,70,80,5280,5520
1,0,62,80,5440,5600
2,0,58,80,5520,5760
1,0,61,80,5520,5760
1,0,66,80,5520,5760
1,0,70,80,5520,5760
1,0,61,80,5600,5760
2,0,35,80,5760,6720
2,0,59,80,5760,6000
1,0,62,80,5760,6000
1,0,62,80,5760,6120
1,0,66,80,5760,6000
1,0,71,80,5760,6000
1,0,62,80,6000,6240
1,0,66,80,6000,6240
1,0,61,80,6120,6240
2,0,59,80,6240,6720
1,0,62,80,6240,6480
1,0,66,80,6240,6480
1,0,62,80,6480,6720
1,0,66,80,6480,6720
2,0,50,80,6720,7080
1,0,62,80,6720,6960
1,0,66,80,6720,6960
1,0,62,80,6960,7200
1,0,66,80,6960,7200
2,0,52,80,7080,7200
2,0,54,80,7200,7560
1,0,62,80,7200,7440
1,0,66,80,7200,7440
1,0,62,80,7440,7680
1,0,66,80,7440,7680
2,0,50,80,7560,7680
2,0,47,80,7680,8160
1,0,62,80,7680,7920
1,0,66,80,7680,7920
1,0,66,80,7680,8160
1,0,62,80,7920,8160
1,0,66,80,7920,8400
2,0,59,80,8160,8640
1,0,62,80,8160,8400
1,0,66,80,8160,8400
1,0,62,80,8400,8640
1,0,66,80,8400,8640
1,0,66,80,8400,8640
2,0,58,80,8640,10080
1,0,62,80,8640,8880
1,0,67,80,8640,8800
1,0,67,80,8640,8880
1,0,69,80,8640,8700
1,0,66,80,8800,8960
1,0,62,80,8880,9120
1,0,67,80,8880,9120
1,0,67,80,8960,9120
1,0,62,80,9120,9360
1,0,67,80,9120,9360
1,0,74,80,9120,9840
1,0,62,80,9360,9600
1,0,67,80,9360,9600
1,0,62,80,9600,9840
1,0,67,80,9600,9840
1,0,62,80,9840,10080
1,0,67,80,9840,10080
1,0,67,80,9840,10080
2,0,45,80,10080,10320
2,0,50,80,10080,10320
2,0,54,80,10080,10320
2,0,57,80,10080,10320
1,0,62,80,10080,10320
1,0,66,80,10080,10240
1,0,66,80,10080,10560
1,0,65,80,10240,10400
2,0,45,80,10320,10560
2,0,50,80,10320,10560
2,0,54,80,10320,10560
2,0,57,80,10320,10560
1,0,62,80,10320,10560
1,0,66,80,10400,10800
2,0,45,80,10560,10800
2,0,50,80,10560,10800
2,0,54,80,10560,10800
2,0,57,80,10560,10800
1,0,62,80,10560,10800
1,0,66,80,10560,11040
1,0,74,80,10560,11040
2,0,45,80,10800,11040
2,0,50,80,10800,11040
2,0,54,80,10800,11040
2,0,57,80,10800,11040
1,0,62,80,10800,11040
1,0,66,80,10800,11040
2,0,45,80,11040,11280
2,0,50,80,11040,11280
2,0,54,80,11040,11280
2,0,57,80,11040,11280
1,0,62,80,11040,11280
1,0,66,80,11040,11520
2,0,45,80,11280,11520
2,0,50,80,11280,11520
2,0,54,80,11280,11520
2,0,57,80,11280,11520
1,0,62,80,11280,11520
1,0,66,80,11280,11520
2,0,43,80,11520,12960
2,0,46,80,11520,12960
2,0,50,80,11520,12960
2,0,52,80,11520,12960
2,0,55,80,11520,11760
2,0,58,80,11520,11760
1,0,62,80,11520,11760
1,0,64,80,11520,11680
1,0,64,80,11520,12000
1,0,63,80,11680,11840
2,0,55,80,11760,12000
2,0,58,80,11760,12000
1,0,62,80,11760,12000
1,0,64,80,11840,12000
2,0,55,80,12000,12240
2,0,58,80,12000,12240
1,0,62,80,12000,12240
1,0,64,80,12000,12480
1,0,74,80,12000,12480
2,0,55,80,12240,12480
2,0,58,80,12240,12480
1,0,62,80,12240,12480
2,0,55,80,12480,12720
2,0,58,80,12480,12720
1,0,62,80,12480,12720
1,0,64,80,12480,12840
1,0,64,80,12480,12960
2,0,55,80,12720,12960
2,0,58,80,12720,12960
1,0,62,80,12720,12960
1,0,64,80,12840,12960
2,0,42,80,12960,13200
2,0,45,80,12960,13200
2,0,50,80,12960,13200
2,0,54,80,12960,13200
1,0,62,80,12960,13120
1,0,62,80,12960,13440
1,0,61,80,13120,13280
2,0,42,80,13200,13440
2,0,45,80,13200,13440
2,0,50,80,13200,13440
2,0,54,80,13200,13440
1,0,62,80,13280,13920
2,0,42,80,13440,13680
2,0,45,80,13440,13680
