# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,53,80,0,192
2,0,53,80,192,384
2,0,53,80,384,576
2,0,53,80,576,768
2,0,53,80,960,1152
2,0,53,80,1152,1344
2,0,53,80,1344,1536
2,0,55,80,1728,1920
2,0,55,80,1920,2112
2,0,55,80,2112,2304
2,0,55,80,2496,2688
2,0,55,80,2688,2880
2,0,55,80,2880,3072
2,0,57,80,3072,4416
2,0,49,80,4416,4608
2,0,50,80,4608,4800
2,0,52,80,4800,4992
2,0,53,80,4992,5184
2,0,50,80,5184,5376
2,0,52,80,5376,5760
1,0,65,80,6336,6528
1,0,65,80,6528,6720
1,0,65,80,6720,6912
1,0,65,80,7104,7296
1,0,65,80,7296,7488
1,0,65,80,7488,7680
1,0,67,80,7872,8064
1,0,67,80,8064,8256
1,0,67,80,8256,8448
1,0,67,80,8640,8832
1,0,67,80,8832,9024
1,0,67,80,9024,9216
1,0,69,80,9216,10368
1,0,77,80,12096,12288
1,0,76,80,12288,12672
1,0,74,80,12864,13056
1,0,73,80,13056,13440
1,0,62,80,13632,13824
1,0,61,80,13824,14208
2,0,53,80,14400,14592
2,0,52,80,14592,14976
2,0,57,80,15168,15360
2,0,55,80,15360,15552
1,0,60,80,15552,15744
2,0,58,80,15744,15936
1,0,60,80,15936,16128
2,0,58,80,16128,16512
1,0,62,80,16896,17088
2,0,55,80,17280,17472
2,0,53,80,17664,18048
1,0,65,80,18432,19200
2,0,58,80,19200,19968
1,0,60,80,19968,20736
2,0,53,80,20736,21504
2,0,58,80,21504,21696
2,0,58,80,21696,21888
2,0,58,80,21888,22080
2,0,58,80,22080,22272
1,0,70,80,22272,22464
1,0,70,80,22464,22656
1,0,70,80,22656,22848
1,0,70,80,22848,23040
1,0,70,80,23040,23232
1,0,70,80,23232,23424
1,0,70,80,23424,23616
1,0,70,80,23616,23808
1,0,69,80,23808,24192
1,0,65,80,24192,24576
1,0,65,80,24576,25344
1,0,65,80,25536,25728
1,0,65,80,25728,25920
1,0,65,80,25920,26112
1,0,67,80,26112,26304
1,0,65,80,26304,26496
1,0,65,80,26496,26688
1,0,65,80,26688,26880
2,0,55,80,26880,27648
1,0,62,80,26880,27648
1,0,60,80,27648,28416
2,0,48,80,28416,28800
2,0,52,80,29184,29376
1,0,64,80,29376,29568
1,0,64,80,29568,29760
1,0,64,80,29760,29952
1,0,64,80,29952,30144
1,0,64,80,30144,30336
1,0,64,80,30336,30528
1,0,64,80,30528,30720
2,0,53,80,30720,30912
2,0,57,80,30912,31104
1,0,65,80,30912,31104
2,0,57,80,31104,31296
1,0,65,80,31104,31296
2,0,57,80,31296,31488
1,0,65,80,31296,31488
2,0,57,80,31488,31680
1,0,65,80,31488,31680
2,0,57,80,31680,31872
1,0,65,80,31680,31872
2,0,57,80,31872,32064
1,0,65,80,31872,32064
2,0,57,80,32064,32256
1,0,65,80,32064,32256
1,0,62,80,32256,32448
1,0,62,80,32448,32640
1,0,74,80,32832,33024
1,0,67,80,33216,33408
1,0,69,80,33600,33792
1,0,70,80,33792,33984
1,0,64,80,33984,34176
1,0,65,80,34176,34368
1,0,69,80,34368,34560
1,0,70,80,34560,34752
1,0,64,80,34752,34944
1,0,65,80,34944,35136
1,0,69,80,35136,35328
1,0,70,80,35328,35520
1,0,64,80,35520,35712
1,0,65,80,35712,35904
1,0,69,80,35904,36096
1,0,70,80,36096,36288
1,0,64,80,36288,36480
1,0,65,80,36480,36672
1,0,65,80,36864,37632
1,0,64,80,37632,38400
1,0,62,80,38400,39168
1,0,64,80,39168,39552
1,0,65,80,39744,40128
1,0,74,80,40128,40512
1,0,72,80,40512,40896
1,0,70,80,40896,41280
1,0,65,80,41472,42240
1,0,64,80,42240,43008
1,0,62,80,43008,43776
1,0,64,80,43776,44160
1,0,69,80,44352,44736
1,0,70,80,44736,45120
1,0,67,80,45120,45504
1,0,69,80,45504,45888
1,0,67,80,45888,46464
1,0,67,80,46656,47232
2,0,58,80,47424,47616
2,0,56,80,47616,48000
1,0,68,80,48000,48192
1,0,70,80,48192,48384
1,0,68,80,48384,48576
1,0,60,80,49152,49344
1,0,64,80,49536,49728
1,0,65,80,49728,49920
1,0,64,80,49920,50112
1,0,65,80,50688,51072
2,0,56,80,51072,51840
1,0,68,80,51840,52128
1,0,65,80,52128,52224
1,0,63,80,52224,52608
1,0,63,80,52608,53376
1,0,63,80,53376,53760
2,0,56,80,53760,54528
1,0,63,80,53760,54528
1,0,65,80,54528,55296
1,0,67,80,55296,56064
1,0,63,80,56064,56832
1,0,70,80,56064,56832
1,0,72,80,56832,57216
1,0,61,80,57600,58368
1,0,60,80,58368,59136
2,0,52,80,59136,59904
2,0,53,80,59904,60288
1,0,65,80,60288,61056
2,0,53,80,61056,61440
2,0,52,80,61440,61824
2,0,48,80,62400,62592
1,0,60,80,62592,62784
1,0,60,80,62784,62976
2,0,48,80,62976,63360
2,0,48,80,63936,64128
1,0,60,80,64128,64320
1,0,60,80,64320,64512
2,0,48,80,64512,64896
2,0,48,80,65472,65664
1,0,60,80,65664,65856
1,0,60,80,65856,66048
2,0,48,80,66048,66432
2,0,54,80,67584,68352
2,0,55,80,68352,68736
1,0,70,80,68736,69120
1,0,70,80,69120,69312
1,0,70,80,69312,69504
1,0,70,80,69504,69696
1,0,70,80,69696,69888
1,0,69,80,69888,70272
1,0,65,80,70272,70656
1,0,65,80,70656,71424
1,0,67,80,71616,71808
1,0,67,80,71808,72000
1,0,67,80,72000,72192
1,0,67,80,72192,72384
1,0,65,80,72384,72576
1,0,65,80,72576,72768
1,0,65,80,72768,72960
2,0,55,80,72960,73728
1,0,62,80,72960,73728
1,0,60,80,73728,74880
1,0,60,80,74880,75648
1,0,60,80,75648,76416
1,0,60,80,76416,77184
1,0,60,80,77184,77952
1,0,60,80,77952,78528
1,0,60,80,78528,78720
1,0,60,80,78720,78912
1,0,60,80,78912,79104
1,0,60,80,79104,79488
1,0,67,80,79872,80064
1,0,67,80,80064,80256
1,0,67,80,80256,80448
1,0,67,80,80448,80640
1,0,67,80,80640,81024
2,0,57,80,81408,81600
2,0,58,80,81600,81792
2,0,57,80,81792,81984
2,0,58,80,81984,82176
2,0,57,80,82176,82560
1,0,67,80,82944,83136
1,0,67,80,83136,83328
1,0,67,80,83328,83520
1,0,67,80,83520,83712
1,0,67,80,83712,84096
2,0,54,80,86208,86400
2,0,54,80,86400,86592
2,0,54,80,86592,86784
2,0,54,80,86976,87168
2,0,54,80,87168,87360
2,0,54,80,87360,87552
2,0,55,80,87744,87936
2,0,55,80,87936,88128
