# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,33,80,0,480
2,0,45,80,0,480
2,0,57,80,0,480
1,0,69,80,0,480
2,0,57,80,480,960
1,0,60,80,480,960
1,0,64,80,480,960
1,0,69,80,480,960
1,0,72,80,480,960
1,0,76,80,480,960
2,0,53,80,960,1440
2,0,57,80,960,1440
1,0,62,80,960,1440
1,0,65,80,960,1440
1,0,69,80,960,1440
1,0,74,80,960,1440
2,0,41,80,1440,1920
2,0,53,80,1440,1920
1,0,65,80,1440,1920
2,0,45,80,1920,2400
2,0,57,80,1920,2400
1,0,69,80,1920,2400
2,0,38,80,2400,2880
2,0,50,80,2400,2880
1,0,62,80,2400,2880
2,0,36,80,2880,3360
2,0,48,80,2880,3360
1,0,60,80,2880,3360
2,0,57,80,3360,3840
1,0,60,80,3360,3840
1,0,64,80,3360,3840
1,0,69,80,3360,3840
1,0,72,80,3360,3840
1,0,76,80,3360,3840
2,0,53,80,3840,4320
2,0,57,80,3840,4320
1,0,62,80,3840,4320
1,0,65,80,3840,4320
1,0,69,80,3840,4320
1,0,74,80,3840,4320
2,0,38,80,4320,4800
2,0,50,80,4320,4800
1,0,62,80,4320,4800
2,0,41,80,4800,5280
2,0,53,80,4800,5280
1,0,65,80,4800,5280
2,0,35,80,5280,5760
2,0,47,80,5280,5760
2,0,59,80,5280,5760
2,0,34,80,5760,6240
2,0,46,80,5760,6240
2,0,58,80,5760,6240
2,0,50,80,6240,6720
2,0,53,80,6240,6720
2,0,57,80,6240,6720
1,0,62,80,6240,6720
1,0,65,80,6240,6720
1,0,69,80,6240,6720
2,0,31,80,6720,7200
2,0,43,80,6720,7200
2,0,55,80,6720,7200
2,0,46,80,7200,7680
2,0,50,80,7200,7680
2,0,55,80,7200,7680
2,0,58,80,7200,7680
1,0,62,80,7200,7680
1,0,67,80,7200,7680
2,0,46,80,7680,8160
2,0,50,80,7680,8160
2,0,53,80,7680,8160
2,0,58,80,7680,8160
1,0,62,80,7680,8160
1,0,65,80,7680,8160
2,0,46,80,8160,8640
2,0,50,80,8160,8640
2,0,52,80,8160,8640
2,0,58,80,8160,8640
1,0,62,80,8160,8640
1,0,64,80,8160,8640
2,0,33,80,8640,9120
2,0,45,80,8640,9120
2,0,57,80,8640,9120
2,0,48,80,9120,9600
2,0,53,80,9120,9600
2,0,57,80,9120,9600
1,0,60,80,9120,9600
1,0,65,80,9120,9600
1,0,69,80,9120,9600
2,0,29,80,9600,10080
2,0,41,80,9600,10080
2,0,53,80,9600,10080
2,0,45,80,10080,10560
2,0,48,80,10080,10560
2,0,55,80,10080,10560
2,0,57,80,10080,10560
1,0,60,80,10080,10560
1,0,67,80,10080,10560
2,0,45,80,10560,11040
2,0,48,80,10560,11040
2,0,53,80,10560,11040
2,0,57,80,10560,11040
1,0,60,80,10560,11040
1,0,65,80,10560,11040
2,0,45,80,11040,11520
2,0,48,80,11040,11520
2,0,52,80,11040,11520
2,0,57,80,11040,11520
1,0,60,80,11040,11520
1,0,64,80,11040,11520
2,0,35,80,11520,12000
2,0,47,80,11520,12000
2,0,59,80,11520,12000
2,0,59,80,11520,12480
1,0,62,80,11520,12480
1,0,69,80,11520,12480
1,0,77,80,11520,12480
2,0,45,80,12000,12480
2,0,50,80,12000,12480
2,0,53,80,12000,12480
2,0,57,80,12000,12480
1,0,62,80,12000,12480
1,0,65,80,12000,12480
2,0,28,80,12480,12960
2,0,40,80,12480,12960
2,0,52,80,12480,12960
2,0,56,80,12480,13440
2,0,59,80,12480,13440
1,0,71,80,12480,13440
1,0,76,80,12480,13440
2,0,44,80,12960,13440
2,0,50,80,12960,13440
2,0,53,80,12960,13440
2,0,56,80,12960,13440
1,0,62,80,12960,13440
1,0,65,80,12960,13440
2,0,44,80,13440,13920
2,0,48,80,13440,13920
2,0,52,80,13440,13920
2,0,56,80,13440,13920
1,0,60,80,13440,13920
1,0,64,80,13440,13920
2,0,44,80,13920,14400
2,0,47,80,13920,14400
2,0,50,80,13920,14400
2,0,52,80,13920,14400
