# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,952380
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,70,80,384,768
1,0,78,80,384,768
2,0,68,80,768,1152
1,0,77,80,768,1152
2,0,61,80,1152,1536
1,0,70,80,1152,1536
2,0,63,80,1536,1920
1,0,71,80,1536,1920
2,0,66,80,1920,2304
1,0,75,80,1920,2304
2,0,65,80,2304,2688
1,0,73,80,2304,2688
2,0,58,80,2688,3072
1,0,66,80,2688,3072
2,0,59,80,3072,3456
1,0,68,80,3072,3456
2,0,63,80,3456,3840
1,0,71,80,3456,3840
2,0,61,80,3840,4224
1,0,70,80,3840,4224
2,0,54,80,4224,4608
1,0,63,80,4224,4608
2,0,56,80,4608,4992
1,0,65,80,4608,4992
2,0,58,80,4992,5376
1,0,66,80,4992,5376
2,0,61,80,5376,5760
1,0,70,80,5376,5760
2,0,59,80,5760,6144
1,0,68,80,5760,6144
2,0,58,80,6528,6912
2,0,66,80,6528,6912
2,0,56,80,6912,7296
2,0,65,80,6912,7296
1,0,73,80,6912,7552
2,0,49,80,7296,7680
2,0,58,80,7296,7680
1,0,66,80,7552,7680
2,0,51,80,7680,8064
2,0,59,80,7680,8064
1,0,66,80,7680,7808
1,0,68,80,7808,7936
1,0,70,80,7936,8064
2,0,54,80,8064,8448
2,0,63,80,8064,8448
1,0,71,80,8064,8576
2,0,53,80,8448,8832
2,0,61,80,8448,8832
1,0,70,80,8576,8704
1,0,68,80,8704,8832
2,0,46,80,8832,9216
2,0,54,80,8832,9216
1,0,61,80,8832,8960
1,0,66,80,8960,9088
1,0,65,80,9088,9216
2,0,47,80,9216,9600
2,0,56,80,9216,9600
1,0,63,80,9216,9344
1,0,65,80,9344,9472
1,0,66,80,9472,9600
2,0,51,80,9600,9984
2,0,59,80,9600,9984
1,0,68,80,9600,10112
2,0,49,80,9984,10368
2,0,58,80,9984,10368
1,0,66,80,10112,10240
1,0,65,80,10240,10368
2,0,42,80,10368,10752
2,0,51,80,10368,10752
1,0,66,80,10368,10496
1,0,68,80,10496,10624
1,0,70,80,10624,10752
2,0,44,80,10752,11136
2,0,53,80,10752,11136
1,0,73,80,10752,10880
1,0,61,80,10880,11008
1,0,63,80,11008,11136
2,0,46,80,11136,11520
2,0,54,80,11136,11520
1,0,61,80,11136,11264
1,0,77,80,11264,11392
1,0,75,80,11392,11520
2,0,49,80,11520,11904
2,0,58,80,11520,11904
1,0,66,80,11520,11648
1,0,73,80,11648,11776
1,0,63,80,11776,11904
