# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.16.1           
# meta,0,0,time_signature,2/4
# meta,0,0,tempo,500000
# meta,1,0,meta_03,up:One
# meta,1,0,meta_04,harpsichord
# meta,2,0,meta_03,down:
# meta,2,0,meta_04,harpsichord
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,62,D4,0,192,192,90,0
1,0,67,G4,192,480,288,90,0
2,1,55,G3,192,576,384,90,0
2,1,59,B3,192,576,384,90,0
1,0,69,A4,480,576,96,90,0
1,0,71,B4,576,864,288,90,0
1,0,72,C5,864,960,96,90,0
1,0,74,D5,960,1152,192,90,0
1,0,74,D5,1152,1344,192,90,0
2,1,67,G4,1152,1344,192,90,0
2,1,71,B4,1152,1344,192,90,0
1,0,74,D5,1344,1536,192,90,0
2,1,66,F#4,1344,1536,192,90,0
2,1,69,A4,1344,1536,192,90,0
1,0,74,D5,1536,1728,192,90,0
2,1,69,A4,1536,1728,192,90,0
2,1,72,C5,1536,1728,192,90,0
1,0,74,D5,1728,1920,192,90,0
2,1,67,G4,1728,2112,384,90,0
2,1,71,B4,1728,2112,384,90,0
1,0,76,E5,1920,2016,96,90,0
1,0,78,F#5,2016,2112,96,90,0
1,0,81,A5,2112,2208,96,90,0
1,0,79,G5,2208,2304,96,90,0
1,0,78,F#5,2304,2400,96,90,0
1,0,76,E5,2400,2496,96,90,0
1,0,74,D5,2496,2688,192,90,0
1,0,74,D5,2688,2880,192,90,0
2,1,67,G4,2688,2880,192,90,0
2,1,71,B4,2688,2880,192,90,0
1,0,74,D5,2880,3072,192,90,0
2,1,66,F#4,2880,3072,192,90,0
2,1,69,A4,2880,3072,192,90,0
1,0,74,D5,3072,3264,192,90,0
2,1,69,A4,3072,3264,192,90,0
2,1,72,C5,3072,3264,192,90,0
1,0,74,D5,3264,3456,192,90,0
2,1,67,G4,3264,3648,384,90,0
2,1,71,B4,3264,3648,384,90,0
1,0,76,E5,3456,3552,96,90,0
1,0,78,F#5,3552,3648,96,90,0
1,0,81,A5,3648,3744,96,90,0
1,0,79,G5,3744,3840,96,90,0
1,0,78,F#5,3840,3936,96,90,0
2,1,67,G4,3840,4032,192,90,0
2,1,72,C5,3840,4032,192,90,0
1,0,76,E5,3936,4032,96,90,0
1,0,74,D5,4032,4224,192,90,0
2,1,67,G4,4032,4416,384,90,0
2,1,71,B4,4032,4416,384,90,0
1,0,79,G5,4224,4320,96,90,0
1,0,83,B5,4320,4416,96,90,0
1,0,81,A5,4416,4512,96,90,0
1,0,79,G5,4512,4608,96,90,0
1,0,78,F#5,4608,4704,96,90,0
1,0,76,E5,4704,4800,96,90,0
1,0,74,D5,4800,5184,384,90,0
2,1,71,B4,4992,5184,192,90,0
1,0,72,C5,5184,5568,384,90,0
2,1,69,A4,5184,5376,192,90,0
2,1,62,D4,5376,5568,192,90,0
1,0,74,D5,5568,5952,384,90,0
2,1,67,G4,5568,5760,192,90,0
2,1,62,D4,5760,5952,192,90,0
2,1,55,G3,5952,6144,192,90,0
1,0,67,G4,6144,6336,192,90,0
2,1,43,G2,6144,6336,192,90,0
2,1,55,G3,6144,6336,192,90,0
1,0,66,F#4,6336,6528,192,90,0
2,1,42,F#2,6336,6528,192,90,0
2,1,54,F#3,6336,6528,192,90,0
1,0,64,E4,6528,6720,192,90,0
2,1,40,E2,6528,6720,192,90,0
2,1,52,E3,6528,6720,192,90,0
1,0,62,D4,6720,6912,192,90,0
2,1,38,D2,6720,6912,192,90,0
2,1,50,D3,6720,6912,192,90,0
1,0,60,C4,6912,7104,192,90,0
2,1,36,C2,6912,7104,192,90,0
2,1,48,C3,6912,7104,192,90,0
1,0,59,B3,7104,7488,384,90,0
2,1,35,B1,7104,7488,384,90,0
2,1,47,B2,7104,7488,384,90,0
1,0,64,E4,7680,7744,64,90,0
2,1,52,E3,7680,7744,64,90,0
1,0,66,F#4,7744,7808,64,90,0
2,1,54,F#3,7744,7808,64,90,0
1,0,64,E4,7808,7872,64,90,0
2,1,52,E3,7808,7872,64,90,0
1,0,62,D4,7872,8064,192,90,0
2,1,50,D3,7872,8064,192,90,0
1,0,60,C4,8064,8128,64,90,0
2,1,48,C3,8064,8128,64,90,0
1,0,62,D4,8128,8192,64,90,0
2,1,50,D3,8128,8192,64,90,0
1,0,60,C4,8192,8256,64,90,0
2,1,48,C3,8192,8256,64,90,0
1,0,59,B3,8256,8448,192,90,0
2,1,47,B2,8256,8448,192,90,0
1,0,57,A3,8448,8512,64,90,0
2,1,45,A2,8448,8512,64,90,0
1,0,59,B3,8512,8576,64,90,0
2,1,47,B2,8512,8576,64,90,0
1,0,57,A3,8576,8640,64,90,0
2,1,45,A2,8576,8640,64,90,0
1,0,55,G3,8640,9024,384,90,0
2,1,43,G2,8640,9024,384,90,0
1,0,62,D4,9216,9408,192,90,0
1,0,67,G4,9408,9504,96,90,0
2,1,55,G3,9408,9792,384,90,0
2,1,59,B3,9408,9792,384,90,0
1,0,66,F#4,9504,9600,96,90,0
1,0,69,A4,9600,9696,96,90,0
1,0,67,G4,9696,9792,96,90,0
1,0,71,B4,9792,9888,96,90,0
1,0,69,A4,9888,9984,96,90,0
1,0,72,C5,9984,10080,96,90,0
1,0,71,B4,10080,10176,96,90,0
1,0,74,D5,10176,10368,192,90,0
1,0,74,D5,10368,10560,192,90,0
2,1,67,G4,10368,10560,192,90,0
2,1,71,B4,10368,10560,192,90,0
1,0,74,D5,10560,10752,192,90,0
2,1,66,F#4,10560,10752,192,90,0
2,1,69,A4,10560,10752,192,90,0
1,0,74,D5,10752,10944,192,90,0
2,1,69,A4,10752,10944,192,90,0
2,1,72,C5,10752,10944,192,90,0
1,0,74,D5,10944,11136,192,90,0
2,1,67,G4,10944,11328,384,90,0
2,1,71,B4,10944,11328,384,90,0
1,0,76,E5,11136,11232,96,90,0
1,0,78,F#5,11232,11328,96,90,0
1,0,81,A5,11328,11424,96,90,0
1,0,79,G5,11424,11520,96,90,0
1,0,78,F#5,11520,11616,96,90,0
1,0,76,E5,11616,11712,96,90,0
1,0,74,D5,11712,11904,192,90,0
1,0,74,D5,11904,12096,192,90,0
2,1,67,G4,11904,12096,192,90,0
2,1,71,B4,11904,12096,192,90,0
1,0,74,D5,12096,12288,192,90,0
2,1,66,F#4,12096,12288,192,90,0
2,1,69,A4,12096,12288,192,90,0
