# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,1578958
# meta,0,0,time_signature,1/8
track,channel,pitch,vel,start,end
1,0,71,80,0,469.3333333333333
2,0,64,80,512,1066.6666666666665
2,0,67,80,512,1066.6666666666665
2,0,71,80,512,1066.6666666666665
1,0,76,80,512,597.3333333333333
1,0,75,80,554.6666666666666,640
1,0,76,80,640,1024
2,0,64,80,1066.6666666666665,1578.6666666666665
2,0,67,80,1066.6666666666665,1578.6666666666665
2,0,71,80,1066.6666666666665,1578.6666666666665
1,0,76,80,1066.6666666666665,1706.6666666666665
2,0,64,80,1578.6666666666665,2048
2,0,67,80,1578.6666666666665,2048
2,0,71,80,1578.6666666666665,2048
1,0,76,80,1749.3333333333333,1920
1,0,78,80,1877.3333333333333,2090.6666666666665
2,0,64,80,2048,2517.333333333333
2,0,67,80,2048,2517.333333333333
2,0,71,80,2048,2560
1,0,79,80,2048,2218.6666666666665
1,0,78,80,2218.6666666666665,2389.333333333333
1,0,76,80,2389.333333333333,2560
2,0,63,80,2560,3114.6666666666665
2,0,66,80,2560,3114.6666666666665
2,0,71,80,2560,3114.6666666666665
1,0,76,80,2560,2858.6666666666665
1,0,78,80,2816,2858.6666666666665
1,0,76,80,2858.6666666666665,2944
1,0,78,80,2944,3072
2,0,63,80,3114.6666666666665,3626.6666666666665
2,0,66,80,3114.6666666666665,3626.6666666666665
2,0,71,80,3114.6666666666665,3626.6666666666665
1,0,78,80,3114.6666666666665,3754.6666666666665
2,0,63,80,3626.6666666666665,4096
2,0,66,80,3626.6666666666665,4096
2,0,71,80,3626.6666666666665,4096
1,0,78,80,3797.333333333333,3968
1,0,79,80,3925.333333333333,4138.666666666666
2,0,63,80,4096,4565.333333333333
2,0,66,80,4096,4565.333333333333
2,0,71,80,4096,4608
1,0,81,80,4096,4266.666666666666
1,0,79,80,4266.666666666666,4437.333333333333
1,0,78,80,4437.333333333333,4565.333333333333
2,0,52,80,4608,5120
2,0,64,80,4608,5162.666666666666
1,0,79,80,4608,4821.333333333333
1,0,78,80,4821.333333333333,4992
