# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,56,80,0,240
1,0,74,80,0,240
1,0,77,80,0,240
2,0,57,80,240,480
2,0,59,80,480,720
1,0,74,80,480,720
1,0,77,80,480,720
1,0,60,80,720,960
1,0,74,80,840,960
1,0,77,80,840,960
1,0,62,80,960,1200
1,0,68,80,960,1920
1,0,71,80,960,1920
1,0,65,80,1200,1440
1,0,64,80,1440,1680
1,0,62,80,1680,1920
2,0,53,80,1920,2160
1,0,72,80,1920,2160
1,0,76,80,1920,2160
2,0,55,80,2160,2400
2,0,57,80,2400,2640
1,0,72,80,2400,2640
1,0,76,80,2400,2640
2,0,59,80,2640,2880
1,0,72,80,2760,2880
1,0,76,80,2760,2880
1,0,60,80,2880,3120
1,0,65,80,2880,3840
1,0,69,80,2880,3840
1,0,64,80,3120,3360
1,0,62,80,3360,3600
1,0,60,80,3600,3840
1,0,62,80,3840,4080
1,0,65,80,3840,4080
1,0,69,80,3840,4080
1,0,70,80,3840,4080
1,0,60,80,4080,4320
1,0,65,80,4200,4320
1,0,69,80,4200,4320
1,0,70,80,4200,4320
2,0,58,80,4320,4560
1,0,77,80,4320,4800
2,0,57,80,4560,4800
2,0,55,80,4800,5040
1,0,65,80,4800,5040
1,0,69,80,4800,5040
1,0,70,80,4800,5040
2,0,53,80,5040,5280
1,0,65,80,5160,5280
1,0,69,80,5160,5280
1,0,70,80,5160,5280
2,0,52,80,5280,5520
1,0,82,80,5280,5760
2,0,50,80,5520,5760
2,0,52,80,5760,6000
2,0,56,80,5760,6000
1,0,68,80,5760,5920
1,0,69,80,5920,6080
1,0,71,80,6080,6240
2,0,53,80,6240,6480
2,0,57,80,6240,6480
1,0,72,80,6240,6400
1,0,73,80,6400,6560
1,0,74,80,6560,6720
2,0,52,80,6720,7680
2,0,56,80,6720,7680
1,0,75,80,6720,6880
1,0,76,80,6880,7040
1,0,77,80,7040,7200
1,0,78,80,7200,7360
1,0,79,80,7360,7520
1,0,80,80,7520,7680
2,0,50,80,7680,7920
1,0,74,80,7680,8160
1,0,77,80,7680,7920
1,0,81,80,7680,7920
2,0,52,80,7920,8160
2,0,53,80,8160,8400
1,0,77,80,8160,8400
1,0,77,80,8160,8640
1,0,81,80,8160,8400
2,0,56,80,8400,8640
1,0,77,80,8520,8640
1,0,81,80,8520,8640
2,0,57,80,8640,8880
1,0,72,80,8640,8880
1,0,76,80,8640,8880
1,0,76,80,8640,9360
2,0,59,80,8880,9120
1,0,60,80,9120,9360
1,0,72,80,9120,9360
1,0,76,80,9120,9360
1,0,64,80,9360,9600
1,0,72,80,9360,9600
1,0,65,80,9600,9840
1,0,71,80,9600,9840
1,0,71,80,9600,9960
1,0,74,80,9600,9840
2,0,56,80,9840,10080
1,0,74,80,9960,10080
1,0,74,80,9960,10080
1,0,77,80,9960,10080
2,0,57,80,10080,10320
1,0,72,80,10080,10320
1,0,72,80,10080,10440
1,0,76,80,10080,10320
2,0,59,80,10320,10560
1,0,71,80,10440,10560
1,0,71,80,10440,10560
1,0,74,80,10440,10560
1,0,60,80,10560,10800
1,0,69,80,10560,10800
1,0,69,80,10560,11040
1,0,72,80,10560,10800
2,0,48,80,10800,11040
1,0,72,80,10920,11040
1,0,76,80,10920,11040
2,0,50,80,11040,11280
1,0,64,80,11040,11520
1,0,71,80,11040,11280
1,0,74,80,11040,11280
2,0,52,80,11280,11520
1,0,69,80,11400,11520
1,0,72,80,11400,11520
2,0,53,80,11520,11760
1,0,65,80,11520,12000
1,0,69,80,11520,11760
1,0,70,80,11520,11760
2,0,50,80,11760,12000
2,0,52,80,12000,12240
1,0,69,80,12000,12240
1,0,70,80,12000,12240
1,0,74,80,12000,12480
2,0,53,80,12240,12480
1,0,69,80,12360,12480
1,0,70,80,12360,12480
2,0,54,80,12480,12720
1,0,69,80,12480,12720
1,0,71,80,12480,12720
1,0,75,80,12480,12960
2,0,51,80,12720,12960
2,0,52,80,12960,13200
1,0,66,80,12960,13440
1,0,69,80,12960,13200
1,0,71,80,12960,13200
2,0,54,80,13200,13440
1,0,69,80,13320,13440
1,0,71,80,13320,13440
2,0,55,80,13440,13680
1,0,67,80,13440,13920
1,0,70,80,13440,13680
1,0,72,80,13440,13680
2,0,52,80,13680,13920
2,0,53,80,13920,14160
1,0,70,80,13920,14160
1,0,72,80,13920,14160
1,0,77,80,13920,14400
2,0,55,80,14160,14400
1,0,70,80,14280,14400
1,0,72,80,14280,14400
2,0,57,80,14400,14640
1,0,69,80,14400,15360
1,0,73,80,14400,15360
1,0,76,80,14400,14880
2,0,55,80,14640,14880
2,0,53,80,14880,15120
2,0,52,80,15120,15360
2,0,50,80,15360,15600
1,0,74,80,15360,15840
1,0,77,80,15360,15600
1,0,81,80,15360,15600
2,0,52,80,15600,15840
2,0,53,80,15840,16080
1,0,77,80,15840,16080
1,0,77,80,15840,16320
1,0,81,80,15840,16080
2,0,56,80,16080,16320
1,0,77,80,16200,16320
1,0,81,80,16200,16320
2,0,57,80,16320,16560
1,0,72,80,16320,16560
1,0,76,80,16320,16560
1,0,76,80,16320,17040
2,0,59,80,16560,16800
1,0,60,80,16800,17040
1,0,72,80,16800,17040
1,0,76,80,16800,17040
1,0,64,80,17040,17280
1,0,72,80,17040,17280
