# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,454545
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,53,80,0,3072
1,0,60,80,384,768
1,0,57,80,768,1344
1,0,57,80,1344,1440
1,0,60,80,1440,1536
1,0,53,80,1536,2304
1,0,57,80,2304,2688
1,0,59,80,2688,3072
2,0,52,80,3072,4608
1,0,60,80,3072,3840
1,0,60,80,3840,4224
1,0,60,80,4224,4608
2,0,50,80,4608,6144
1,0,65,80,4608,5184
1,0,59,80,5184,5376
1,0,59,80,5376,5760
1,0,59,80,5760,6048
1,0,60,80,6048,6144
2,0,48,80,6144,10752
1,0,60,80,6144,6912
1,0,64,80,6912,7488
1,0,67,80,7488,7680
1,0,64,80,7680,8064
1,0,64,80,8064,8448
1,0,60,80,8448,8736
1,0,60,80,8736,8832
1,0,55,80,8832,9024
1,0,57,80,9024,9216
1,0,58,80,9216,9504
1,0,58,80,9504,9600
1,0,58,80,9600,9984
1,0,58,80,9984,10368
1,0,58,80,10368,10656
1,0,57,80,10656,10752
2,0,53,80,10752,12288
1,0,57,80,10752,11136
1,0,57,80,11136,11520
1,0,65,80,11520,12096
1,0,69,80,12096,12288
2,0,54,80,12288,15360
1,0,62,80,12288,12672
1,0,62,80,12672,13056
1,0,57,80,13056,13344
1,0,57,80,13344,13440
1,0,57,80,13440,13632
1,0,59,80,13632,13824
1,0,60,80,13824,14112
1,0,60,80,14112,14208
1,0,60,80,14208,14592
1,0,60,80,14592,14976
1,0,60,80,14976,15264
1,0,59,80,15264,15360
2,0,55,80,15360,16512
1,0,59,80,15360,16128
1,0,59,80,16128,16704
2,0,54,80,16512,16896
1,0,62,80,16704,16896
2,0,52,80,16896,17664
1,0,67,80,16896,17664
2,0,47,80,17664,18048
1,0,62,80,17664,18240
2,0,48,80,18048,18432
1,0,64,80,18240,18432
2,0,55,80,18432,19200
1,0,64,80,18432,19200
2,0,43,80,19200,19968
1,0,62,80,19200,19776
1,0,60,80,19776,19968
2,0,48,80,19968,20736
1,0,60,80,19968,20736
