# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,357142
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,36,80,0,768
2,0,48,80,0,768
1,0,60,80,0,768
2,0,39,80,768,1152
2,0,51,80,768,1152
1,0,63,80,768,1152
2,0,43,80,1152,1536
2,0,55,80,1152,1536
1,0,67,80,1152,1536
2,0,48,80,1536,1920
2,0,60,80,1536,1920
1,0,72,80,1536,1920
2,0,51,80,1920,2304
2,0,63,80,1920,2304
1,0,75,80,1920,2304
1,0,75,80,2592,2688
1,0,75,80,2688,2880
1,0,74,80,2880,2976
1,0,75,80,2976,3072
1,0,79,80,3072,3456
2,0,63,80,3456,3840
2,0,67,80,3456,3840
1,0,72,80,3456,3840
2,0,63,80,3840,4224
2,0,67,80,3840,4224
1,0,72,80,3840,4224
2,0,63,80,4224,4608
2,0,67,80,4224,4608
1,0,72,80,4224,4608
1,0,80,80,4608,4992
2,0,62,80,4992,5376
2,0,65,80,4992,5376
2,0,68,80,4992,5376
1,0,71,80,4992,5376
2,0,62,80,5376,5760
2,0,65,80,5376,5760
2,0,68,80,5376,5760
1,0,71,80,5376,5760
2,0,31,80,6144,6912
2,0,43,80,6144,6912
1,0,55,80,6144,6912
2,0,35,80,6912,7296
2,0,47,80,6912,7296
1,0,59,80,6912,7296
2,0,38,80,7296,7680
2,0,50,80,7296,7680
1,0,62,80,7296,7680
2,0,43,80,7680,8064
2,0,55,80,7680,8064
1,0,67,80,7680,8064
2,0,47,80,8064,8448
2,0,59,80,8064,8448
1,0,71,80,8064,8448
1,0,74,80,8736,8832
1,0,74,80,8832,9024
1,0,72,80,9024,9120
1,0,74,80,9120,9216
1,0,77,80,9216,9600
2,0,62,80,9600,9984
2,0,65,80,9600,9984
2,0,68,80,9600,9984
1,0,71,80,9600,9984
2,0,62,80,9984,10368
2,0,65,80,9984,10368
2,0,68,80,9984,10368
1,0,71,80,9984,10368
2,0,62,80,10368,10752
2,0,65,80,10368,10752
2,0,68,80,10368,10752
1,0,71,80,10368,10752
1,0,79,80,10752,11136
2,0,63,80,11136,11520
2,0,67,80,11136,11520
1,0,72,80,11136,11520
2,0,63,80,11520,11904
2,0,67,80,11520,11904
1,0,72,80,11520,11904
2,0,43,80,12288,12480
1,0,67,80,12288,13440
2,0,55,80,12480,12672
2,0,43,80,12672,12864
2,0,55,80,12864,13056
2,0,43,80,13056,13248
2,0,55,80,13248,13440
2,0,43,80,13440,13632
1,0,67,80,13440,13824
1,0,75,80,13440,14208
2,0,55,80,13632,13824
2,0,43,80,13824,14016
1,0,66,80,13824,14208
2,0,55,80,14016,14208
2,0,43,80,14208,14400
1,0,65,80,14208,14592
1,0,74,80,14208,14976
2,0,55,80,14400,14592
2,0,43,80,14592,14784
1,0,64,80,14592,14976
2,0,55,80,14784,14976
2,0,43,80,14976,15168
1,0,63,80,14976,15360
1,0,72,80,14976,15744
2,0,55,80,15168,15360
2,0,43,80,15360,15552
1,0,62,80,15360,16128
2,0,55,80,15552,15744
2,0,43,80,15744,15936
1,0,71,80,15744,16128
2,0,55,80,15936,16128
2,0,43,80,16128,16320
2,0,55,80,16320,16512
2,0,43,80,16512,16704
1,0,75,80,16512,17280
1,0,79,80,16512,16896
2,0,55,80,16704,16896
2,0,43,80,16896,17088
1,0,78,80,16896,17280
2,0,55,80,17088,17280
2,0,43,80,17280,17472
1,0,74,80,17280,18048
1,0,77,80,17280,17664
2,0,55,80,17472,17664
2,0,43,80,17664,17856
1,0,76,80,17664,18048
2,0,55,80,17856,18048
2,0,43,80,18048,18240
1,0,72,80,18048,18816
1,0,75,80,18048,18432
2,0,55,80,18240,18432
2,0,43,80,18432,18624
1,0,74,80,18432,19200
2,0,55,80,18624,18816
2,0,55,80,18816,19008
1,0,71,80,18816,19200
2,0,55,80,19008,19200
2,0,41,80,19200,19392
2,0,53,80,19392,19584
2,0,53,80,19584,19776
1,0,71,80,19584,20352
1,0,74,80,19584,20352
1,0,80,80,19584,20352
2,0,53,80,19776,19968
2,0,39,80,19968,20160
2,0,51,80,20160,20352
2,0,51,80,20352,20544
1,0,72,80,20352,20736
1,0,75,80,20352,20736
1,0,79,80,20352,20736
2,0,51,80,20544,20736
2,0,35,80,20736,20928
2,0,47,80,20928,21120
1,0,67,80,21024,21120
2,0,47,80,21120,21312
1,0,74,80,21120,21408
2,0,47,80,21312,21504
1,0,77,80,21408,21504
2,0,36,80,21504,21696
1,0,75,80,21504,21600
1,0,74,80,21600,21696
2,0,48,80,21696,21888
1,0,75,80,21696,21792
1,0,77,80,21792,21888
2,0,48,80,21888,22080
1,0,79,80,21888,22272
2,0,48,80,22080,22272
2,0,41,80,22272,22464
2,0,53,80,22464,22656
2,0,53,80,22656,22848
1,0,71,80,22656,23424
1,0,74,80,22656,23424
1,0,80,80,22656,23424
2,0,53,80,22848,23040
2,0,39,80,23040,23232
2,0,51,80,23232,23424
2,0,51,80,23424,23616
1,0,72,80,23424,23808
1,0,75,80,23424,23808
1,0,79,80,23424,23808
2,0,51,80,23616,23808
2,0,38,80,23808,24000
2,0,50,80,24000,24192
1,0,77,80,24096,24192
2,0,50,80,24192,24384
1,0,83,80,24192,24480
2,0,50,80,24384,24576
1,0,89,80,24480,24576
2,0,48,80,24576,24960
1,0,87,80,24576,24768
1,0,79,80,24768,24960
1,0,84,80,24960,25152
1,0,75,80,25152,25344
2,0,53,80,25344,25728
1,0,77,80,25536,25728
1,0,80,80,25728,25920
1,0,74,80,25920,26112
2,0,55,80,26112,26496
1,0,75,80,26304,26496
1,0,79,80,26496,26688
1,0,72,80,26688,26880
2,0,43,80,26880,27264
1,0,74,80,27072,27264
1,0,77,80,27264,27456
1,0,71,80,27456,27648
2,0,60,80,27648,28416
