# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,74,80,0,480
1,0,67,80,1920,2880
1,0,72,80,1920,2880
1,0,72,80,1920,2880
1,0,76,80,1920,2640
1,0,78,80,1920,2400
1,0,76,80,2400,2880
1,0,74,80,2640,2880
1,0,66,80,2880,3840
1,0,69,80,2880,3840
1,0,72,80,2880,3360
1,0,74,80,2880,3840
1,0,71,80,3360,3600
1,0,69,80,3600,3840
1,0,67,80,3840,4800
1,0,71,80,3840,4800
1,0,74,80,3840,4560
1,0,76,80,3840,4320
1,0,74,80,4320,4800
1,0,72,80,4560,4800
1,0,64,80,4800,5760
1,0,67,80,4800,5280
1,0,71,80,4800,5280
1,0,71,80,4800,5760
1,0,69,80,5280,5520
1,0,67,80,5520,5760
1,0,62,80,5760,6720
1,0,62,80,5760,6720
1,0,67,80,5760,6720
1,0,71,80,5760,6240
1,0,71,80,5760,6300
1,0,69,80,6240,6480
1,0,71,80,6240,6720
1,0,72,80,6240,6300
1,0,71,80,6480,6720
1,0,62,80,6720,7440
1,0,62,80,6720,7680
1,0,66,80,6720,7440
1,0,69,80,6720,7680
1,0,72,80,6720,7440
1,0,60,80,7440,7680
1,0,62,80,7440,7680
1,0,66,80,7440,7680
2,0,59,80,7680,7920
1,0,62,80,7680,7920
1,0,67,80,7680,7920
1,0,67,80,7680,7920
2,0,59,80,8160,8400
1,0,62,80,8160,8400
1,0,67,80,8160,8400
2,0,43,80,8640,9120
2,0,55,80,8640,9120
2,0,59,80,9120,9360
1,0,62,80,9120,9360
1,0,67,80,9120,9360
2,0,31,80,9600,10080
2,0,43,80,9600,10080
1,0,67,80,9600,10080
2,0,58,80,10080,10320
1,0,62,80,10080,10320
1,0,67,80,10080,10320
1,0,67,80,10080,10320
1,0,69,80,10320,10560
2,0,43,80,10560,11040
2,0,55,80,10560,11040
1,0,70,80,10560,11040
2,0,58,80,11040,11280
1,0,62,80,11040,11280
1,0,67,80,11040,11280
1,0,70,80,11040,11280
1,0,72,80,11280,11520
2,0,38,80,11520,12000
2,0,50,80,11520,12000
1,0,74,80,11520,12480
2,0,57,80,12000,12240
1,0,62,80,12000,12240
1,0,66,80,12000,12240
2,0,31,80,12480,12960
2,0,43,80,12480,12960
1,0,74,80,12480,12960
2,0,55,80,12960,13200
2,0,59,80,12960,13200
1,0,65,80,12960,13200
1,0,75,80,12960,13200
1,0,74,80,13200,13440
2,0,36,80,13440,13920
2,0,48,80,13440,13920
1,0,72,80,13440,13920
2,0,55,80,13920,14160
1,0,60,80,13920,14160
1,0,63,80,13920,14160
1,0,72,80,13920,14400
2,0,41,80,14400,14880
1,0,72,80,14400,14880
2,0,53,80,14880,15120
2,0,57,80,14880,15120
1,0,63,80,14880,15120
