# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,77,80,240,480
2,0,59,80,480,720
1,0,68,80,480,720
1,0,74,80,480,720
1,0,79,80,480,720
1,0,60,80,1440,1920
1,0,67,80,1440,1920
1,0,72,80,1440,1920
1,0,77,80,1440,1680
1,0,75,80,1680,1920
2,0,50,80,1920,2160
1,0,68,80,1920,2160
1,0,71,80,1920,2160
1,0,74,80,1920,2160
2,0,51,80,2160,2640
1,0,67,80,2160,2640
1,0,72,80,2160,2400
1,0,74,80,2400,2640
2,0,48,80,2640,2880
1,0,67,80,2640,2880
1,0,72,80,2640,2880
1,0,75,80,2640,2880
1,0,77,80,2640,2700
2,0,53,80,2880,3360
1,0,65,80,2880,3360
1,0,70,80,2880,3360
1,0,74,80,2880,3600
2,0,53,80,3360,3600
2,0,58,80,3360,3600
1,0,62,80,3360,3600
1,0,65,80,3360,3600
1,0,70,80,3360,3600
2,0,53,80,3600,4080
2,0,57,80,3600,4080
1,0,63,80,3600,4080
1,0,65,80,3600,4080
1,0,72,80,3600,4080
2,0,53,80,4080,4320
1,0,63,80,4080,4320
1,0,65,80,4080,4320
1,0,72,80,4080,4200
1,0,70,80,4200,4320
2,0,46,80,4320,4800
2,0,53,80,4320,4800
1,0,62,80,4320,4800
1,0,65,80,4320,4800
1,0,70,80,4320,4800
2,0,46,80,4800,5040
2,0,53,80,4800,5040
2,0,58,80,4800,5040
1,0,62,80,4800,5040
2,0,46,80,5040,5520
2,0,53,80,5040,5520
2,0,58,80,5040,5520
1,0,62,80,5040,5520
2,0,46,80,5520,5760
2,0,53,80,5520,5760
2,0,58,80,5520,5760
1,0,62,80,5520,5760
2,0,46,80,5760,6240
2,0,53,80,5760,6240
2,0,58,80,5760,6240
1,0,62,80,5760,6240
2,0,46,80,6240,6480
2,0,53,80,6240,6480
2,0,58,80,6240,6480
1,0,62,80,6240,6480
2,0,46,80,6480,6960
2,0,53,80,6480,6960
2,0,58,80,6480,6960
1,0,62,80,6480,6960
1,0,65,80,6720,6960
2,0,46,80,6960,7200
2,0,53,80,6960,7200
2,0,58,80,6960,7200
1,0,62,80,6960,7200
1,0,70,80,6960,7200
2,0,46,80,7200,7680
2,0,53,80,7200,7680
2,0,58,80,7200,7680
1,0,62,80,7200,7680
1,0,74,80,7200,7680
2,0,46,80,7680,7920
2,0,53,80,7680,7920
2,0,58,80,7680,7920
1,0,62,80,7680,7920
1,0,74,80,7680,7920
2,0,46,80,7920,8400
2,0,53,80,7920,8400
2,0,58,80,7920,8400
1,0,62,80,7920,8400
1,0,74,80,7920,8400
2,0,46,80,8400,8640
2,0,54,80,8400,8640
2,0,58,80,8400,8640
1,0,62,80,8400,8640
1,0,74,80,8400,8640
2,0,46,80,8640,9120
2,0,55,80,8640,9120
2,0,58,80,8640,9120
1,0,63,80,8640,9120
1,0,77,80,8640,8880
1,0,75,80,8880,9120
2,0,46,80,9120,9360
2,0,55,80,9120,9360
2,0,58,80,9120,9360
1,0,63,80,9120,9360
1,0,74,80,9120,9360
2,0,46,80,9360,9840
2,0,53,80,9360,9840
2,0,57,80,9360,9840
1,0,63,80,9360,9840
1,0,72,80,9360,10080
2,0,46,80,9840,10080
