# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,400000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,34,80,0,192
2,0,46,80,0,192
2,0,33,80,192,480
2,0,45,80,192,480
2,0,31,80,480,576
2,0,43,80,480,576
2,0,31,80,576,1344
2,0,43,80,576,1344
1,0,57,80,768,960
1,0,60,80,768,1536
1,0,63,80,768,1152
2,0,51,80,960,1152
2,0,50,80,1152,1536
2,0,57,80,1152,1536
1,0,62,80,1152,1536
2,0,30,80,1344,1536
2,0,42,80,1344,1536
2,0,33,80,1536,1728
2,0,45,80,1536,1728
2,0,33,80,1728,2496
2,0,45,80,1728,2496
1,0,60,80,1920,2112
1,0,63,80,1920,2688
1,0,66,80,1920,2304
2,0,54,80,2112,2304
2,0,55,80,2304,2688
1,0,67,80,2304,2688
2,0,34,80,2496,2688
2,0,46,80,2496,2688
2,0,31,80,2688,2880
2,0,43,80,2688,2880
2,0,34,80,2880,3648
2,0,46,80,2880,3648
1,0,60,80,3072,3264
1,0,63,80,3072,3840
1,0,67,80,3072,3456
2,0,55,80,3264,3456
2,0,54,80,3456,3840
1,0,66,80,3456,3840
2,0,33,80,3648,3840
2,0,45,80,3648,3840
2,0,36,80,3840,4032
2,0,48,80,3840,4032
2,0,36,80,4032,4800
2,0,48,80,4032,4800
1,0,63,80,4224,4416
1,0,66,80,4224,4608
1,0,69,80,4224,4608
2,0,57,80,4416,4608
2,0,58,80,4608,4992
1,0,67,80,4608,4992
1,0,70,80,4608,4992
2,0,38,80,4800,4992
2,0,50,80,4800,4992
2,0,34,80,4992,5184
2,0,46,80,4992,5184
2,0,49,80,5184,5952
2,0,61,80,5184,5952
1,0,70,80,5376,5568
1,0,75,80,5376,5760
1,0,79,80,5376,5760
1,0,67,80,5568,5760
1,0,66,80,5760,6144
1,0,69,80,5760,6144
1,0,74,80,5760,6144
1,0,78,80,5760,6144
2,0,50,80,5952,6144
2,0,62,80,5952,6144
2,0,45,80,6144,6336
2,0,57,80,6144,6336
2,0,47,80,6336,7104
2,0,59,80,6336,7104
1,0,68,80,6528,6720
1,0,73,80,6528,6912
1,0,77,80,6528,6912
1,0,65,80,6720,6912
1,0,64,80,6912,7296
1,0,67,80,6912,7296
1,0,72,80,6912,7296
1,0,76,80,6912,7296
2,0,48,80,7104,7296
2,0,60,80,7104,7296
2,0,43,80,7296,7488
2,0,55,80,7296,7488
2,0,47,80,7488,8256
2,0,59,80,7488,8256
1,0,68,80,7680,7872
1,0,73,80,7680,8064
1,0,77,80,7680,8064
1,0,65,80,7872,8064
1,0,64,80,8064,8448
1,0,67,80,8064,8448
1,0,72,80,8064,8448
1,0,76,80,8064,8448
2,0,48,80,8256,8448
2,0,60,80,8256,8448
2,0,43,80,8448,8640
2,0,55,80,8448,8640
2,0,43,80,8640,8832
2,0,55,80,8640,8832
2,0,42,80,8832,9024
2,0,54,80,8832,9024
1,0,63,80,8832,9024
1,0,69,80,8832,9024
1,0,72,80,8832,9024
1,0,75,80,8832,9024
2,0,43,80,9024,9216
2,0,55,80,9024,9216
2,0,46,80,9216,9408
2,0,58,80,9216,9408
2,0,45,80,9408,9600
2,0,57,80,9408,9600
2,0,43,80,9696,9792
2,0,55,80,9696,9792
2,0,43,80,9792,10560
2,0,55,80,9792,10560
1,0,69,80,9984,10176
1,0,72,80,9984,10752
1,0,75,80,9984,10368
1,0,63,80,10176,10368
1,0,62,80,10368,10752
1,0,69,80,10368,10752
1,0,74,80,10368,10752
2,0,42,80,10560,10752
2,0,54,80,10560,10752
2,0,45,80,10752,10944
2,0,57,80,10752,10944
2,0,45,80,10944,11712
2,0,57,80,10944,11712
1,0,72,80,11136,11328
1,0,75,80,11136,11904
1,0,78,80,11136,11520
1,0,66,80,11328,11520
1,0,67,80,11520,11904
1,0,79,80,11520,11904
2,0,46,80,11712,11904
2,0,58,80,11712,11904
2,0,43,80,11904,12096
2,0,55,80,11904,12096
2,0,46,80,12096,12864
2,0,58,80,12096,12864
1,0,72,80,12288,12480
1,0,75,80,12288,13056
1,0,79,80,12288,12672
1,0,67,80,12480,12672
1,0,66,80,12672,13056
1,0,72,80,12672,13056
1,0,78,80,12672,13056
2,0,45,80,12864,13056
2,0,57,80,12864,13056
2,0,48,80,13056,13248
2,0,60,80,13056,13248
2,0,48,80,13248,14016
2,0,60,80,13248,14016
1,0,75,80,13440,13632
1,0,78,80,13440,13824
1,0,81,80,13440,13824
1,0,69,80,13632,13824
1,0,70,80,13824,14208
1,0,79,80,13824,14208
1,0,82,80,13824,14208
2,0,50,80,14016,14208
2,0,62,80,14016,14208
2,0,46,80,14208,14400
2,0,58,80,14208,14400
2,0,55,80,14400,14592
2,0,67,80,14400,14592
2,0,51,80,14592,14784
2,0,63,80,14592,14784
1,0,79,80,14592,14784
1,0,82,80,14592,14976
2,0,50,80,14784,14976
2,0,62,80,14784,14976
1,0,70,80,14784,14976
2,0,50,80,14976,15360
2,0,62,80,14976,15360
1,0,76,80,15168,15360
1,0,79,80,15168,15552
1,0,81,80,15168,15552
2,0,49,80,15360,15552
2,0,61,80,15360,15552
1,0,69,80,15360,15552
2,0,53,80,15552,15744
2,0,65,80,15552,15744
2,0,49,80,15744,15936
2,0,61,80,15744,15936
1,0,77,80,15744,15936
1,0,80,80,15744,16128
2,0,48,80,15936,16128
2,0,60,80,15936,16128
1,0,68,80,15936,16128
2,0,48,80,16128,16512
2,0,60,80,16128,16512
1,0,74,80,16320,16512
1,0,77,80,16320,16704
1,0,79,80,16320,16704
2,0,47,80,16512,16704
2,0,59,80,16512,16704
1,0,67,80,16512,16704
2,0,51,80,16704,16896
2,0,63,80,16704,16896
2,0,48,80,16896,17088
2,0,60,80,16896,17088
1,0,67,80,16896,17088
1,0,72,80,16896,17280
1,0,75,80,16896,17280
2,0,46,80,17088,17280
2,0,58,80,17088,17280
1,0,63,80,17088,17280
2,0,45,80,17280,17472
2,0,57,80,17280,17472
2,0,48,80,17472,17664
2,0,60,80,17472,17664
1,0,66,80,17472,17664
1,0,72,80,17472,17856
1,0,75,80,17472,17856
2,0,44,80,17664,17856
2,0,56,80,17664,17856
1,0,63,80,17664,17856
2,0,43,80,17856,18048
2,0,55,80,17856,18048
1,0,63,80,17856,17952
1,0,67,80,17856,17952
1,0,72,80,17856,17952
1,0,75,80,17856,17952
2,0,42,80,18048,18240
2,0,54,80,18048,18240
1,0,63,80,18048,18144
1,0,68,80,18048,18144
1,0,72,80,18048,18144
1,0,75,80,18048,18144
2,0,41,80,18240,18432
2,0,53,80,18240,18432
2,0,40,80,18432,18624
2,0,52,80,18432,18624
2,0,39,80,18624,18816
2,0,51,80,18624,18816
2,0,38,80,18816,19008
2,0,50,80,18816,19008
2,0,37,80,19008,19200
2,0,49,80,19008,19200
2,0,49,80,19200,19392
2,0,61,80,19200,19392
1,0,68,80,19200,19392
1,0,73,80,19200,19584
1,0,77,80,19200,19584
2,0,49,80,19392,19584
2,0,61,80,19392,19584
1,0,65,80,19392,19584
2,0,49,80,19584,19776
2,0,61,80,19584,19776
2,0,49,80,19776,19968
2,0,61,80,19776,19968
1,0,70,80,19776,19968
1,0,75,80,19776,20160
1,0,79,80,19776,20160
2,0,49,80,19968,20160
2,0,61,80,19968,20160
1,0,67,80,19968,20160
2,0,48,80,20160,20352
2,0,60,80,20160,20352
2,0,46,80,20352,20544
2,0,58,80,20352,20544
1,0,72,80,20352,20544
1,0,75,80,20352,20736
1,0,80,80,20352,20736
2,0,44,80,20544,20736
2,0,56,80,20544,20736
1,0,68,80,20544,20736
2,0,43,80,20736,20928
2,0,55,80,20736,20928
2,0,41,80,20928,21120
2,0,53,80,20928,21120
1,0,68,80,20928,21120
