# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,697674
# meta,0,0,time_signature,6/4
track,channel,pitch,vel,start,end
2,0,37,80,0,480
2,0,49,80,0,480
2,0,53,80,240,480
2,0,56,80,480,720
1,0,61,80,720,960
2,0,32,80,960,1440
2,0,44,80,960,1440
1,0,65,80,960,1440
2,0,37,80,1440,1920
2,0,49,80,1440,1920
2,0,53,80,1680,1920
2,0,56,80,1920,2160
1,0,61,80,2160,2400
2,0,32,80,2400,2880
2,0,44,80,2400,2880
1,0,65,80,2400,2880
2,0,37,80,2880,3360
2,0,49,80,2880,3360
2,0,53,80,3120,3360
2,0,56,80,3360,3600
1,0,61,80,3600,3840
2,0,32,80,3840,4320
2,0,44,80,3840,4320
1,0,65,80,3840,4320
2,0,37,80,4320,4800
2,0,49,80,4320,4800
2,0,53,80,4560,4800
2,0,56,80,4800,5040
1,0,61,80,5040,5280
2,0,32,80,5280,5760
2,0,44,80,5280,5760
1,0,65,80,5280,5760
1,0,65,80,5520,5760
2,0,37,80,5760,6240
2,0,49,80,5760,6240
1,0,65,80,5760,6960
2,0,53,80,6000,6240
2,0,56,80,6240,6480
1,0,61,80,6480,6720
2,0,32,80,6720,7200
2,0,44,80,6720,7200
1,0,65,80,6720,7200
1,0,64,80,6960,7200
2,0,37,80,7200,7680
2,0,49,80,7200,7680
1,0,65,80,7200,8400
2,0,53,80,7440,7680
2,0,56,80,7680,7920
1,0,61,80,7920,8160
2,0,32,80,8160,8640
2,0,44,80,8160,8640
1,0,65,80,8160,8640
1,0,66,80,8400,8640
2,0,37,80,8640,9120
2,0,49,80,8640,9120
1,0,68,80,8640,9120
2,0,53,80,8880,9120
2,0,56,80,9120,9360
1,0,70,80,9120,9600
1,0,61,80,9360,9600
2,0,32,80,9600,10080
2,0,44,80,9600,10080
1,0,65,80,9600,10080
1,0,72,80,9600,10080
2,0,37,80,10080,10560
2,0,49,80,10080,10560
1,0,73,80,10080,10560
2,0,53,80,10320,10560
2,0,56,80,10560,10800
1,0,61,80,10800,11040
2,0,32,80,11040,11520
2,0,44,80,11040,11520
1,0,65,80,11040,11520
1,0,73,80,11280,11520
2,0,39,80,11520,12000
2,0,51,80,11520,12000
1,0,72,80,11520,12720
2,0,54,80,11760,12000
2,0,56,80,12000,12240
1,0,60,80,12240,12480
2,0,32,80,12480,12960
2,0,44,80,12480,12960
