# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,625000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,39,80,0,480
1,0,67,80,0,480
2,0,51,80,60,540
1,0,70,80,60,540
1,0,75,80,120,600
1,0,79,80,180,660
2,0,43,80,720,1200
1,0,63,80,720,1200
2,0,55,80,780,1260
1,0,67,80,780,1260
1,0,71,80,840,1320
1,0,75,80,900,1380
2,0,44,80,1440,1920
1,0,60,80,1440,1920
2,0,56,80,1500,1980
1,0,63,80,1500,1980
1,0,67,80,1560,2040
1,0,72,80,1620,2100
1,0,65,80,2040,2100
1,0,67,80,2100,2160
1,0,65,80,2160,2340
1,0,64,80,2340,2520
1,0,65,80,2520,2700
1,0,67,80,2700,2880
2,0,38,80,2880,3360
1,0,65,80,2880,3360
2,0,50,80,2940,3420
1,0,68,80,2940,3420
1,0,74,80,3000,3480
1,0,77,80,3060,3540
2,0,41,80,3600,4080
1,0,62,80,3600,4080
2,0,53,80,3660,4140
1,0,65,80,3660,4140
1,0,68,80,3720,4200
1,0,74,80,3780,4260
2,0,43,80,4320,4800
2,0,58,80,4320,4800
2,0,55,80,4380,4860
1,0,62,80,4380,4860
1,0,65,80,4440,4920
1,0,70,80,4500,4980
1,0,63,80,4920,4980
1,0,65,80,4980,5040
1,0,63,80,5040,5220
1,0,62,80,5220,5400
1,0,63,80,5400,5580
1,0,65,80,5580,5760
2,0,36,80,5760,6240
1,0,63,80,5760,6240
2,0,48,80,5820,6300
1,0,67,80,5820,6300
1,0,72,80,5880,6360
1,0,75,80,5940,6420
2,0,39,80,6480,6960
1,0,60,80,6480,6960
2,0,51,80,6540,7020
1,0,63,80,6540,7020
1,0,67,80,6600,7080
1,0,72,80,6660,7140
2,0,41,80,7200,7680
2,0,56,80,7200,7680
2,0,53,80,7260,7740
1,0,60,80,7260,7740
1,0,63,80,7320,7800
1,0,68,80,7380,7860
1,0,60,80,7800,7860
1,0,63,80,7860,7920
1,0,60,80,7920,8100
2,0,59,80,8100,8280
1,0,60,80,8280,8460
1,0,61,80,8460,8640
2,0,34,80,8640,9120
2,0,55,80,8640,9120
2,0,46,80,8700,9180
2,0,58,80,8700,9180
1,0,62,80,8760,9240
1,0,67,80,8820,9300
2,0,34,80,9360,9840
2,0,53,80,9360,9840
2,0,46,80,9420,9900
2,0,56,80,9420,9900
1,0,62,80,9480,9960
1,0,65,80,9540,10020
2,0,39,80,10080,10560
2,0,51,80,10080,10560
2,0,55,80,10140,10620
2,0,58,80,10200,10680
1,0,63,80,10260,10740
2,0,34,80,10800,11280
2,0,46,80,10800,11280
2,0,51,80,10800,11280
2,0,55,80,10860,11340
2,0,58,80,10920,11400
1,0,63,80,10980,11460
2,0,39,80,11520,12000
2,0,51,80,11520,12000
2,0,55,80,11580,12060
2,0,58,80,11640,12120
1,0,63,80,11700,12180
1,0,67,80,12240,12960
1,0,70,80,12240,12480
1,0,70,80,12240,12960
1,0,75,80,12240,12960
1,0,79,80,12240,12960
1,0,82,80,12240,12960
1,0,70,80,12480,12720
1,0,70,80,12720,12960
1,0,63,80,12960,13680
1,0,67,80,12960,13200
1,0,67,80,12960,13680
1,0,72,80,13020,13740
1,0,75,80,13080,13800
1,0,79,80,13140,13860
1,0,67,80,13200,13440
1,0,67,80,13440,13680
1,0,62,80,13680,14400
1,0,65,80,13680,13920
1,0,65,80,13680,14400
1,0,70,80,13740,14460
1,0,77,80,13800,14520
1,0,65,80,13920,14160
1,0,65,80,14160,14400
2,0,55,80,14400,15120
2,0,58,80,14400,14880
2,0,58,80,14400,15120
1,0,63,80,14460,15180
1,0,67,80,14520,15240
1,0,70,80,14580,15300
2,0,58,80,14880,15120
2,0,58,80,15120,15840
1,0,65,80,15120,15360
1,0,65,80,15120,15840
1,0,70,80,15180,15900
1,0,74,80,15240,15960
1,0,77,80,15300,16020
1,0,65,80,15360,15600
1,0,63,80,15600,15840
2,0,51,80,15840,16320
1,0,67,80,15840,16560
1,0,67,80,15840,16320
1,0,70,80,15900,16380
1,0,75,80,15960,16440
1,0,79,80,16020,16500
2,0,55,80,16560,17040
2,0,58,80,16560,17040
1,0,67,80,16560,17520
1,0,63,80,16620,17100
1,0,67,80,16680,17160
1,0,70,80,16740,17220
2,0,58,80,17280,17760
1,0,63,80,17280,17760
1,0,67,80,17340,17820
1,0,70,80,17400,17880
1,0,75,80,17460,17940
1,0,63,80,18000,18720
1,0,67,80,18000,18240
1,0,67,80,18000,18720
1,0,70,80,18060,18780
1,0,75,80,18120,18840
1,0,79,80,18180,18900
1,0,67,80,18240,18480
1,0,67,80,18480,18720
1,0,62,80,18720,19440
1,0,65,80,18720,18960
1,0,65,80,18720,19440
1,0,70,80,18780,19500
1,0,77,80,18840,19560
1,0,65,80,18960,19200
1,0,65,80,19200,19440
1,0,60,80,19440,20160
1,0,63,80,19440,19680
1,0,63,80,19440,20160
1,0,67,80,19500,20220
1,0,72,80,19560,20280
1,0,75,80,19620,20340
1,0,63,80,19680,19920
1,0,63,80,19920,20160
2,0,53,80,20160,20880
1,0,62,80,20160,20640
1,0,62,80,20160,20880
1,0,65,80,20220,20940
1,0,70,80,20280,21000
1,0,74,80,20340,21060
1,0,62,80,20640,20880
2,0,41,80,20880,21600
1,0,60,80,20880,21120
1,0,60,80,20880,21600
1,0,65,80,20940,21660
1,0,69,80,21000,21720
1,0,72,80,21060,21780
1,0,60,80,21120,21360
2,0,58,80,21360,21600
2,0,46,80,21600,22080
2,0,58,80,21600,22320
2,0,58,80,21600,22080
1,0,62,80,21660,22140
1,0,65,80,21720,22200
1,0,70,80,21780,22260
2,0,58,80,22320,23280
2,0,58,80,22320,22800
1,0,62,80,22320,22800
1,0,65,80,22380,22860
1,0,70,80,22440,22920
1,0,74,80,22500,22980
1,0,62,80,23040,23520
1,0,65,80,23040,23520
1,0,70,80,23100,23580
1,0,74,80,23160,23640
1,0,77,80,23220,23700
2,0,53,80,23760,24480
1,0,68,80,23760,24000
1,0,60,80,23820,24540
1,0,65,80,23880,24600
1,0,68,80,23940,24660
1,0,68,80,24000,24240
1,0,72,80,24000,24720
1,0,77,80,24060,24780
1,0,80,80,24120,24840
1,0,68,80,24240,24480
2,0,58,80,24480,24960
1,0,65,80,24480,24720
1,0,62,80,24540,25020
1,0,65,80,24600,25080
1,0,70,80,24660,25140
1,0,65,80,24720,24960
1,0,74,80,24720,25200
1,0,77,80,24780,25260
1,0,65,80,24960,25200
2,0,53,80,25200,25920
1,0,68,80,25200,25440
1,0,60,80,25260,25980
1,0,65,80,25320,26040
1,0,68,80,25380,26100
1,0,68,80,25440,25680
1,0,72,80,25440,26160
1,0,77,80,25500,26220
1,0,80,80,25560,26280
1,0,68,80,25680,25920
2,0,58,80,25920,26640
1,0,67,80,25920,26160
1,0,60,80,25980,26700
1,0,63,80,26040,26760
1,0,67,80,26100,26820
1,0,65,80,26160,26400
1,0,72,80,26160,26880
1,0,75,80,26220,26940
1,0,79,80,26280,27000
1,0,63,80,26400,26640
2,0,58,80,26640,27120
1,0,65,80,26640,27120
1,0,62,80,26700,27180
1,0,65,80,26760,27240
1,0,68,80,26820,27300
1,0,70,80,26880,27360
1,0,74,80,26940,27420
1,0,77,80,27000,27480
1,0,63,80,27120,27360
2,0,27,80,27360,27840
2,0,39,80,27360,27840
1,0,63,80,27360,28080
2,0,51,80,28080,28560
1,0,63,80,28080,29040
2,0,55,80,28140,28620
2,0,58,80,28200,28680
1,0,63,80,28260,28740
1,0,63,80,28800,29280
1,0,67,80,28860,29340
1,0,70,80,28920,29400
1,0,75,80,28980,29460
2,0,51,80,29520,30000
2,0,55,80,29580,30060
2,0,58,80,29640,30120
1,0,63,80,29700,30180
2,0,27,80,30240,30720
2,0,39,80,30240,30720
2,0,51,80,30960,31440
2,0,55,80,31020,31500
2,0,58,80,31080,31560
1,0,63,80,31140,31620
1,0,63,80,31680,32160
1,0,67,80,31740,32220
1,0,70,80,31800,32280
1,0,75,80,31860,32340
1,0,75,80,32160,32400
2,0,51,80,32400,32880
1,0,75,80,32400,32880
2,0,55,80,32460,32940
2,0,58,80,32520,33000
1,0,63,80,32580,33060
1,0,75,80,32880,33120
2,0,27,80,33120,33600
2,0,39,80,33120,33600
1,0,75,80,33120,33360
1,0,72,80,33360,35040
2,0,51,80,33840,34320
2,0,55,80,33900,34380
2,0,58,80,33960,34440
