# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,0,40
1,0,72,80,0,40
1,0,72,80,0,40
1,0,72,80,0,40
1,0,60,80,48,176
1,0,72,80,48,176
1,0,72,80,48,176
1,0,72,80,48,176
1,0,60,80,192,232
1,0,72,80,192,232
1,0,72,80,192,232
1,0,72,80,192,232
2,0,53,80,240,416
1,0,69,80,240,416
1,0,72,80,240,608
1,0,77,80,240,416
2,0,57,80,432,608
1,0,65,80,432,608
1,0,77,80,432,608
1,0,60,80,624,800
1,0,64,80,624,800
1,0,79,80,624,800
1,0,72,80,768,808
2,0,58,80,816,992
1,0,67,80,816,944
1,0,72,80,816,944
1,0,79,80,816,992
1,0,67,80,960,1000
1,0,72,80,960,1000
2,0,57,80,1008,1472
1,0,72,80,1008,1184
1,0,77,80,1008,1184
1,0,84,80,1008,1280
1,0,72,80,1200,1328
1,0,77,80,1200,1328
1,0,81,80,1296,1376
1,0,72,80,1344,1384
1,0,77,80,1344,1384
1,0,72,80,1392,1472
1,0,77,80,1392,1472
1,0,77,80,1392,1472
1,0,77,80,1536,1576
2,0,57,80,1584,1760
1,0,77,80,1584,1712
1,0,81,80,1584,1712
1,0,72,80,1728,1768
1,0,77,80,1728,1768
2,0,58,80,1776,1952
1,0,74,80,1776,1952
1,0,74,80,1776,1952
1,0,70,80,1920,1960
2,0,55,80,1968,2336
1,0,74,80,1968,2096
1,0,79,80,1968,2144
1,0,82,80,1968,2336
1,0,70,80,2112,2152
1,0,67,80,2160,2336
1,0,77,80,2160,2336
1,0,60,80,2352,2528
1,0,70,80,2352,2528
1,0,76,80,2352,2480
1,0,79,80,2352,2480
1,0,72,80,2496,2536
1,0,76,80,2496,2536
1,0,65,80,2544,2720
1,0,69,80,2544,2720
1,0,72,80,2544,2720
1,0,77,80,2544,2912
1,0,60,80,2736,2864
1,0,69,80,2736,2864
1,0,72,80,2736,2864
2,0,57,80,2880,2920
1,0,69,80,2880,2920
1,0,72,80,2880,2920
2,0,53,80,2928,3104
1,0,69,80,2928,3104
1,0,72,80,2928,3104
2,0,57,80,3120,3248
1,0,72,80,3120,3248
