# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,53,80,0,240
2,0,57,80,0,480
2,0,57,80,0,480
2,0,52,80,240,480
2,0,50,80,1920,2400
2,0,53,80,1920,2400
1,0,62,80,1920,2400
1,0,62,80,1920,2400
2,0,46,80,2400,2880
2,0,55,80,2400,2880
1,0,64,80,2400,2880
1,0,64,80,2400,2880
2,0,45,80,2880,3360
2,0,57,80,2880,3360
1,0,65,80,2880,3360
1,0,65,80,2880,3360
2,0,41,80,3360,3840
1,0,60,80,3360,3840
1,0,69,80,3360,3840
1,0,69,80,3360,3840
2,0,40,80,3840,4320
2,0,58,80,3840,4800
1,0,67,80,3840,4800
1,0,67,80,3840,4800
2,0,43,80,4320,4800
2,0,46,80,4800,5280
2,0,55,80,4800,5280
1,0,64,80,4800,5280
1,0,64,80,4800,5280
2,0,41,80,5280,5760
2,0,57,80,5280,5760
1,0,65,80,5280,5760
1,0,65,80,5280,5760
2,0,43,80,5760,6240
2,0,53,80,5760,6240
2,0,58,80,5760,6240
1,0,62,80,5760,6240
1,0,62,80,5760,6240
2,0,43,80,6240,6720
2,0,53,80,6240,6720
2,0,58,80,6240,6720
1,0,62,80,6240,6720
1,0,62,80,6240,6720
2,0,45,80,6720,7200
2,0,52,80,6720,7200
2,0,57,80,6720,7200
1,0,60,80,6720,7200
1,0,60,80,6720,7200
2,0,46,80,7200,7680
2,0,50,80,7200,7680
2,0,53,80,7200,7680
2,0,58,80,7200,7680
2,0,58,80,7200,7680
2,0,45,80,7680,8640
2,0,49,80,7680,8640
2,0,52,80,7680,8640
2,0,57,80,7680,8640
2,0,57,80,7680,8640
2,0,52,80,9120,9600
2,0,57,80,9120,9600
2,0,57,80,9120,9600
2,0,50,80,9600,10080
2,0,53,80,9600,10080
2,0,57,80,9600,10080
1,0,62,80,9600,10080
1,0,62,80,9600,10080
2,0,48,80,10080,10560
2,0,55,80,10080,10560
1,0,60,80,10080,10560
1,0,64,80,10080,10560
1,0,64,80,10080,10560
2,0,45,80,10560,11040
2,0,57,80,10560,11040
1,0,60,80,10560,11040
1,0,65,80,10560,11040
1,0,65,80,10560,11040
2,0,41,80,11040,11520
1,0,60,80,11040,11520
1,0,65,80,11040,11520
1,0,69,80,11040,11520
1,0,69,80,11040,11520
2,0,38,80,11520,12000
1,0,60,80,11520,12480
1,0,65,80,11520,12480
1,0,72,80,11520,12480
1,0,72,80,11520,12480
2,0,45,80,12000,12480
2,0,53,80,12480,12960
1,0,60,80,12480,12960
1,0,69,80,12480,12960
1,0,69,80,12480,12960
2,0,50,80,12960,13440
2,0,57,80,12960,13440
1,0,65,80,12960,13440
1,0,65,80,12960,13440
2,0,48,80,13440,13920
2,0,57,80,13440,14400
1,0,64,80,13440,13920
1,0,64,80,13440,13920
2,0,50,80,13920,14400
1,0,65,80,13920,14400
1,0,65,80,13920,14400
2,0,47,80,14400,14880
2,0,57,80,14400,15360
1,0,62,80,14400,14880
1,0,62,80,14400,14880
2,0,41,80,14880,15360
2,0,59,80,14880,15360
2,0,59,80,14880,15360
2,0,36,80,15360,15840
2,0,55,80,15360,16320
1,0,60,80,15360,16320
1,0,64,80,15360,16320
1,0,64,80,15360,16320
2,0,43,80,15840,16320
2,0,48,80,16320,16800
2,0,52,80,16800,17280
2,0,56,80,16800,17280
2,0,59,80,16800,17280
1,0,64,80,16800,17280
1,0,64,80,16800,17280
2,0,50,80,17280,17760
2,0,57,80,17280,17760
1,0,62,80,17280,17760
1,0,65,80,17280,17760
1,0,65,80,17280,17760
2,0,48,80,17760,18240
1,0,60,80,17760,18240
1,0,64,80,17760,18240
1,0,67,80,17760,18240
1,0,67,80,17760,18240
2,0,41,80,18240,18720
2,0,53,80,18240,18720
1,0,60,80,18240,18720
1,0,69,80,18240,18720
1,0,69,80,18240,18720
2,0,45,80,18720,19200
2,0,52,80,18720,19200
1,0,62,80,18720,19200
1,0,69,80,18720,19200
1,0,72,80,18720,19200
1,0,72,80,18720,19200
2,0,44,80,19200,19680
