# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,64,80,0,480
2,0,43,80,1920,2880
2,0,52,80,1920,2880
2,0,59,80,1920,2880
1,0,64,80,1920,2880
1,0,71,80,1920,2400
1,0,71,80,2400,2880
2,0,45,80,2880,3840
2,0,54,80,2880,3840
1,0,61,80,2880,3840
1,0,66,80,2880,3840
1,0,69,80,2880,3360
1,0,66,80,3360,3840
2,0,47,80,3840,5760
2,0,55,80,3840,5280
1,0,62,80,3840,4800
1,0,62,80,3840,5760
1,0,67,80,3840,5280
1,0,64,80,4800,5280
2,0,54,80,5280,5760
1,0,66,80,5280,5760
1,0,66,80,5280,5760
2,0,42,80,5760,6720
2,0,50,80,5760,6720
2,0,57,80,5760,6720
2,0,59,80,5760,6720
1,0,62,80,5760,6720
1,0,69,80,5760,6240
1,0,69,80,6240,6720
2,0,43,80,6720,7680
2,0,52,80,6720,7680
1,0,64,80,6720,7200
1,0,67,80,6720,7200
1,0,62,80,7200,7680
1,0,66,80,7200,7680
2,0,45,80,7680,9120
2,0,52,80,7680,9120
2,0,57,80,7680,9120
1,0,61,80,7680,9120
1,0,64,80,7680,9120
1,0,64,80,9120,9600
1,0,69,80,9600,10080
1,0,69,80,10080,10560
1,0,71,80,10560,11040
2,0,40,80,11040,11520
2,0,52,80,11040,11520
1,0,64,80,11040,11520
1,0,67,80,11040,11520
1,0,73,80,11040,11520
1,0,73,80,11040,11520
2,0,35,80,11520,13440
2,0,47,80,11520,13440
1,0,62,80,11520,13440
1,0,66,80,11520,13440
1,0,74,80,11520,12480
1,0,74,80,11520,13440
1,0,71,80,12480,12960
1,0,71,80,12960,13440
2,0,35,80,13440,15360
2,0,47,80,13440,15360
2,0,55,80,13440,14880
2,0,59,80,13440,14880
1,0,67,80,13440,14880
1,0,76,80,13440,13920
1,0,76,80,13920,14400
1,0,74,80,14400,14880
2,0,57,80,14880,15360
1,0,61,80,14880,15360
1,0,69,80,14880,15360
1,0,73,80,14880,15360
2,0,35,80,15360,16320
2,0,47,80,15360,16320
2,0,59,80,15360,16320
1,0,62,80,15360,16320
1,0,71,80,15360,16320
1,0,71,80,15360,16320
1,0,71,80,16800,17280
1,0,69,80,17280,18000
1,0,69,80,18000,18240
1,0,71,80,18240,18720
2,0,33,80,18720,19200
2,0,45,80,18720,19200
1,0,64,80,18720,19200
1,0,69,80,18720,19200
1,0,73,80,18720,19200
1,0,73,80,18720,19200
2,0,31,80,19200,21120
2,0,43,80,19200,21120
1,0,62,80,19200,21120
1,0,71,80,19200,20640
1,0,74,80,19200,20160
1,0,74,80,19200,21120
1,0,71,80,20160,21120
1,0,71,80,20640,21120
2,0,31,80,21120,23040
