# DoReDog MIDI extraction
# source,BitMidi (traditional, public domain)
# ticks_per_quarter,384
# meta,0,0,tempo,800000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,58,80,768,1136
2,0,58,80,1152,3456
1,0,63,80,1152,1872
1,0,63,80,1152,3072
1,0,67,80,1152,3456
1,0,67,80,1920,2224
1,0,67,80,2304,3056
1,0,61,80,3072,3456
1,0,65,80,3072,3440
2,0,56,80,3456,4608
1,0,60,80,3456,4608
1,0,63,80,3456,4176
1,0,63,80,3456,8064
1,0,68,80,3456,4608
1,0,60,80,4224,4624
2,0,58,80,4608,5312
2,0,58,80,4608,10368
1,0,67,80,4608,8064
2,0,58,80,5376,5760
1,0,63,80,5760,6480
1,0,67,80,6528,6784
1,0,67,80,6912,7664
1,0,65,80,7680,7968
1,0,62,80,8064,10368
1,0,65,80,8064,10368
1,0,70,80,8064,9968
1,0,62,80,9216,10368
1,0,67,80,9984,10352
2,0,58,80,10368,12672
1,0,63,80,10368,12288
1,0,67,80,10368,12672
1,0,70,80,10368,11136
1,0,67,80,11136,11504
1,0,63,80,11520,12256
2,0,58,80,12288,12512
1,0,61,80,12288,12672
2,0,56,80,12672,13824
1,0,60,80,12672,13424
1,0,60,80,12672,13824
1,0,63,80,12672,13824
1,0,63,80,13440,13776
2,0,58,80,13824,14560
2,0,58,80,13824,14976
1,0,63,80,13824,14976
1,0,67,80,13824,14976
2,0,58,80,14592,14944
1,0,60,80,14976,16128
1,0,63,80,14976,15664
1,0,63,80,14976,16128
1,0,67,80,14976,16128
1,0,67,80,15744,15936
2,0,58,80,16128,17280
1,0,62,80,16128,17280
1,0,65,80,16128,17280
1,0,67,80,16128,16784
1,0,65,80,16896,17168
1,0,63,80,17280,19296
1,0,63,80,17280,17664
1,0,68,80,17280,17664
1,0,72,80,17280,17664
1,0,62,80,17664,18048
1,0,67,80,17664,18048
1,0,70,80,17664,18048
1,0,60,80,18048,18432
1,0,65,80,18048,18432
1,0,68,80,18048,18432
2,0,58,80,18432,19584
1,0,63,80,18432,19584
1,0,67,80,18432,19584
2,0,58,80,19200,19456
1,0,70,80,19200,19456
1,0,70,80,19200,19584
1,0,60,80,19456,19584
1,0,72,80,19456,19584
2,0,36,80,19584,20736
2,0,39,80,19584,19968
2,0,39,80,19584,20608
2,0,39,80,19584,19968
2,0,44,80,19584,19712
2,0,51,80,19584,19840
2,0,58,80,19584,19968
1,0,63,80,19584,21808
1,0,63,80,19584,19968
1,0,67,80,19584,21792
1,0,67,80,19584,19968
1,0,70,80,19584,21792
1,0,75,80,19584,20656
1,0,75,80,19584,19968
1,0,75,80,19584,20304
1,0,87,80,19584,19968
2,0,44,80,19840,19968
2,0,44,80,19968,20096
2,0,55,80,19968,20352
2,0,58,80,19968,20352
1,0,63,80,19968,20352
2,0,44,80,20224,20352
1,0,77,80,20352,20592
2,0,37,80,20352,20736
2,0,39,80,20352,20480
2,0,44,80,20352,20480
2,0,55,80,20352,20736
2,0,58,80,20352,20736
1,0,63,80,20352,20480
1,0,63,80,20352,20736
1,0,67,80,20352,20480
1,0,70,80,20352,20480
1,0,75,80,20592,20768
2,0,44,80,20608,20736
2,0,44,80,20608,20736
2,0,46,80,20608,20736
1,0,63,80,20608,20992
1,0,68,80,20608,20736
1,0,72,80,20608,20736
2,0,36,80,20736,21504
2,0,39,80,20736,20992
2,0,39,80,20736,21120
2,0,39,80,20736,21120
2,0,44,80,20736,20864
1,0,67,80,20736,20992
1,0,70,80,20736,20992
1,0,73,80,20736,21840
1,0,78,80,20768,20784
1,0,79,80,20784,21472
2,0,44,80,20992,21120
2,0,41,80,21120,21504
2,0,41,80,21120,21504
2,0,44,80,21120,21248
2,0,55,80,21120,21504
2,0,58,80,21120,21504
1,0,63,80,21120,21504
1,0,68,80,21120,21504
2,0,44,80,21376,21504
1,0,77,80,21488,21888
2,0,37,80,21504,21888
2,0,43,80,21504,21632
2,0,43,80,21504,21888
2,0,44,80,21504,21632
2,0,55,80,21504,21888
2,0,58,80,21504,21888
1,0,63,80,21504,21888
1,0,70,80,21504,21632
2,0,44,80,21760,21888
1,0,75,80,21872,22672
2,0,36,80,21888,23040
2,0,44,80,21888,22656
2,0,44,80,21888,23040
2,0,44,80,21888,22272
2,0,44,80,21888,22016
1,0,63,80,21888,23008
1,0,68,80,21888,22976
1,0,68,80,21888,22656
1,0,72,80,21888,22976
1,0,72,80,21888,22656
1,0,75,80,21888,24128
1,0,75,80,21888,22656
2,0,44,80,22144,22272
2,0,44,80,22272,22400
2,0,56,80,22272,22656
1,0,60,80,22272,22656
1,0,63,80,22272,22656
2,0,44,80,22528,22656
2,0,37,80,22656,23040
2,0,44,80,22656,22784
2,0,56,80,22656,23040
1,0,60,80,22656,23040
1,0,63,80,22656,23040
1,0,71,80,22656,22704
1,0,72,80,22704,23024
2,0,44,80,22912,23040
2,0,44,80,22912,23040
1,0,68,80,22912,23040
1,0,72,80,22912,23040
1,0,75,80,22912,23040
2,0,36,80,23040,23808
2,0,39,80,23040,23808
2,0,39,80,23040,24064
2,0,39,80,23040,23424
2,0,44,80,23040,23168
1,0,63,80,23040,24144
1,0,67,80,23040,24144
1,0,67,80,23040,23680
1,0,70,80,23040,24144
1,0,70,80,23040,23552
1,0,70,80,23040,24000
1,0,75,80,23040,23552
2,0,44,80,23296,23424
2,0,44,80,23424,23552
2,0,55,80,23424,23808
2,0,58,80,23424,23808
1,0,63,80,23424,23808
2,0,44,80,23680,23808
2,0,37,80,23808,24192
2,0,44,80,23808,23936
2,0,55,80,23808,24192
2,0,58,80,23808,24064
2,0,58,80,23808,24192
1,0,63,80,23808,24192
1,0,70,80,23808,24064
1,0,70,80,24048,24192
2,0,44,80,24064,24192
2,0,46,80,24064,24192
1,0,60,80,24064,24192
1,0,72,80,24064,24192
2,0,36,80,24192,25344
2,0,39,80,24192,24576
2,0,39,80,24192,24576
2,0,44,80,24192,24320
2,0,51,80,24192,24576
2,0,51,80,24192,24960
2,0,58,80,24192,24576
1,0,63,80,24192,26496
1,0,63,80,24192,24576
1,0,67,80,24192,26496
1,0,67,80,24192,24576
1,0,70,80,24192,26496
1,0,75,80,24192,26496
1,0,75,80,24208,24944
2,0,44,80,24448,24576
2,0,44,80,24576,24704
2,0,55,80,24576,24960
2,0,58,80,24576,24960
1,0,63,80,24576,24960
2,0,44,80,24832,24960
1,0,78,80,24944,24976
2,0,37,80,24960,25344
2,0,39,80,24960,25088
2,0,44,80,24960,25088
2,0,46,80,24960,25344
2,0,55,80,24960,25344
2,0,58,80,24960,25344
1,0,63,80,24960,25088
1,0,63,80,24960,25344
1,0,67,80,24960,25088
1,0,70,80,24960,25088
