# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,375000
# meta,0,0,time_signature,3/2
track,channel,pitch,vel,start,end
1,0,60,80,768,2256
1,0,55,80,1872,1920
1,0,55,80,2304,3072
2,0,48,80,3072,4608
1,0,63,80,3072,4560
1,0,62,80,4176,4224
2,0,43,80,4608,5376
1,0,62,80,4608,6528
2,0,51,80,5376,7680
1,0,55,80,6528,6912
1,0,57,80,6912,7680
2,0,50,80,7680,8448
1,0,59,80,7680,8832
2,0,48,80,8448,9216
1,0,60,80,8832,9216
2,0,55,80,9216,9984
1,0,60,80,9216,10752
2,0,43,80,9984,11520
1,0,59,80,10752,11520
2,0,48,80,11520,12288
1,0,60,80,11520,12288
1,0,63,80,12288,13056
1,0,65,80,13056,13824
1,0,67,80,13824,16080
2,0,55,80,14592,15360
2,0,57,80,15360,16128
1,0,65,80,15504,15536
1,0,63,80,15536,15552
2,0,58,80,16128,16896
1,0,62,80,16128,16896
1,0,62,80,16896,17616
1,0,63,80,17616,17648
1,0,62,80,17648,17664
1,0,63,80,17664,18432
1,0,65,80,18432,20688
2,0,53,80,19200,19968
2,0,55,80,19968,20736
1,0,63,80,20112,20144
1,0,62,80,20144,20160
2,0,56,80,20736,21504
1,0,60,80,20736,21888
1,0,59,80,21888,22272
1,0,60,80,22272,22656
1,0,62,80,22656,23040
1,0,63,80,23040,23808
2,0,51,80,23808,24576
1,0,62,80,23808,24960
2,0,53,80,24576,25344
1,0,60,80,24960,25344
2,0,55,80,25344,26112
1,0,59,80,25344,26112
1,0,62,80,26112,27264
1,0,62,80,27264,27648
1,0,63,80,27648,28416
2,0,60,80,28416,29184
1,0,63,80,28416,29568
2,0,58,80,29184,29952
1,0,64,80,29568,29952
2,0,57,80,29952,30720
1,0,65,80,29952,30720
2,0,62,80,30720,31488
1,0,65,80,30720,31872
2,0,60,80,31488,32256
1,0,66,80,31872,32256
2,0,58,80,32256,33024
1,0,67,80,32256,33408
2,0,46,80,33024,33792
1,0,65,80,33408,33792
2,0,48,80,33792,35328
1,0,63,80,33792,34176
1,0,62,80,34176,34560
1,0,60,80,34560,34944
1,0,58,80,34944,35328
2,0,50,80,35328,36864
1,0,57,80,35328,36816
1,0,55,80,36432,36480
2,0,43,80,36864,37632
1,0,55,80,36864,37632
2,0,62,80,37632,38400
2,0,63,80,38400,39168
2,0,59,80,39168,39936
2,0,59,80,39936,40704
1,0,62,80,39936,40704
2,0,60,80,40704,41472
1,0,63,80,40704,41472
1,0,59,80,41472,42240
2,0,55,80,42240,43008
1,0,59,80,42240,43008
2,0,56,80,43008,43776
2,0,52,80,43776,45312
1,0,67,80,44544,45312
2,0,53,80,45312,46080
1,0,68,80,45312,46080
2,0,48,80,46080,46848
1,0,64,80,46080,46848
2,0,46,80,46848,47616
1,0,64,80,46848,47232
1,0,60,80,47232,47616
2,0,44,80,47616,48000
1,0,65,80,47616,47808
1,0,64,80,47808,48000
2,0,46,80,48000,48384
1,0,65,80,48000,48384
2,0,48,80,48384,49152
1,0,65,80,48384,49152
2,0,36,80,49152,50688
1,0,64,80,49152,50304
1,0,65,80,50304,50688
2,0,41,80,50688,52224
1,0,65,80,50688,51456
1,0,68,80,51456,52176
1,0,67,80,52176,52224
1,0,65,80,52224,52992
1,0,62,80,52992,53760
2,0,58,80,53760,54528
1,0,62,80,53760,54528
2,0,46,80,54528,55296
2,0,51,80,55296,56832
1,0,67,80,56064,56784
1,0,65,80,56784,56832
1,0,63,80,56832,57600
1,0,60,80,57600,58368
2,0,56,80,58368,59136
1,0,60,80,58368,59136
2,0,53,80,59136,59904
2,0,50,80,59904,62208
1,0,65,80,59904,60672
1,0,65,80,60672,61392
1,0,63,80,61392,61440
1,0,62,80,61440,62208
2,0,55,80,62208,62592
1,0,59,80,62208,63744
2,0,53,80,62592,62976
2,0,55,80,62976,63360
2,0,56,80,63360,63744
2,0,55,80,63744,64128
1,0,59,80,63744,64512
2,0,53,80,64128,64512
2,0,52,80,64512,64896
2,0,50,80,64896,65280
2,0,52,80,65280,65664
1,0,67,80,65280,66432
2,0,48,80,65664,66048
2,0,50,80,66048,66432
2,0,52,80,66432,66816
1,0,68,80,66432,66624
1,0,70,80,66624,66816
2,0,53,80,66816,68352
1,0,68,80,66816,67200
1,0,67,80,67200,67584
1,0,65,80,67584,67968
1,0,63,80,67968,68352
2,0,54,80,68352,69120
1,0,62,80,68352,68736
1,0,60,80,68736,69120
2,0,55,80,69120,69888
1,0,63,80,69120,69888
2,0,43,80,69888,71424
1,0,62,80,69888,71424
2,0,48,80,71424,73728
1,0,60,80,71424,72192
1,0,56,80,72960,75264
2,0,46,80,73728,76032
1,0,55,80,74832,74880
1,0,55,80,75264,76032
2,0,44,80,76032,78336
1,0,60,80,76800,78288
1,0,58,80,77904,77952
2,0,43,80,78336,79104
1,0,59,80,78336,79104
2,0,55,80,79104,80640
1,0,62,80,79104,79872
1,0,63,80,79872,80640
2,0,56,80,80640,81408
1,0,65,80,80640,81408
2,0,55,80,81408,82176
1,0,67,80,81408,82560
2,0,53,80,82176,82944
1,0,68,80,82560,82944
2,0,55,80,82944,83712
1,0,63,80,82944,84864
2,0,43,80,83712,85248
1,0,62,80,84864,85056
1,0,60,80,85056,85248
2,0,48,80,85248,87552
1,0,60,80,85248,87552
