# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,375000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,43,80,0,128
2,0,55,80,0,128
1,0,67,80,0,128
1,0,67,80,0,128
2,0,42,80,128,256
2,0,54,80,128,256
1,0,66,80,128,256
1,0,66,80,128,256
2,0,43,80,256,384
2,0,55,80,256,384
1,0,67,80,256,384
1,0,67,80,256,384
2,0,46,80,384,768
2,0,58,80,384,768
1,0,70,80,384,768
1,0,70,80,384,768
2,0,43,80,768,1152
2,0,55,80,768,1152
1,0,67,80,768,1152
1,0,67,80,768,1152
2,0,38,80,1152,1536
2,0,50,80,1152,1536
1,0,62,80,1152,1536
1,0,62,80,1152,1536
2,0,48,80,1536,1664
1,0,60,80,1536,1664
1,0,72,80,1536,1664
1,0,72,80,1536,1664
2,0,50,80,1664,1792
1,0,62,80,1664,1792
1,0,74,80,1664,1792
1,0,74,80,1664,1792
2,0,48,80,1792,1920
1,0,60,80,1792,1920
1,0,72,80,1792,1920
1,0,72,80,1792,1920
2,0,51,80,1920,2304
1,0,63,80,1920,2304
1,0,75,80,1920,2304
1,0,75,80,1920,2304
2,0,48,80,2304,2688
1,0,60,80,2304,2688
1,0,72,80,2304,2688
1,0,72,80,2304,2688
2,0,42,80,2688,3072
2,0,54,80,2688,3072
1,0,66,80,2688,3072
1,0,66,80,2688,3072
2,0,50,80,3072,3200
1,0,62,80,3072,3200
1,0,74,80,3072,3200
1,0,74,80,3072,3200
2,0,51,80,3200,3328
1,0,63,80,3200,3328
1,0,75,80,3200,3328
1,0,75,80,3200,3328
2,0,48,80,3328,3456
1,0,60,80,3328,3456
1,0,72,80,3328,3456
1,0,72,80,3328,3456
2,0,46,80,3456,3840
2,0,58,80,3456,3840
1,0,70,80,3456,3840
1,0,70,80,3456,3840
2,0,46,80,3840,3968
2,0,58,80,3840,3968
1,0,70,80,3840,3968
1,0,70,80,3840,3968
2,0,48,80,3968,4096
1,0,60,80,3968,4096
1,0,72,80,3968,4096
1,0,72,80,3968,4096
2,0,45,80,4096,4224
2,0,57,80,4096,4224
1,0,69,80,4096,4224
1,0,69,80,4096,4224
2,0,43,80,4224,4608
2,0,55,80,4224,4608
1,0,67,80,4224,4608
1,0,67,80,4224,4608
2,0,38,80,4608,4992
2,0,50,80,4608,4992
1,0,62,80,4608,4992
1,0,62,80,4608,4992
2,0,39,80,4992,5376
2,0,51,80,4992,5376
1,0,63,80,4992,5376
1,0,63,80,4992,5376
2,0,38,80,5376,5568
2,0,50,80,5376,5568
1,0,62,80,5376,5568
1,0,62,80,5376,5568
2,0,39,80,5760,6144
2,0,51,80,5760,6144
1,0,63,80,5760,6144
1,0,63,80,5760,6144
2,0,38,80,6144,6288
2,0,50,80,6144,6288
1,0,62,80,6144,6288
1,0,62,80,6144,6288
2,0,38,80,6480,6528
2,0,50,80,6480,6528
1,0,62,80,6480,6528
1,0,62,80,6480,6528
2,0,39,80,6528,7664
2,0,51,80,6528,7664
1,0,63,80,6528,7664
1,0,63,80,6528,7664
2,0,38,80,7632,7664
2,0,50,80,7632,7664
1,0,62,80,7632,7664
1,0,62,80,7632,7664
2,0,39,80,7664,8016
2,0,51,80,7664,8016
1,0,63,80,7664,8016
1,0,63,80,7664,8016
2,0,38,80,8064,8448
2,0,50,80,8064,8448
1,0,62,80,8064,8448
1,0,62,80,8064,8448
2,0,50,80,8448,8832
1,0,62,80,8448,8832
1,0,74,80,8448,8832
1,0,74,80,8448,8832
1,0,67,80,9216,9344
1,0,66,80,9344,9472
1,0,67,80,9472,9600
1,0,70,80,9600,9984
1,0,67,80,9984,10368
1,0,79,80,9984,10752
1,0,82,80,9984,10752
1,0,62,80,10368,10752
1,0,72,80,10752,10880
1,0,78,80,10752,11136
1,0,81,80,10752,11136
1,0,74,80,10880,11008
1,0,72,80,11008,11136
1,0,75,80,11136,11520
1,0,72,80,11520,11904
1,0,84,80,11520,12288
1,0,87,80,11520,12288
1,0,66,80,11904,12288
1,0,74,80,12288,12672
1,0,82,80,12288,12480
1,0,86,80,12288,12480
1,0,81,80,12480,12672
1,0,84,80,12480,12672
1,0,67,80,12672,13056
1,0,79,80,12672,13056
1,0,82,80,12672,13056
1,0,69,80,13056,13440
1,0,78,80,13056,13440
1,0,81,80,13056,13440
1,0,70,80,13440,13824
1,0,79,80,13440,13824
1,0,79,80,13440,13824
1,0,62,80,13824,14208
1,0,74,80,13824,14208
1,0,78,80,13824,14208
1,0,63,80,14208,14592
1,0,73,80,14208,14592
1,0,79,80,14208,14592
1,0,62,80,14592,14784
1,0,74,80,14592,14976
1,0,78,80,14592,14784
1,0,63,80,14976,15360
1,0,73,80,14976,15360
1,0,79,80,14976,15360
1,0,62,80,15360,15504
1,0,74,80,15360,15744
1,0,78,80,15360,15504
1,0,62,80,15696,15744
1,0,78,80,15696,15744
1,0,63,80,15744,16880
1,0,67,80,15744,16128
1,0,79,80,15744,16880
1,0,69,80,16128,16320
1,0,70,80,16320,16512
1,0,72,80,16512,16896
1,0,62,80,16848,16880
1,0,78,80,16848,16880
1,0,63,80,16880,17232
1,0,79,80,16880,17232
1,0,73,80,16896,17280
1,0,62,80,17280,17664
1,0,74,80,17280,17664
1,0,78,80,17280,17664
1,0,74,80,17664,18048
1,0,67,80,18432,18560
1,0,66,80,18560,18688
1,0,67,80,18688,18816
1,0,70,80,18816,19200
2,0,55,80,19200,19584
2,0,58,80,19200,19584
1,0,62,80,19200,19584
1,0,67,80,19200,19584
2,0,55,80,19584,19968
2,0,58,80,19584,19968
1,0,62,80,19584,19968
1,0,62,80,19584,19968
1,0,67,80,19968,20096
1,0,66,80,20096,20224
1,0,67,80,20224,20352
1,0,70,80,20352,20736
2,0,55,80,20736,21120
2,0,58,80,20736,21120
1,0,63,80,20736,21120
1,0,67,80,20736,21120
2,0,55,80,21120,21504
2,0,58,80,21120,21504
1,0,63,80,21120,21504
1,0,63,80,21120,21504
1,0,67,80,21504,21632
1,0,66,80,21632,21760
1,0,67,80,21760,21888
1,0,70,80,21888,22272
2,0,55,80,22272,22656
2,0,58,80,22272,22656
1,0,61,80,22272,22656
1,0,67,80,22272,22656
2,0,55,80,22656,23040
2,0,58,80,22656,23040
1,0,61,80,22656,23040
1,0,64,80,22656,23040
1,0,67,80,23040,23168
1,0,66,80,23168,23296
1,0,67,80,23296,23424
1,0,70,80,23424,23616
1,0,67,80,23808,23936
1,0,66,80,23936,24064
1,0,67,80,24064,24192
1,0,70,80,24192,24384
1,0,67,80,24576,24704
1,0,66,80,24704,24832
1,0,67,80,24832,24960
1,0,70,80,24960,25152
1,0,67,80,25344,25472
1,0,66,80,25472,25600
1,0,67,80,25600,25728
1,0,70,80,25728,25920
2,0,53,80,26112,26240
2,0,53,80,26112,26240
1,0,65,80,26112,26240
1,0,65,80,26112,26240
2,0,52,80,26240,26368
2,0,52,80,26240,26368
1,0,64,80,26240,26368
1,0,64,80,26240,26368
2,0,53,80,26368,26496
2,0,53,80,26368,26496
1,0,65,80,26368,26496
1,0,65,80,26368,26496
2,0,58,80,26496,26688
2,0,58,80,26496,26688
1,0,70,80,26496,26688
1,0,70,80,26496,26688
2,0,53,80,26880,27008
2,0,53,80,26880,27008
1,0,65,80,26880,27008
1,0,65,80,26880,27008
2,0,52,80,27008,27136
2,0,52,80,27008,27136
1,0,64,80,27008,27136
1,0,64,80,27008,27136
2,0,53,80,27136,27264
2,0,53,80,27136,27264
1,0,65,80,27136,27264
1,0,65,80,27136,27264
2,0,58,80,27264,27456
2,0,58,80,27264,27456
1,0,70,80,27264,27456
1,0,70,80,27264,27456
2,0,53,80,27648,27776
2,0,53,80,27648,27776
1,0,65,80,27648,27776
1,0,65,80,27648,27776
2,0,52,80,27776,27904
2,0,52,80,27776,27904
1,0,64,80,27776,27904
1,0,64,80,27776,27904
2,0,53,80,27904,28032
2,0,53,80,27904,28032
1,0,65,80,27904,28032
1,0,65,80,27904,28032
2,0,58,80,28032,28160
2,0,58,80,28032,28160
1,0,70,80,28032,28160
1,0,70,80,28032,28160
2,0,57,80,28160,28288
2,0,57,80,28160,28288
1,0,69,80,28160,28288
1,0,69,80,28160,28288
2,0,58,80,28288,28416
2,0,58,80,28288,28416
1,0,70,80,28288,28416
1,0,70,80,28288,28416
2,0,53,80,28416,28544
2,0,53,80,28416,28544
1,0,65,80,28416,28544
1,0,65,80,28416,28544
2,0,52,80,28544,28672
2,0,52,80,28544,28672
1,0,64,80,28544,28672
1,0,64,80,28544,28672
2,0,53,80,28672,28800
2,0,53,80,28672,28800
1,0,65,80,28672,28800
1,0,65,80,28672,28800
2,0,58,80,28800,28928
2,0,58,80,28800,28928
1,0,70,80,28800,28928
1,0,70,80,28800,28928
2,0,57,80,28928,29056
2,0,57,80,28928,29056
1,0,69,80,28928,29056
1,0,69,80,28928,29056
2,0,58,80,29056,29184
2,0,58,80,29056,29184
1,0,70,80,29056,29184
1,0,70,80,29056,29184
2,0,53,80,29184,29312
2,0,53,80,29184,29312
1,0,65,80,29184,29312
1,0,65,80,29184,29312
2,0,52,80,29312,29440
2,0,52,80,29312,29440
1,0,64,80,29312,29440
1,0,64,80,29312,29440
2,0,53,80,29440,29568
2,0,53,80,29440,29568
1,0,65,80,29440,29568
1,0,65,80,29440,29568
2,0,50,80,29568,31104
2,0,53,80,29568,31104
1,0,70,80,29568,29696
1,0,70,80,29568,31872
1,0,69,80,29696,29824
1,0,70,80,29824,29952
1,0,74,80,29952,30080
1,0,72,80,30080,30208
1,0,74,80,30208,30336
1,0,77,80,30336,30464
1,0,76,80,30464,30592
1,0,77,80,30592,30720
1,0,82,80,30720,30848
1,0,81,80,30848,30976
1,0,82,80,30976,31104
2,0,43,80,31104,31872
1,0,62,80,31104,31872
1,0,86,80,31104,31232
1,0,84,80,31232,31360
1,0,82,80,31360,31488
1,0,81,80,31488,31616
1,0,79,80,31616,31744
1,0,77,80,31744,31872
2,0,48,80,31872,32640
1,0,64,80,31872,32640
1,0,67,80,31872,32640
1,0,70,80,31872,32640
1,0,76,80,31872,32000
1,0,74,80,32000,32128
1,0,72,80,32128,32256
1,0,70,80,32256,32384
1,0,69,80,32384,32512
1,0,67,80,32512,32640
2,0,41,80,32640,33408
1,0,65,80,32640,33024
1,0,65,80,32640,33024
1,0,65,80,32640,32768
1,0,69,80,32640,33024
1,0,60,80,32768,32896
2,0,58,80,32896,33024
2,0,57,80,33024,33152
2,0,55,80,33152,33280
2,0,53,80,33280,33408
2,0,52,80,33408,34176
1,0,67,80,33408,34176
1,0,70,80,33408,34176
1,0,82,80,33408,33536
1,0,79,80,33536,33664
1,0,76,80,33664,33792
1,0,72,80,33792,33920
1,0,70,80,33920,34048
1,0,67,80,34048,34176
2,0,41,80,34176,34944
1,0,65,80,34176,34560
1,0,65,80,34176,34560
1,0,65,80,34176,34304
1,0,69,80,34176,34560
1,0,60,80,34304,34432
2,0,58,80,34432,34560
2,0,57,80,34560,34688
2,0,55,80,34688,34816
2,0,53,80,34816,34944
2,0,52,80,34944,35712
2,0,58,80,34944,35712
1,0,67,80,34944,35712
1,0,82,80,34944,35072
1,0,79,80,35072,35200
1,0,76,80,35200,35328
1,0,72,80,35328,35456
1,0,70,80,35456,35584
1,0,67,80,35584,35712
2,0,41,80,35712,36480
2,0,57,80,35712,36096
1,0,65,80,35712,36096
1,0,65,80,35712,36096
1,0,65,80,35712,35840
1,0,62,80,35840,35968
1,0,60,80,35968,36096
2,0,58,80,36096,36224
2,0,57,80,36224,36352
2,0,55,80,36352,36480
2,0,53,80,36480,36864
2,0,53,80,36480,36608
2,0,52,80,36608,36736
2,0,53,80,36736,36864
2,0,51,80,36864,36992
1,0,65,80,36864,36992
2,0,50,80,36992,37120
1,0,67,80,36992,37120
2,0,48,80,37120,37248
1,0,65,80,37120,37248
2,0,46,80,37248,37632
1,0,70,80,37248,37632
1,0,65,80,37632,38016
1,0,62,80,38016,38400
1,0,65,80,38400,38528
1,0,69,80,38400,38784
1,0,72,80,38400,38784
1,0,67,80,38528,38656
1,0,65,80,38656,38784
1,0,70,80,38784,39168
1,0,70,80,38784,39168
1,0,74,80,38784,39168
1,0,65,80,39168,39552
1,0,72,80,39168,39552
1,0,75,80,39168,39552
1,0,62,80,39552,39936
1,0,74,80,39552,39936
1,0,77,80,39552,39936
2,0,53,80,39936,40064
1,0,69,80,39936,40320
1,0,72,80,39936,40320
1,0,75,80,39936,40320
2,0,55,80,40064,40192
2,0,53,80,40192,40320
2,0,58,80,40320,40704
1,0,70,80,40320,40704
1,0,70,80,40320,40704
1,0,74,80,40320,40704
2,0,53,80,40704,41088
1,0,77,80,40704,40832
1,0,79,80,40832,40960
1,0,77,80,40960,41088
2,0,50,80,41088,41472
1,0,82,80,41088,41472
2,0,53,80,41472,41600
1,0,63,80,41472,41856
1,0,69,80,41472,41600
1,0,77,80,41472,41856
2,0,55,80,41600,41728
1,0,70,80,41600,41728
2,0,53,80,41728,41856
1,0,72,80,41728,41856
2,0,58,80,41856,42240
1,0,62,80,41856,42240
1,0,65,80,41856,42240
1,0,74,80,41856,42240
2,0,53,80,42240,42624
1,0,77,80,42240,42368
1,0,79,80,42368,42496
1,0,77,80,42496,42624
2,0,50,80,42624,43008
1,0,82,80,42624,43008
2,0,53,80,43008,43136
1,0,63,80,43008,43392
1,0,69,80,43008,43136
1,0,77,80,43008,43392
2,0,55,80,43136,43264
1,0,70,80,43136,43264
2,0,53,80,43264,43392
1,0,72,80,43264,43392
2,0,58,80,43392,43776
1,0,62,80,43392,43776
1,0,65,80,43392,43776
1,0,74,80,43392,43776
2,0,53,80,43776,44160
1,0,77,80,43776,43904
1,0,79,80,43904,44032
1,0,77,80,44032,44160
2,0,50,80,44160,44544
1,0,82,80,44160,44544
1,0,62,80,44544,44928
1,0,65,80,44544,44928
1,0,82,80,44544,44672
1,0,84,80,44672,44800
1,0,82,80,44800,44928
1,0,63,80,44928,46080
1,0,65,80,44928,46464
1,0,72,80,44928,45600
1,0,81,80,44928,45056
1,0,82,80,45056,45184
1,0,84,80,45184,45312
1,0,82,80,45312,45440
1,0,81,80,45440,45568
1,0,79,80,45568,45696
1,0,70,80,45600,45696
1,0,69,80,45696,46080
1,0,77,80,45696,46080
1,0,62,80,46080,46464
1,0,77,80,46080,46464
1,0,82,80,46080,46208
1,0,84,80,46208,46336
1,0,82,80,46336,46464
1,0,63,80,46464,47616
1,0,65,80,46464,48000
1,0,72,80,46464,47136
1,0,81,80,46464,46592
1,0,82,80,46592,46720
1,0,84,80,46720,46848
1,0,82,80,46848,46976
1,0,81,80,46976,47104
1,0,79,80,47104,47232
1,0,70,80,47136,47232
1,0,69,80,47232,47616
1,0,77,80,47232,47616
1,0,62,80,47616,48000
1,0,77,80,47616,48000
1,0,82,80,47616,47744
1,0,84,80,47744,47872
1,0,82,80,47872,48000
2,0,57,80,48000,49536
1,0,63,80,48000,49152
1,0,65,80,48000,49920
1,0,72,80,48000,49152
1,0,87,80,48000,48128
1,0,84,80,48128,48256
1,0,81,80,48256,48384
1,0,84,80,48384,48512
1,0,81,80,48512,48640
1,0,77,80,48640,48768
1,0,75,80,48768,48896
1,0,74,80,48896,49024
1,0,75,80,49024,49152
1,0,63,80,49152,49536
1,0,69,80,49152,49280
1,0,72,80,49280,49408
1,0,77,80,49408,49536
2,0,58,80,49536,51456
1,0,62,80,49536,49920
1,0,74,80,49536,49664
1,0,72,80,49664,49792
1,0,70,80,49792,49920
1,0,63,80,49920,50304
1,0,65,80,49920,50688
1,0,69,80,49920,50048
1,0,72,80,50048,50176
1,0,77,80,50176,50304
1,0,62,80,50304,50688
1,0,70,80,50304,50432
1,0,72,80,50432,50560
1,0,70,80,50560,50688
1,0,63,80,50688,51072
1,0,65,80,50688,51456
1,0,69,80,50688,50816
1,0,72,80,50816,50944
1,0,77,80,50944,51072
1,0,62,80,51072,51456
1,0,70,80,51072,51200
1,0,74,80,51200,51328
1,0,77,80,51328,51456
1,0,82,80,51456,51584
1,0,81,80,51584,51712
1,0,79,80,51712,51840
1,0,77,80,51840,51968
1,0,75,80,51968,52096
1,0,74,80,52096,52224
2,0,53,80,52224,52608
1,0,63,80,52224,52608
