# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,39,80,0,480
1,0,67,80,0,160
1,0,63,80,160,320
2,0,55,80,320,480
2,0,35,80,1920,2400
1,0,67,80,1920,2080
1,0,63,80,2080,2240
2,0,55,80,2240,2400
2,0,36,80,2400,2880
1,0,67,80,2400,2560
1,0,63,80,2560,2720
2,0,55,80,2720,2880
2,0,38,80,2880,3360
1,0,67,80,2880,3040
1,0,63,80,3040,3200
2,0,55,80,3200,3360
2,0,39,80,3360,3840
1,0,67,80,3360,3520
1,0,63,80,3520,3680
2,0,55,80,3680,3840
2,0,41,80,3840,4320
1,0,67,80,3840,4000
1,0,62,80,4000,4160
2,0,56,80,4160,4320
2,0,38,80,4320,4800
1,0,65,80,4320,4480
1,0,62,80,4480,4640
2,0,56,80,4640,4800
2,0,43,80,4800,5280
1,0,63,80,4800,4960
1,0,60,80,4960,5120
2,0,55,80,5120,5280
2,0,31,80,5280,5440
1,0,67,80,5280,5440
1,0,67,80,5280,5760
2,0,33,80,5440,5600
1,0,63,80,5440,5600
2,0,35,80,5600,5760
2,0,55,80,5600,5760
2,0,36,80,5760,6240
1,0,63,80,5760,5920
1,0,67,80,5760,6240
1,0,60,80,5920,6080
2,0,55,80,6080,6240
2,0,38,80,6240,6720
1,0,63,80,6240,6400
1,0,72,80,6240,6720
1,0,60,80,6400,6560
2,0,55,80,6560,6720
2,0,39,80,6720,7200
1,0,63,80,6720,6880
1,0,72,80,6720,7200
1,0,60,80,6880,7040
2,0,55,80,7040,7200
2,0,36,80,7200,7680
1,0,63,80,7200,7360
1,0,72,80,7200,7680
1,0,60,80,7360,7520
2,0,55,80,7520,7680
2,0,44,80,7680,8160
1,0,65,80,7680,7840
1,0,72,80,7680,8400
1,0,60,80,7840,8000
2,0,53,80,8000,8160
2,0,43,80,8160,8640
1,0,65,80,8160,8320
1,0,60,80,8320,8480
1,0,65,80,8400,8640
2,0,53,80,8480,8640
2,0,44,80,8640,9120
1,0,65,80,8640,8800
1,0,65,80,8640,9120
1,0,60,80,8800,8960
2,0,53,80,8960,9120
2,0,41,80,9120,9600
1,0,65,80,9120,9280
1,0,68,80,9120,9600
1,0,60,80,9280,9440
2,0,53,80,9440,9600
2,0,43,80,9600,10080
1,0,63,80,9600,9760
1,0,67,80,9600,10560
1,0,60,80,9760,9920
2,0,55,80,9920,10080
2,0,55,80,10080,10560
1,0,63,80,10080,10240
1,0,60,80,10240,10400
2,0,55,80,10400,10560
2,0,43,80,10560,11040
1,0,62,80,10560,10720
1,0,67,80,10560,11520
2,0,59,80,10720,10880
2,0,55,80,10880,11040
2,0,55,80,11040,11520
1,0,62,80,11040,11200
2,0,59,80,11200,11360
2,0,55,80,11360,11520
2,0,44,80,11520,12000
1,0,65,80,11520,11680
1,0,74,80,11520,12480
1,0,60,80,11680,11840
2,0,53,80,11840,12000
2,0,53,80,12000,12480
1,0,65,80,12000,12160
1,0,60,80,12160,12320
2,0,53,80,12320,12480
2,0,44,80,12480,12960
1,0,65,80,12480,12640
1,0,60,80,12640,12800
2,0,53,80,12800,12960
2,0,53,80,12960,13440
1,0,65,80,12960,13120
1,0,75,80,12960,13440
1,0,60,80,13120,13280
2,0,53,80,13280,13440
2,0,38,80,13440,14880
1,0,65,80,13440,13600
1,0,77,80,13440,14880
1,0,60,80,13600,13760
2,0,56,80,13760,13920
1,0,65,80,13920,14080
1,0,60,80,14080,14240
2,0,56,80,14240,14400
1,0,65,80,14400,14560
1,0,60,80,14560,14720
2,0,56,80,14720,14880
2,0,39,80,14880,15360
1,0,65,80,14880,15040
1,0,72,80,14880,15360
1,0,60,80,15040,15200
2,0,56,80,15200,15360
2,0,41,80,15360,16320
1,0,62,80,15360,15520
1,0,74,80,15360,16320
1,0,60,80,15520,15680
2,0,56,80,15680,15840
1,0,62,80,15840,16000
1,0,60,80,16000,16160
2,0,56,80,16160,16320
1,0,62,80,16320,16480
1,0,60,80,16480,16640
2,0,56,80,16640,16800
2,0,41,80,16800,17280
1,0,62,80,16800,16960
1,0,60,80,16960,17120
2,0,56,80,17120,17280
2,0,42,80,17280,17760
1,0,62,80,17280,17440
1,0,60,80,17440,17600
2,0,57,80,17600,17760
2,0,38,80,17760,18240
1,0,62,80,17760,17920
1,0,60,80,17920,18080
2,0,54,80,18080,18240
2,0,42,80,18240,18720
1,0,62,80,18240,18400
1,0,60,80,18400,18560
2,0,57,80,18560,18720
2,0,38,80,18720,19200
1,0,62,80,18720,18880
1,0,60,80,18880,19040
2,0,54,80,19040,19200
2,0,43,80,19200,19680
1,0,62,80,19200,19360
2,0,59,80,19360,19520
2,0,55,80,19520,19680
2,0,31,80,19680,20160
1,0,67,80,19680,19840
1,0,63,80,19840,20000
2,0,55,80,20000,20160
2,0,33,80,20160,20640
1,0,67,80,20160,20320
1,0,63,80,20320,20480
2,0,55,80,20480,20640
2,0,35,80,20640,21120
1,0,67,80,20640,20800
1,0,67,80,20640,21120
