# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,384
# meta,0,0,tempo,1071428
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,41,80,0,368
2,0,53,80,0,96
2,0,57,80,0,368
1,0,60,80,0,368
1,0,60,80,96,192
1,0,65,80,192,288
1,0,60,80,288,384
2,0,41,80,384,560
2,0,57,80,384,560
1,0,60,80,384,560
1,0,65,80,384,480
1,0,60,80,480,576
2,0,41,80,576,944
2,0,53,80,576,672
2,0,57,80,576,944
1,0,60,80,576,944
1,0,60,80,672,768
1,0,65,80,768,864
1,0,60,80,864,960
2,0,41,80,960,1136
2,0,57,80,960,1136
1,0,60,80,960,1136
1,0,65,80,960,1056
1,0,60,80,1056,1152
2,0,41,80,1152,1520
2,0,53,80,1152,1520
2,0,57,80,1152,1520
1,0,60,80,1152,1520
1,0,72,80,1152,1344
1,0,72,80,1152,1344
1,0,72,80,1152,1344
1,0,69,80,1344,1536
1,0,69,80,1344,1536
1,0,69,80,1344,1536
2,0,41,80,1536,1712
2,0,53,80,1536,1712
2,0,57,80,1536,1712
1,0,60,80,1536,1712
1,0,67,80,1536,1680
1,0,67,80,1536,1712
1,0,67,80,1536,1712
1,0,67,80,1680,1728
2,0,41,80,1728,2096
2,0,53,80,1728,2096
2,0,56,80,1728,2096
2,0,59,80,1728,2096
1,0,65,80,1728,1920
1,0,65,80,1728,1920
1,0,65,80,1728,1920
1,0,64,80,1920,2112
1,0,64,80,1920,2112
1,0,64,80,1920,2112
2,0,41,80,2112,2288
2,0,53,80,2112,2288
2,0,56,80,2112,2288
2,0,59,80,2112,2288
1,0,62,80,2112,2288
1,0,62,80,2112,2288
1,0,62,80,2112,2288
2,0,41,80,2304,2400
2,0,41,80,2304,2672
2,0,57,80,2304,2480
1,0,60,80,2304,3248
1,0,60,80,2304,3248
1,0,60,80,2304,3248
1,0,60,80,2304,3248
2,0,48,80,2400,2496
2,0,45,80,2496,2672
