# DoReDog MIDI extraction
# source,BitMidi (public-domain composition)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,1536,2176
1,0,60,80,2096,2928
2,0,44,80,2128,3040
1,0,63,80,2384,2576
1,0,68,80,2576,2688
1,0,72,80,2736,2912
1,0,68,80,2880,3040
1,0,63,80,3024,3104
1,0,60,80,3152,3776
1,0,63,80,3328,3392
1,0,68,80,3456,3616
1,0,72,80,3616,3776
1,0,68,80,3760,3872
1,0,63,80,3904,3952
1,0,60,80,4096,5360
2,0,43,80,4112,5552
1,0,64,80,4336,4512
1,0,70,80,4512,4656
1,0,72,80,4688,4832
1,0,70,80,4832,4992
1,0,64,80,5040,5136
1,0,64,80,5360,5456
1,0,70,80,5472,5552
1,0,72,80,5632,5792
1,0,70,80,5792,5936
1,0,60,80,5792,5952
1,0,64,80,5984,6144
1,0,60,80,6128,6512
2,0,41,80,6144,6512
1,0,63,80,6304,6528
1,0,69,80,6448,6640
1,0,72,80,6608,6784
1,0,60,80,6720,6832
1,0,69,80,6768,6944
1,0,63,80,6912,6992
1,0,61,80,7056,7568
1,0,63,80,7264,7408
2,0,41,80,7344,7504
1,0,69,80,7424,7504
1,0,72,80,7568,7712
1,0,69,80,7728,7840
1,0,60,80,7744,7856
1,0,63,80,7936,8016
1,0,60,80,8128,8704
2,0,34,80,8160,8960
1,0,62,80,8400,8544
1,0,68,80,8576,8720
1,0,72,80,8752,8896
1,0,68,80,8896,8992
1,0,62,80,9088,9168
2,0,53,80,9232,9968
1,0,62,80,9424,9552
1,0,68,80,9568,9792
1,0,72,80,9776,10176
1,0,68,80,10096,10432
2,0,53,80,10160,10256
1,0,62,80,10336,10400
2,0,39,80,10384,10448
2,0,53,80,10528,10912
1,0,61,80,10704,10848
2,0,55,80,10864,11280
1,0,63,80,10864,11008
1,0,72,80,11024,11184
2,0,56,80,11168,11744
1,0,63,80,11184,11456
1,0,61,80,11360,11504
2,0,51,80,11456,12528
1,0,60,80,11584,12432
1,0,61,80,11792,12080
1,0,63,80,11968,12096
1,0,67,80,12176,12432
1,0,63,80,12432,12624
2,0,58,80,12464,12720
1,0,61,80,12672,12816
2,0,56,80,12816,13360
2,0,44,80,12864,13552
1,0,60,80,13008,13216
1,0,63,80,13152,13280
1,0,68,80,13312,13488
1,0,63,80,13472,13536
1,0,60,80,13664,13728
2,0,32,80,13840,14176
2,0,56,80,14016,14160
1,0,60,80,14208,14304
1,0,68,80,14384,14656
1,0,63,80,14608,14992
2,0,51,80,14608,15120
2,0,56,80,14832,14880
2,0,44,80,15008,15952
1,0,60,80,15120,15856
1,0,63,80,15344,15520
1,0,68,80,15504,15664
1,0,72,80,15680,15840
1,0,68,80,15824,16048
1,0,63,80,15952,16048
1,0,60,80,16096,16688
1,0,63,80,16240,16352
1,0,68,80,16400,16544
1,0,72,80,16544,16704
1,0,68,80,16688,16832
1,0,63,80,16848,16928
1,0,60,80,16976,18336
2,0,43,80,16976,17728
1,0,64,80,17168,17312
1,0,70,80,17296,17392
1,0,72,80,17472,17632
1,0,70,80,17616,17744
1,0,64,80,17776,17840
2,0,42,80,17872,18704
1,0,64,80,18048,18224
1,0,70,80,18176,18336
1,0,72,80,18352,18512
1,0,60,80,18496,18720
1,0,70,80,18512,18672
1,0,64,80,18704,18752
1,0,60,80,18816,19232
2,0,41,80,18832,19232
1,0,63,80,18976,19120
1,0,69,80,19120,19296
1,0,72,80,19280,19472
1,0,60,80,19376,19568
1,0,69,80,19408,19632
1,0,63,80,19520,19616
2,0,53,80,19600,20544
2,0,57,80,19632,20528
1,0,61,80,19696,20288
1,0,63,80,19856,20016
1,0,65,80,20016,20224
1,0,72,80,20176,20384
1,0,69,80,20368,20448
1,0,60,80,20416,20560
1,0,63,80,20592,20656
2,0,46,80,20784,21936
1,0,65,80,20944,21216
1,0,62,80,21200,21264
1,0,68,80,21376,21440
1,0,77,80,21520,21648
1,0,72,80,21712,21824
1,0,68,80,21888,21952
2,0,34,80,22064,22544
2,0,56,80,22208,22352
2,0,58,80,22384,22464
1,0,65,80,22576,22816
1,0,62,80,22784,22992
2,0,53,80,22864,23040
2,0,58,80,23056,23200
2,0,39,80,23136,23184
2,0,53,80,23248,23648
2,0,58,80,23392,23920
1,0,61,80,23552,23632
2,0,55,80,23616,24016
1,0,67,80,23792,23952
2,0,56,80,23936,24480
1,0,63,80,23952,24096
1,0,61,80,24096,24240
2,0,51,80,24224,25360
1,0,60,80,24336,25184
1,0,61,80,24560,24784
1,0,63,80,24768,24848
1,0,67,80,24992,25184
1,0,63,80,25200,25408
2,0,58,80,25216,25456
1,0,61,80,25408,25648
2,0,56,80,25584,26096
2,0,44,80,25616,26256
1,0,60,80,25776,26128
1,0,63,80,25936,26032
1,0,68,80,26096,26272
1,0,63,80,26272,26368
1,0,60,80,26416,26512
2,0,32,80,26528,27184
1,0,60,80,26720,26816
1,0,68,80,26864,27040
1,0,63,80,27056,27376
1,0,60,80,27232,27584
2,0,56,80,27440,27584
2,0,56,80,27712,28432
2,0,40,80,27728,28240
1,0,61,80,27920,28000
1,0,68,80,28048,28208
1,0,64,80,28208,28368
1,0,61,80,28352,28544
2,0,55,80,28496,28560
2,0,37,80,28688,29328
2,0,56,80,28688,29296
2,0,52,80,28752,29104
1,0,61,80,28880,29056
1,0,68,80,29008,29216
1,0,64,80,29168,29344
1,0,61,80,29296,29536
2,0,58,80,29424,29520
2,0,44,80,29568,30352
2,0,51,80,29648,30272
1,0,60,80,29664,30320
1,0,63,80,29904,30048
1,0,72,80,30064,30192
1,0,68,80,30208,30368
1,0,63,80,30352,30480
1,0,60,80,30496,30784
2,0,32,80,30624,30656
1,0,63,80,30768,30912
1,0,72,80,30928,31104
1,0,68,80,31088,31312
1,0,63,80,31264,31536
1,0,60,80,31424,31520
2,0,44,80,31552,32256
1,0,60,80,31600,32144
1,0,65,80,31776,31904
1,0,72,80,31920,32080
1,0,68,80,32048,32192
1,0,65,80,32176,32416
2,0,59,80,32304,32384
2,0,41,80,32400,32976
1,0,60,80,32448,32944
2,0,56,80,32496,32848
1,0,65,80,32624,32768
1,0,72,80,32752,32944
1,0,68,80,32880,33040
1,0,65,80,33008,33168
1,0,62,80,33120,33232
1,0,64,80,33296,33728
2,0,36,80,33312,33456
1,0,67,80,33456,33616
2,0,55,80,33568,34208
1,0,72,80,33600,33744
1,0,76,80,33728,33872
1,0,72,80,33872,33984
1,0,67,80,33984,34048
1,0,64,80,34160,34400
1,0,67,80,34320,34528
1,0,72,80,34448,34592
1,0,76,80,34560,34720
1,0,72,80,34688,34800
1,0,67,80,34800,34864
2,0,45,80,34848,36176
2,0,52,80,34912,36144
1,0,64,80,34960,35360
1,0,60,80,34976,36000
1,0,69,80,35120,35328
1,0,72,80,35248,35424
1,0,76,80,35376,35552
1,0,72,80,35504,35664
1,0,69,80,35632,35696
1,0,64,80,35744,36000
1,0,69,80,35904,36112
1,0,72,80,36032,36208
1,0,76,80,36192,36336
1,0,72,80,36320,36448
1,0,69,80,36448,36496
1,0,64,80,36608,37024
2,0,40,80,36640,36880
1,0,68,80,36784,36976
2,0,47,80,36816,38176
1,0,71,80,36944,37104
2,0,56,80,37024,38016
1,0,76,80,37120,37248
1,0,71,80,37296,37344
1,0,68,80,37408,37456
2,0,59,80,37536,37936
1,0,64,80,37696,37792
1,0,68,80,37808,37952
1,0,71,80,37952,38080
1,0,68,80,38080,38192
1,0,64,80,38208,38240
1,0,61,80,38352,38768
2,0,40,80,38384,38608
1,0,64,80,38544,38672
1,0,68,80,38672,38832
2,0,56,80,38704,39296
1,0,73,80,38832,38976
1,0,68,80,38976,39040
1,0,64,80,39152,39200
1,0,61,80,39376,39504
1,0,64,80,39520,39600
1,0,68,80,39648,39808
2,0,56,80,39776,40000
1,0,64,80,39840,39952
1,0,61,80,39968,40032
2,0,58,80,40144,40576
2,0,39,80,40176,40336
1,0,63,80,40368,40432
2,0,55,80,40416,40672
1,0,67,80,40528,40624
1,0,70,80,40640,40784
1,0,67,80,40800,40896
1,0,63,80,40928,40960
1,0,61,80,41040,41680
2,0,40,80,41040,41168
1,0,64,80,41232,41344
2,0,56,80,41264,41520
1,0,68,80,41360,41504
1,0,73,80,41488,41600
2,0,59,80,41616,41664
1,0,68,80,41632,41760
1,0,64,80,41776,41904
2,0,39,80,41792,41840
2,0,58,80,41936,42288
2,0,55,80,41968,42208
1,0,63,80,42096,42256
1,0,67,80,42224,42368
2,0,57,80,42304,42416
1,0,70,80,42400,42608
2,0,58,80,42544,42624
1,0,67,80,42560,42720
1,0,63,80,42672,42720
2,0,40,80,42752,42912
1,0,61,80,42816,43472
2,0,56,80,42992,43168
1,0,64,80,42992,43136
1,0,68,80,43104,43264
1,0,73,80,43232,43328
2,0,59,80,43344,43424
1,0,68,80,43360,43520
1,0,64,80,43488,43648
2,0,39,80,43504,43552
2,0,58,80,43616,43936
2,0,55,80,43664,43888
1,0,63,80,43792,44000
1,0,67,80,43936,44128
2,0,57,80,43984,44112
1,0,70,80,44096,44240
2,0,58,80,44240,44352
1,0,67,80,44256,44368
1,0,63,80,44352,44384
1,0,64,80,44528,45328
2,0,37,80,44544,44656
1,0,68,80,44672,44848
2,0,56,80,44784,44864
1,0,70,80,44784,44960
1,0,76,80,44944,45792
2,0,58,80,45088,45168
1,0,70,80,45088,45984
1,0,68,80,45264,45920
1,0,64,80,45568,46928
1,0,63,80,46848,47360
1,0,61,80,47328,47728
2,0,59,80,47696,48032
2,0,58,80,48016,48416
2,0,56,80,48400,49072
2,0,55,80,49072,49648
2,0,39,80,50016,50368
2,0,46,80,50304,50592
2,0,49,80,50528,50688
2,0,55,80,50704,50864
2,0,58,80,50848,51056
1,0,61,80,51008,51168
1,0,64,80,51184,51344
1,0,63,80,51360,51424
1,0,68,80,51504,51632
1,0,64,80,51520,51568
1,0,63,80,51632,51664
1,0,67,80,51648,51712
1,0,68,80,51776,51840
1,0,73,80,51776,51824
1,0,64,80,51792,51856
1,0,63,80,51904,52000
1,0,67,80,51904,51952
1,0,70,80,51904,51936
1,0,76,80,52032,52144
1,0,68,80,52032,52112
1,0,73,80,52048,52096
1,0,75,80,52144,52176
1,0,67,80,52144,52192
1,0,80,80,52256,52368
1,0,73,80,52256,52336
1,0,76,80,52272,52304
1,0,75,80,52352,52384
1,0,79,80,52352,52384
1,0,70,80,52384,52432
1,0,80,80,52480,52544
1,0,76,80,52480,52528
1,0,85,80,52480,52592
1,0,82,80,52576,52608
1,0,79,80,52592,52624
1,0,75,80,52592,52640
1,0,80,80,52688,52768
1,0,88,80,52704,52800
1,0,85,80,52704,52752
1,0,82,80,52784,52816
1,0,87,80,52784,52832
1,0,79,80,52800,52832
1,0,92,80,52896,52976
1,0,85,80,52896,52944
1,0,88,80,52912,52944
1,0,91,80,52960,52992
1,0,82,80,52976,53024
1,0,88,80,53056,53104
1,0,97,80,53072,53184
1,0,92,80,53088,53168
1,0,87,80,53152,53200
1,0,94,80,53152,53184
1,0,91,80,53168,53216
1,0,92,80,53264,53312
1,0,100,80,53296,53392
1,0,97,80,53296,53344
1,0,91,80,53360,53424
1,0,94,80,53376,53408
1,0,99,80,53376,53424
1,0,100,80,53456,53552
1,0,92,80,53456,53536
1,0,97,80,53488,53536
1,0,99,80,53520,53552
1,0,94,80,53536,53584
1,0,91,80,53552,53616
1,0,88,80,53632,53696
1,0,92,80,53632,53728
1,0,97,80,53632,53712
1,0,94,80,53696,53728
1,0,91,80,53728,53776
1,0,87,80,53728,53776
1,0,85,80,53792,53824
1,0,92,80,53792,53888
1,0,88,80,53808,53856
1,0,82,80,53872,53920
1,0,87,80,53888,53936
1,0,91,80,53888,53952
1,0,85,80,53952,54000
1,0,92,80,53952,54048
1,0,88,80,53984,54032
1,0,91,80,54000,54048
