# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,967742
# meta,0,0,time_signature,3/8
track,channel,pitch,vel,start,end
1,0,75,80,0,240
1,0,76,80,240,480
1,0,77,80,480,720
2,0,40,80,720,960
2,0,52,80,720,960
1,0,76,80,720,1920
2,0,56,80,960,1080
2,0,59,80,960,1080
1,0,64,80,960,1080
2,0,56,80,1080,1200
2,0,59,80,1080,1200
1,0,64,80,1080,1200
2,0,56,80,1200,1440
2,0,59,80,1200,1440
1,0,64,80,1200,1440
2,0,44,80,1440,1680
2,0,56,80,1440,1680
2,0,40,80,1680,1920
2,0,52,80,1680,1920
2,0,56,80,1920,2040
2,0,59,80,1920,2040
1,0,64,80,1920,2040
1,0,80,80,1920,2160
2,0,56,80,2040,2160
2,0,59,80,2040,2160
1,0,64,80,2040,2160
2,0,56,80,2160,2400
2,0,59,80,2160,2400
1,0,64,80,2160,2400
1,0,81,80,2160,2400
2,0,44,80,2400,2640
2,0,56,80,2400,2640
1,0,82,80,2400,2640
2,0,45,80,2640,2880
2,0,57,80,2640,2880
1,0,81,80,2640,3840
2,0,57,80,2880,3000
1,0,60,80,2880,3000
1,0,64,80,2880,3000
2,0,57,80,3000,3120
1,0,60,80,3000,3120
1,0,64,80,3000,3120
2,0,57,80,3120,3360
1,0,60,80,3120,3360
1,0,64,80,3120,3360
2,0,40,80,3360,3600
2,0,52,80,3360,3600
2,0,45,80,3600,3840
2,0,57,80,3600,3840
2,0,57,80,3840,3960
1,0,60,80,3840,3960
1,0,64,80,3840,3960
1,0,75,80,3840,4080
2,0,57,80,3960,4080
1,0,60,80,3960,4080
1,0,64,80,3960,4080
2,0,57,80,4080,4320
1,0,60,80,4080,4320
1,0,64,80,4080,4320
1,0,76,80,4080,4320
2,0,40,80,4320,4560
2,0,52,80,4320,4560
1,0,77,80,4320,4560
2,0,44,80,4560,4800
2,0,56,80,4560,4800
1,0,76,80,4560,5760
2,0,56,80,4800,4920
2,0,59,80,4800,4920
1,0,64,80,4800,4920
2,0,56,80,4920,5040
2,0,59,80,4920,5040
1,0,64,80,4920,5040
2,0,56,80,5040,5280
2,0,59,80,5040,5280
1,0,64,80,5040,5280
2,0,44,80,5280,5520
2,0,56,80,5280,5520
2,0,40,80,5520,5760
2,0,52,80,5520,5760
2,0,55,80,5760,5880
2,0,58,80,5760,5880
1,0,64,80,5760,5880
1,0,80,80,5760,6000
2,0,55,80,5880,6000
2,0,58,80,5880,6000
1,0,64,80,5880,6000
2,0,55,80,6000,6240
2,0,58,80,6000,6240
1,0,64,80,6000,6240
1,0,81,80,6000,6240
2,0,44,80,6240,6480
2,0,56,80,6240,6480
1,0,82,80,6240,6480
2,0,45,80,6480,6720
2,0,57,80,6480,6720
1,0,81,80,6480,7680
2,0,57,80,6720,6840
1,0,60,80,6720,6840
1,0,64,80,6720,6840
2,0,57,80,6840,6960
1,0,60,80,6840,6960
1,0,64,80,6840,6960
2,0,57,80,6960,7200
1,0,60,80,6960,7200
1,0,64,80,6960,7200
2,0,40,80,7200,7440
2,0,52,80,7200,7440
2,0,45,80,7440,7680
2,0,57,80,7440,7680
1,0,61,80,7680,7800
1,0,65,80,7680,7800
1,0,69,80,7680,7800
1,0,80,80,7680,7920
1,0,61,80,7800,7920
1,0,65,80,7800,7920
1,0,69,80,7800,7920
1,0,61,80,7920,8160
1,0,65,80,7920,8160
1,0,69,80,7920,8160
