# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,46,80,0,960
2,0,50,80,0,960
2,0,55,80,0,960
2,0,58,80,0,960
1,0,62,80,0,960
1,0,67,80,0,960
2,0,51,80,240,720
1,0,63,80,240,720
1,0,74,80,240,480
1,0,73,80,480,840
2,0,50,80,720,960
1,0,62,80,720,960
1,0,74,80,840,960
2,0,42,80,960,1920
2,0,54,80,960,1920
2,0,57,80,960,1920
1,0,60,80,960,1920
1,0,69,80,960,1920
2,0,41,80,1920,2880
2,0,50,80,1920,2880
2,0,53,80,1920,2880
2,0,58,80,1920,2640
1,0,62,80,1920,2880
1,0,65,80,1920,2880
1,0,70,80,1920,2400
2,0,58,80,2160,2880
1,0,70,80,2160,2640
1,0,70,80,2160,2880
1,0,69,80,2400,2760
2,0,57,80,2640,2880
1,0,69,80,2640,2880
1,0,70,80,2760,2880
2,0,39,80,2880,3840
2,0,51,80,2880,3840
1,0,60,80,2880,3840
1,0,66,80,2880,3840
1,0,66,80,2880,3840
2,0,38,80,3840,4800
2,0,50,80,3840,4800
2,0,58,80,3840,4800
1,0,62,80,3840,4800
1,0,65,80,3840,4320
1,0,67,80,3840,4320
1,0,67,80,4080,4800
1,0,64,80,4320,4800
1,0,70,80,4320,4800
2,0,37,80,4800,5760
2,0,49,80,4800,5760
2,0,55,80,4800,5760
2,0,58,80,4800,5760
1,0,67,80,5040,5280
1,0,70,80,5280,5760
2,0,36,80,5760,6720
2,0,48,80,5760,6720
1,0,70,80,5760,6000
2,0,55,80,6000,6240
1,0,60,80,6000,6240
1,0,63,80,6000,6240
1,0,67,80,6000,6240
1,0,69,80,6000,6240
2,0,58,80,6240,6720
1,0,63,80,6240,6720
1,0,67,80,6240,6720
1,0,70,80,6240,6720
2,0,38,80,6720,7680
2,0,50,80,6720,7680
2,0,58,80,6720,6960
1,0,62,80,6720,6960
1,0,66,80,6720,6960
1,0,70,80,6720,6960
2,0,57,80,6960,7200
1,0,69,80,6960,7200
1,0,62,80,7200,7680
1,0,66,80,7200,7680
1,0,74,80,7200,7680
2,0,34,80,7680,9600
2,0,41,80,7680,9600
2,0,46,80,7680,9600
1,0,62,80,7680,8160
1,0,65,80,7680,8160
1,0,70,80,7680,8160
1,0,74,80,7680,8160
1,0,74,80,7920,8160
1,0,62,80,8160,8640
1,0,65,80,8160,8640
1,0,70,80,8160,8640
1,0,73,80,8160,8400
1,0,74,80,8400,8640
2,0,58,80,8640,9120
1,0,62,80,8640,9120
1,0,65,80,8640,9120
1,0,69,80,8640,8880
1,0,70,80,8880,9120
2,0,53,80,9120,9600
2,0,58,80,9120,9600
1,0,62,80,9120,9600
1,0,64,80,9120,9360
1,0,65,80,9360,9600
2,0,34,80,9600,10080
2,0,46,80,9600,10080
1,0,66,80,9600,10560
1,0,63,80,9840,10080
1,0,70,80,9840,10080
1,0,75,80,9840,10080
2,0,54,80,10080,10560
2,0,58,80,10080,10560
1,0,74,80,10080,10320
1,0,72,80,10320,10560
2,0,53,80,10560,11040
