# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,81,80,0,960
1,0,65,80,160,320
1,0,69,80,160,320
1,0,65,80,320,480
1,0,69,80,320,480
1,0,64,80,640,800
1,0,65,80,640,800
1,0,69,80,640,800
1,0,64,80,800,960
1,0,65,80,800,960
1,0,69,80,800,960
1,0,81,80,960,1920
1,0,62,80,1120,1280
1,0,65,80,1120,1280
1,0,69,80,1120,1280
1,0,62,80,1280,1440
1,0,65,80,1280,1440
1,0,69,80,1280,1440
1,0,60,80,1600,1760
1,0,62,80,1600,1760
1,0,65,80,1600,1760
1,0,69,80,1600,1760
1,0,60,80,1760,1920
1,0,62,80,1760,1920
1,0,65,80,1760,1920
1,0,69,80,1760,1920
1,0,79,80,1920,2400
2,0,59,80,2080,2240
1,0,62,80,2080,2240
1,0,65,80,2080,2240
1,0,67,80,2080,2240
2,0,59,80,2240,2400
1,0,62,80,2240,2400
1,0,65,80,2240,2400
1,0,67,80,2240,2400
1,0,78,80,2400,2460
1,0,79,80,2400,2460
1,0,86,80,2400,2640
2,0,59,80,2560,2720
1,0,62,80,2560,2720
1,0,65,80,2560,2720
1,0,67,80,2560,2720
2,0,59,80,2720,2880
1,0,62,80,2720,2880
1,0,65,80,2720,2880
1,0,67,80,2720,2880
1,0,79,80,2880,3360
2,0,59,80,3040,3200
1,0,62,80,3040,3200
1,0,65,80,3040,3200
1,0,67,80,3040,3200
2,0,59,80,3200,3360
1,0,62,80,3200,3360
1,0,65,80,3200,3360
1,0,67,80,3200,3360
1,0,78,80,3360,3420
1,0,79,80,3360,3420
1,0,89,80,3360,3600
2,0,59,80,3520,3680
1,0,62,80,3520,3680
1,0,65,80,3520,3680
1,0,67,80,3520,3680
2,0,59,80,3680,3840
1,0,62,80,3680,3840
1,0,65,80,3680,3840
1,0,67,80,3680,3840
1,0,60,80,3840,4080
1,0,65,80,3840,4080
1,0,69,80,3840,4080
1,0,77,80,4000,4060
1,0,81,80,4000,4160
1,0,72,80,4160,4220
1,0,77,80,4160,4320
1,0,60,80,4320,4800
1,0,63,80,4320,4800
1,0,66,80,4320,4800
1,0,69,80,4320,4800
1,0,81,80,4480,4540
1,0,84,80,4480,4640
