# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,750000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,50,80,0,384
1,0,66,80,0,384
1,0,69,80,0,384
2,0,50,80,384,768
1,0,62,80,384,576
1,0,66,80,384,576
2,0,57,80,576,768
1,0,64,80,576,672
1,0,62,80,672,768
2,0,45,80,768,1152
1,0,64,80,768,1152
1,0,67,80,768,1152
2,0,45,80,1152,1344
2,0,57,80,1152,1536
1,0,64,80,1152,1344
2,0,45,80,1344,1536
1,0,69,80,1344,1536
2,0,50,80,1536,1728
2,0,54,80,1536,1728
1,0,62,80,1536,1728
2,0,45,80,1728,1920
2,0,57,80,1728,1920
1,0,64,80,1728,1920
2,0,50,80,1920,2112
2,0,57,80,1920,2112
1,0,66,80,1920,2016
1,0,64,80,2016,2112
2,0,50,80,2112,2304
2,0,50,80,2112,2304
1,0,67,80,2112,2208
1,0,66,80,2208,2304
2,0,45,80,2304,2496
2,0,57,80,2304,3072
1,0,64,80,2304,3072
2,0,45,80,2496,2592
2,0,45,80,2592,2688
2,0,45,80,2688,2880
2,0,45,80,2880,3072
2,0,50,80,3072,3456
2,0,57,80,3072,3456
1,0,66,80,3072,3456
2,0,50,80,3456,3648
2,0,54,80,3456,3648
1,0,62,80,3456,3648
2,0,50,80,3648,3840
2,0,50,80,3648,3840
2,0,57,80,3648,3840
2,0,45,80,3840,4224
1,0,64,80,3840,4224
1,0,67,80,3840,4224
2,0,45,80,4224,4416
2,0,57,80,4224,4416
1,0,64,80,4224,4416
2,0,45,80,4416,4608
1,0,64,80,4416,4608
1,0,69,80,4416,4608
2,0,50,80,4608,4800
1,0,66,80,4608,4800
1,0,69,80,4608,4800
2,0,45,80,4800,4992
1,0,64,80,4800,4896
1,0,67,80,4800,4896
1,0,62,80,4896,4992
1,0,66,80,4896,4992
2,0,45,80,4992,5184
2,0,57,80,4992,5184
1,0,64,80,4992,5280
2,0,45,80,5184,5376
2,0,57,80,5184,5376
1,0,62,80,5280,5376
2,0,50,80,5376,6144
2,0,54,80,5376,6144
1,0,62,80,5376,6144
2,0,50,80,6144,6528
1,0,74,80,6144,6528
1,0,78,80,6144,6528
1,0,81,80,6144,6528
2,0,54,80,6528,6720
1,0,69,80,6528,6720
1,0,76,80,6528,6624
1,0,79,80,6528,6624
1,0,74,80,6624,6720
1,0,78,80,6624,6720
2,0,55,80,6720,6912
1,0,71,80,6720,6912
1,0,73,80,6720,6816
1,0,76,80,6720,6816
1,0,71,80,6816,6912
1,0,74,80,6816,6912
2,0,52,80,6912,7104
1,0,73,80,6912,7296
1,0,76,80,6912,7296
1,0,79,80,6912,7296
2,0,54,80,7104,7296
2,0,55,80,7296,7488
2,0,59,80,7296,7488
1,0,69,80,7296,7392
1,0,78,80,7296,7392
1,0,67,80,7392,7488
1,0,76,80,7392,7488
2,0,57,80,7488,7680
1,0,61,80,7488,7680
1,0,66,80,7488,7584
1,0,74,80,7488,7584
1,0,64,80,7584,7680
1,0,73,80,7584,7680
2,0,54,80,7680,7872
2,0,57,80,7680,7872
1,0,69,80,7680,7872
1,0,74,80,7680,7872
2,0,57,80,7872,8064
1,0,69,80,7872,8064
1,0,73,80,7872,8064
1,0,76,80,7872,8064
1,0,62,80,8064,8256
1,0,69,80,8064,8256
1,0,74,80,8064,8160
1,0,78,80,8064,8160
1,0,73,80,8160,8256
1,0,76,80,8160,8256
2,0,55,80,8256,8448
1,0,69,80,8256,8448
1,0,76,80,8256,8352
1,0,79,80,8256,8352
1,0,74,80,8352,8448
1,0,78,80,8352,8448
2,0,57,80,8448,8640
1,0,69,80,8448,8640
1,0,73,80,8448,9216
1,0,76,80,8448,9216
2,0,59,80,8640,8832
1,0,67,80,8640,8736
1,0,66,80,8736,8832
1,0,61,80,8832,9024
1,0,64,80,8832,8928
1,0,69,80,8928,9024
2,0,57,80,9024,9216
1,0,67,80,9024,9120
1,0,69,80,9120,9216
2,0,50,80,9216,9408
1,0,66,80,9216,9600
1,0,69,80,9216,9600
1,0,78,80,9216,9600
2,0,52,80,9408,9600
2,0,54,80,9600,9792
2,0,57,80,9600,9792
1,0,67,80,9600,9696
1,0,76,80,9600,9696
1,0,66,80,9696,9792
1,0,74,80,9696,9792
2,0,55,80,9792,9984
2,0,59,80,9792,9984
1,0,64,80,9792,9888
1,0,73,80,9792,9888
1,0,62,80,9888,9984
1,0,71,80,9888,9984
2,0,52,80,9984,10176
1,0,71,80,9984,10368
1,0,76,80,9984,10368
1,0,79,80,9984,10368
2,0,55,80,10176,10368
2,0,57,80,10368,10560
1,0,69,80,10368,10560
1,0,74,80,10368,10464
1,0,78,80,10368,10464
1,0,73,80,10464,10560
1,0,76,80,10464,10560
1,0,61,80,10560,10752
1,0,69,80,10560,10752
1,0,74,80,10560,10656
1,0,74,80,10560,10656
1,0,73,80,10656,10752
1,0,76,80,10656,10752
1,0,62,80,10752,10944
1,0,69,80,10752,10944
1,0,78,80,10752,10944
1,0,81,80,10752,10944
2,0,55,80,10944,11136
1,0,71,80,10944,11136
1,0,76,80,10944,11040
1,0,79,80,10944,11040
1,0,74,80,11040,11136
1,0,78,80,11040,11136
2,0,57,80,11136,11328
1,0,64,80,11136,11328
1,0,73,80,11136,11424
1,0,76,80,11136,11424
2,0,45,80,11328,11520
1,0,69,80,11328,11520
1,0,74,80,11424,11520
1,0,74,80,11424,11520
2,0,50,80,11520,12288
1,0,66,80,11520,12288
1,0,74,80,11520,12288
1,0,74,80,11520,12288
2,0,50,80,12288,12672
1,0,66,80,12288,12672
1,0,69,80,12288,12672
2,0,50,80,12672,12864
1,0,67,80,12672,12864
1,0,71,80,12672,12864
2,0,50,80,12864,13056
1,0,66,80,12864,13056
1,0,69,80,12864,13056
2,0,45,80,13056,13632
1,0,64,80,13056,13632
1,0,67,80,13056,13632
2,0,45,80,13632,13824
1,0,62,80,13632,13824
1,0,66,80,13632,13824
2,0,45,80,13824,14016
1,0,64,80,13824,14016
1,0,67,80,13824,14016
2,0,45,80,14016,14112
1,0,62,80,14016,14112
1,0,66,80,14016,14112
2,0,45,80,14112,14208
1,0,64,80,14112,14208
1,0,67,80,14112,14208
2,0,45,80,14208,14400
1,0,66,80,14208,14400
1,0,69,80,14208,14400
2,0,45,80,14400,14592
1,0,64,80,14400,14592
1,0,67,80,14400,14592
2,0,50,80,14592,15168
1,0,62,80,14592,14784
1,0,66,80,14592,15168
2,0,50,80,14784,14976
2,0,54,80,14976,15168
2,0,45,80,15168,15360
2,0,57,80,15168,15360
1,0,64,80,15168,15360
2,0,50,80,15360,15552
1,0,66,80,15360,15552
2,0,45,80,15552,15744
2,0,57,80,15552,15744
1,0,64,80,15552,15648
1,0,66,80,15648,15744
1,0,64,80,15744,15936
1,0,67,80,15744,15936
2,0,45,80,15936,16128
2,0,57,80,15936,16128
1,0,66,80,15936,16032
1,0,64,80,16032,16128
2,0,50,80,16128,16320
1,0,66,80,16128,16320
2,0,45,80,16320,16512
2,0,57,80,16320,16512
1,0,64,80,16320,16416
1,0,66,80,16416,16512
1,0,64,80,16512,16704
1,0,67,80,16512,16704
2,0,45,80,16704,16896
2,0,57,80,16704,16896
1,0,66,80,16704,16800
1,0,64,80,16800,16896
2,0,50,80,16896,17088
2,0,50,80,16896,17088
1,0,66,80,16896,17040
1,0,68,80,17040,17088
2,0,50,80,17088,17184
2,0,57,80,17088,17280
1,0,66,80,17088,17232
2,0,50,80,17184,17280
1,0,68,80,17232,17280
2,0,50,80,17280,17472
1,0,62,80,17280,17568
1,0,68,80,17280,17568
2,0,50,80,17472,17664
1,0,62,80,17568,17664
1,0,66,80,17568,17616
1,0,68,80,17616,17664
2,0,45,80,17664,18432
1,0,64,80,17664,18432
1,0,69,80,17664,18432
1,0,62,80,18432,18624
1,0,74,80,18432,18624
1,0,78,80,18432,18624
1,0,81,80,18432,18816
1,0,61,80,18624,18816
1,0,69,80,18624,18816
1,0,76,80,18624,18816
2,0,59,80,18816,19008
1,0,66,80,18816,19008
1,0,74,80,18816,19008
1,0,83,80,18816,19008
1,0,61,80,19008,19104
1,0,64,80,19008,19200
1,0,73,80,19008,19200
1,0,81,80,19008,19200
1,0,62,80,19104,19200
1,0,64,80,19200,19392
1,0,64,80,19200,19392
1,0,71,80,19200,19392
1,0,79,80,19200,19776
2,0,59,80,19392,19584
1,0,64,80,19392,19584
1,0,73,80,19392,19488
1,0,74,80,19488,19584
2,0,52,80,19584,19776
1,0,71,80,19584,19776
1,0,76,80,19584,19776
2,0,54,80,19776,19872
1,0,71,80,19776,19968
1,0,74,80,19776,19968
1,0,78,80,19776,19968
2,0,55,80,19872,19968
2,0,57,80,19968,20160
1,0,73,80,19968,20160
1,0,73,80,19968,20160
1,0,76,80,19968,20160
2,0,55,80,20160,20352
1,0,64,80,20160,20352
1,0,71,80,20160,20352
1,0,78,80,20160,20256
1,0,79,80,20256,20352
2,0,54,80,20352,20544
1,0,66,80,20352,20544
1,0,69,80,20352,20544
1,0,81,80,20352,20544
2,0,52,80,20544,20736
1,0,67,80,20544,20736
1,0,71,80,20544,20640
1,0,79,80,20544,20736
1,0,73,80,20640,20736
2,0,50,80,20736,20928
1,0,69,80,20736,20928
1,0,74,80,20736,21312
1,0,78,80,20736,21312
2,0,54,80,20928,21120
1,0,69,80,20928,21120
2,0,55,80,21120,21312
1,0,71,80,21120,21312
2,0,57,80,21312,21504
1,0,73,80,21312,21504
1,0,73,80,21312,21408
1,0,76,80,21312,21504
1,0,71,80,21408,21504
1,0,62,80,21504,21696
1,0,69,80,21504,21696
1,0,74,80,21504,21696
1,0,78,80,21504,21696
2,0,57,80,21696,21888
1,0,69,80,21696,21888
1,0,73,80,21696,21792
1,0,76,80,21696,21792
1,0,74,80,21792,21888
1,0,78,80,21792,21888
1,0,73,80,21888,22080
1,0,76,80,21888,22080
1,0,79,80,21888,22080
2,0,57,80,22080,22272
1,0,69,80,22080,22272
1,0,74,80,22080,22176
1,0,78,80,22080,22176
1,0,73,80,22176,22272
1,0,76,80,22176,22272
1,0,62,80,22272,22464
1,0,69,80,22272,22464
1,0,74,80,22272,22464
1,0,78,80,22272,22464
2,0,57,80,22464,22656
1,0,69,80,22464,22656
1,0,73,80,22464,22560
1,0,76,80,22464,22560
1,0,74,80,22560,22656
1,0,78,80,22560,22656
1,0,73,80,22656,22848
1,0,76,80,22656,22848
1,0,79,80,22656,22848
2,0,57,80,22848,23040
1,0,69,80,22848,23040
1,0,74,80,22848,22944
1,0,78,80,22848,22944
1,0,73,80,22944,23040
1,0,76,80,22944,23040
2,0,50,80,23040,23232
1,0,66,80,23040,23232
1,0,74,80,23040,23232
1,0,78,80,23040,23184
1,0,80,80,23184,23232
1,0,62,80,23232,23424
1,0,69,80,23232,23424
1,0,74,80,23232,23424
1,0,78,80,23232,23376
1,0,80,80,23376,23424
2,0,59,80,23424,23616
1,0,62,80,23424,23616
1,0,74,80,23424,23616
1,0,80,80,23424,23712
2,0,52,80,23616,23808
1,0,64,80,23616,23808
1,0,71,80,23616,23808
1,0,78,80,23712,23760
1,0,80,80,23760,23808
2,0,57,80,23808,24000
