# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,55,80,192,384
2,0,55,80,384,576
2,0,57,80,576,768
2,0,59,80,768,1152
2,0,57,80,1152,1344
2,0,59,80,1344,1536
1,0,60,80,1536,1728
2,0,59,80,1728,1920
1,0,67,80,1728,1920
2,0,57,80,1920,2304
1,0,67,80,1920,2112
1,0,66,80,2112,2304
2,0,55,80,2304,2496
1,0,64,80,2304,2688
2,0,56,80,2496,2688
2,0,57,80,2688,2880
1,0,66,80,2688,2880
2,0,58,80,2880,3072
1,0,64,80,2880,3072
2,0,59,80,3072,3648
1,0,62,80,3072,3264
1,0,64,80,3264,3456
1,0,66,80,3456,3840
2,0,57,80,3648,3840
2,0,59,80,3840,4032
1,0,67,80,3840,4416
1,0,61,80,4032,4224
1,0,62,80,4224,4800
1,0,66,80,4416,4608
1,0,64,80,4608,4800
1,0,60,80,4800,4992
1,0,69,80,4800,4992
2,0,59,80,4992,5184
1,0,62,80,4992,5184
1,0,64,80,5184,5376
1,0,67,80,5184,5568
2,0,57,80,5376,6336
2,0,50,80,5568,5760
1,0,66,80,5568,5664
1,0,64,80,5664,5760
2,0,50,80,5760,5952
1,0,66,80,5760,5952
2,0,52,80,5952,6144
1,0,67,80,5952,6144
2,0,54,80,6144,6528
1,0,69,80,6144,6528
2,0,59,80,6336,6528
2,0,52,80,6528,6720
1,0,60,80,6528,6912
1,0,67,80,6528,6720
2,0,54,80,6720,6912
1,0,69,80,6720,6912
2,0,55,80,6912,7104
2,0,59,80,6912,7104
1,0,71,80,6912,7104
2,0,54,80,7104,7296
2,0,57,80,7104,7296
1,0,62,80,7104,7296
2,0,52,80,7296,7680
2,0,55,80,7296,7872
1,0,62,80,7296,7488
1,0,61,80,7488,7680
2,0,50,80,7680,7872
2,0,59,80,7680,8064
2,0,51,80,7872,8064
2,0,54,80,7872,8064
2,0,52,80,8064,8256
2,0,55,80,8064,8256
1,0,61,80,8064,8256
2,0,53,80,8256,8448
2,0,56,80,8256,8448
2,0,59,80,8256,8448
2,0,54,80,8448,9024
2,0,57,80,8448,9024
2,0,59,80,8640,8832
1,0,61,80,8832,9216
2,0,52,80,9024,9216
2,0,55,80,9024,9216
2,0,54,80,9216,9408
2,0,57,80,9216,9408
1,0,62,80,9216,9792
2,0,47,80,9408,9600
2,0,55,80,9408,9504
2,0,54,80,9504,9600
2,0,52,80,9600,10176
2,0,55,80,9600,10176
1,0,60,80,9792,9888
2,0,59,80,9888,9984
1,0,60,80,9984,10560
2,0,45,80,10176,10368
2,0,54,80,10176,10272
2,0,52,80,10272,10368
2,0,50,80,10368,10752
2,0,54,80,10368,10752
2,0,59,80,10560,10656
2,0,57,80,10656,10752
2,0,43,80,10752,10944
2,0,59,80,10752,10944
1,0,67,80,10752,11520
2,0,55,80,10944,11136
2,0,59,80,10944,11136
2,0,55,80,11136,11328
2,0,59,80,11136,11328
2,0,57,80,11328,11520
1,0,60,80,11328,11520
2,0,59,80,11520,11904
1,0,62,80,11520,11904
1,0,67,80,11520,11904
2,0,55,80,11712,11904
2,0,55,80,11904,12096
1,0,61,80,11904,12096
1,0,64,80,11904,12096
1,0,69,80,11904,12096
2,0,54,80,12096,12288
1,0,63,80,12096,12288
1,0,66,80,12096,12288
1,0,72,80,12096,12192
1,0,71,80,12192,12288
2,0,52,80,12288,12576
1,0,64,80,12288,12480
1,0,67,80,12288,12480
1,0,71,80,12288,12672
2,0,55,80,12480,12672
2,0,59,80,12480,12672
2,0,50,80,12576,12672
2,0,48,80,12672,12864
2,0,55,80,12672,12864
1,0,64,80,12672,12864
1,0,69,80,12672,12960
2,0,50,80,12864,13056
2,0,54,80,12864,13056
1,0,62,80,12864,13056
1,0,71,80,12960,13056
2,0,45,80,13056,13248
2,0,52,80,13056,13248
1,0,60,80,13056,13248
1,0,72,80,13056,13440
2,0,42,80,13248,13440
2,0,57,80,13248,13632
1,0,62,80,13248,13440
2,0,43,80,13440,13632
1,0,62,80,13440,13824
1,0,71,80,13440,13824
2,0,47,80,13632,13824
2,0,55,80,13632,14016
2,0,48,80,13824,14016
1,0,64,80,13824,14016
1,0,69,80,13824,14304
2,0,45,80,14016,14208
2,0,55,80,14016,14400
1,0,60,80,14016,14208
2,0,50,80,14208,14400
1,0,62,80,14208,14400
1,0,67,80,14304,14400
2,0,38,80,14400,14592
2,0,54,80,14400,14592
1,0,60,80,14400,14592
1,0,69,80,14400,14592
2,0,40,80,14592,14784
2,0,55,80,14592,14784
2,0,59,80,14592,14784
1,0,67,80,14592,16128
2,0,52,80,14784,14976
2,0,55,80,14784,14976
1,0,60,80,14784,14976
2,0,47,80,14976,15168
2,0,55,80,14976,15168
1,0,62,80,14976,15552
2,0,45,80,15168,15264
2,0,53,80,15168,15360
2,0,47,80,15264,15360
2,0,48,80,15360,16128
2,0,52,80,15360,15936
1,0,60,80,15552,15648
2,0,59,80,15648,15744
1,0,60,80,15744,15936
2,0,51,80,15936,16128
2,0,57,80,15936,16128
2,0,43,80,16128,16320
2,0,50,80,16128,16320
2,0,59,80,16128,16320
2,0,59,80,16320,16512
1,0,60,80,16512,16704
2,0,59,80,16704,16896
2,0,57,80,16896,17088
2,0,55,80,17088,17280
1,0,64,80,17088,17280
2,0,54,80,17280,17472
1,0,62,80,17280,17472
2,0,55,80,17472,17664
1,0,64,80,17472,17664
2,0,57,80,17664,17856
1,0,66,80,17664,17856
2,0,59,80,17856,18048
1,0,67,80,17856,18048
1,0,60,80,18048,18816
1,0,69,80,18048,18240
1,0,67,80,18240,18432
