# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,61,80,0,1440
1,0,65,80,0,1440
1,0,70,80,0,1440
1,0,77,80,0,1440
1,0,60,80,1440,2880
1,0,65,80,1440,2880
1,0,68,80,1440,2880
1,0,77,80,1440,2880
2,0,58,80,2880,4320
1,0,65,80,2880,4320
1,0,73,80,2880,4320
1,0,77,80,2880,4320
2,0,56,80,4320,5760
1,0,65,80,4320,5760
1,0,72,80,4320,5760
1,0,77,80,4320,5760
1,0,61,80,5760,7200
1,0,65,80,5760,7200
1,0,70,80,5760,7200
1,0,77,80,5760,7200
1,0,60,80,7200,10080
1,0,65,80,7200,8640
1,0,68,80,7200,8640
1,0,77,80,7200,8640
2,0,48,80,8640,10080
1,0,67,80,8640,10080
1,0,70,80,8640,10080
1,0,77,80,8640,9120
1,0,76,80,9120,10080
2,0,41,80,10080,11520
1,0,68,80,10080,10560
1,0,72,80,10080,10560
1,0,72,80,10080,10560
2,0,48,80,10560,12000
1,0,68,80,10560,10800
1,0,72,80,10560,10800
1,0,72,80,10560,10800
1,0,67,80,10800,11040
1,0,70,80,10800,11040
1,0,70,80,10800,11040
1,0,65,80,11040,11280
1,0,68,80,11040,11280
1,0,68,80,11040,11280
1,0,67,80,11280,11520
1,0,70,80,11280,11520
1,0,70,80,11280,11520
2,0,41,80,11520,12960
1,0,65,80,11520,12000
1,0,68,80,11520,12240
1,0,68,80,11520,12000
2,0,48,80,12000,13440
1,0,65,80,12000,12240
1,0,68,80,12000,12240
1,0,64,80,12240,12480
1,0,67,80,12240,12480
1,0,67,80,12240,12480
1,0,60,80,12480,12720
1,0,64,80,12480,12720
1,0,64,80,12480,12720
1,0,64,80,12720,12960
1,0,67,80,12720,12960
1,0,67,80,12720,12960
2,0,41,80,12960,14400
1,0,60,80,12960,14400
1,0,65,80,12960,13440
1,0,65,80,12960,14400
2,0,48,80,13440,14880
1,0,65,80,13440,14160
2,0,41,80,14400,15840
1,0,60,80,14400,14880
1,0,64,80,14400,14880
1,0,64,80,14400,14880
2,0,48,80,14880,16320
1,0,62,80,14880,15120
1,0,65,80,14880,15120
1,0,65,80,14880,15120
1,0,64,80,15120,15360
