# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1250000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,50,80,192,384
2,0,47,80,576,768
2,0,42,80,768,960
2,0,43,80,1152,1344
2,0,45,80,1344,1536
2,0,52,80,1728,1920
2,0,45,80,1920,2112
2,0,57,80,2112,2304
2,0,50,80,2496,2688
2,0,47,80,2880,3072
2,0,42,80,3072,3264
2,0,43,80,3456,3648
2,0,45,80,3648,3840
2,0,45,80,3840,4032
2,0,50,80,4224,4416
2,0,38,80,4416,4608
1,0,62,80,4800,5184
2,0,58,80,5184,5376
2,0,59,80,5376,5568
2,0,47,80,5568,5760
2,0,52,80,5952,6336
2,0,56,80,6336,6528
2,0,57,80,6528,6912
2,0,50,80,8832,9216
2,0,38,80,9216,9408
2,0,37,80,9408,9984
2,0,42,80,9984,10176
2,0,54,80,10176,10368
2,0,54,80,10560,10752
2,0,54,80,10752,10944
2,0,54,80,11136,11328
2,0,54,80,11328,11520
2,0,50,80,12864,13248
2,0,47,80,13248,13440
2,0,42,80,13440,13824
2,0,43,80,13824,14016
2,0,45,80,14016,14400
2,0,52,80,14400,14592
2,0,57,80,14592,14784
2,0,50,80,15168,15552
2,0,47,80,15552,15744
2,0,42,80,15744,16128
2,0,43,80,16128,16320
2,0,45,80,16320,16512
2,0,45,80,16512,16896
2,0,50,80,16896,17088
2,0,38,80,17088,17280
2,0,46,80,18624,18816
2,0,46,80,18816,19008
2,0,46,80,19008,19200
2,0,53,80,19200,19584
2,0,53,80,19776,19968
2,0,53,80,19968,20160
2,0,53,80,20160,20352
2,0,46,80,20352,20736
2,0,57,80,20928,21120
2,0,57,80,21120,21312
2,0,53,80,21312,21504
2,0,48,80,21504,21696
2,0,48,80,21696,21888
2,0,48,80,21888,22080
2,0,53,80,22080,22464
2,0,46,80,23232,23424
2,0,46,80,23424,23616
2,0,46,80,23616,23808
2,0,53,80,23808,24192
2,0,53,80,24384,24576
2,0,53,80,24576,24768
2,0,53,80,24768,24960
2,0,46,80,24960,25344
2,0,45,80,25536,25728
2,0,45,80,25728,25920
2,0,45,80,25920,26112
2,0,44,80,26112,26304
2,0,44,80,26304,26496
2,0,44,80,26496,26688
2,0,43,80,26688,27072
2,0,55,80,27840,28224
2,0,43,80,28416,28800
2,0,53,80,28800,28992
2,0,51,80,28992,29184
2,0,48,80,29184,29376
2,0,43,80,29376,29520
2,0,39,80,29520,29568
2,0,36,80,29568,29760
2,0,36,80,29760,29952
2,0,48,80,31296,31488
2,0,48,80,31872,32064
2,0,48,80,32448,32640
2,0,48,80,33024,33216
2,0,49,80,33600,34368
2,0,49,80,35328,35520
2,0,50,80,35904,36288
2,0,47,80,36288,36480
2,0,42,80,36480,36864
2,0,43,80,36864,37056
2,0,45,80,37056,37440
2,0,52,80,37440,37632
2,0,57,80,37632,37824
2,0,50,80,38208,38592
2,0,47,80,38592,38784
2,0,42,80,38784,39168
2,0,43,80,39168,39360
2,0,45,80,39360,39552
2,0,45,80,39552,39936
2,0,50,80,39936,40128
2,0,38,80,40128,40320
2,0,50,80,40512,40704
2,0,47,80,40896,41088
2,0,42,80,41088,41280
2,0,43,80,41472,41664
2,0,45,80,41664,41856
2,0,40,80,42048,42240
2,0,45,80,42240,42432
2,0,57,80,42432,42624
2,0,50,80,42816,43008
2,0,47,80,43200,43392
2,0,42,80,43392,43584
2,0,43,80,43776,43968
2,0,45,80,43968,44160
2,0,45,80,44352,44544
2,0,50,80,44544,44736
2,0,38,80,44736,44928
1,0,62,80,45120,45504
2,0,58,80,45504,45696
2,0,59,80,45696,46080
2,0,52,80,46272,46656
2,0,44,80,46656,46848
2,0,45,80,46848,47232
2,0,50,80,49152,49536
2,0,38,80,49536,49728
2,0,37,80,49728,50304
2,0,42,80,50304,50496
2,0,54,80,50496,50688
2,0,54,80,50880,51072
2,0,54,80,51072,51264
2,0,54,80,51456,51648
2,0,54,80,51648,51840
2,0,50,80,53184,53376
2,0,47,80,53568,53760
2,0,42,80,53760,53952
2,0,43,80,54144,54336
2,0,45,80,54336,54528
2,0,40,80,54720,54912
2,0,45,80,54912,55104
2,0,57,80,55104,55296
2,0,50,80,55488,55872
2,0,47,80,55872,56064
2,0,42,80,56064,56448
2,0,43,80,56448,56640
2,0,45,80,56640,57024
2,0,57,80,57024,57216
2,0,59,80,57216,57600
2,0,45,80,62208,62352
2,0,50,80,62352,62400
2,0,54,80,62400,62592
2,0,54,80,62592,62784
2,0,45,80,62784,62928
2,0,52,80,62928,62976
2,0,55,80,62976,63168
2,0,55,80,63168,63360
2,0,45,80,63360,63504
2,0,50,80,63504,63552
2,0,56,80,63552,63744
2,0,56,80,63744,63936
2,0,45,80,63936,64080
2,0,55,80,64080,64128
2,0,58,80,64128,64320
2,0,57,80,64320,64512
2,0,55,80,64512,64704
2,0,54,80,64704,67392
2,0,43,80,67392,67536
2,0,47,80,67536,67584
2,0,52,80,67584,67776
2,0,52,80,67776,67968
2,0,39,80,68544,68592
2,0,40,80,68592,68640
2,0,39,80,68640,68688
2,0,40,80,68688,68736
2,0,43,80,68736,68928
2,0,43,80,68928,69120
2,0,57,80,69888,70080
2,0,57,80,70464,70656
2,0,57,80,71040,71232
2,0,45,80,71616,72192
2,0,38,80,72192,72384
2,0,38,80,72384,72768
2,0,38,80,72768,72960
2,0,38,80,72960,73344
2,0,38,80,73344,73536
2,0,38,80,73536,73920
2,0,38,80,73920,74112
2,0,38,80,74112,74496
2,0,38,80,74496,74688
2,0,38,80,74688,75072
2,0,38,80,75072,75264
2,0,38,80,75264,75648
2,0,38,80,75648,75840
2,0,38,80,75840,76224
2,0,38,80,76224,76416
2,0,38,80,76416,76800
2,0,38,80,76800,76992
2,0,37,80,77184,77376
2,0,38,80,77376,77568
2,0,37,80,77760,77952
2,0,38,80,77952,78144
2,0,38,80,78144,78336
2,0,38,80,78336,78528
2,0,38,80,78528,78720
