# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,42,80,0,960
2,0,49,80,0,480
2,0,58,80,0,480
1,0,70,80,0,960
2,0,58,80,240,960
2,0,50,80,480,960
1,0,68,80,480,720
1,0,66,80,720,960
2,0,42,80,960,1920
2,0,50,80,960,1440
2,0,58,80,960,1920
1,0,65,80,960,1440
1,0,70,80,960,1680
1,0,70,80,1200,1920
2,0,51,80,1440,1920
1,0,63,80,1440,1920
1,0,70,80,1680,1920
2,0,43,80,1920,2880
2,0,49,80,1920,2400
2,0,58,80,1920,2880
1,0,63,80,1920,2400
1,0,70,80,1920,2160
1,0,72,80,2160,2400
2,0,51,80,2400,2880
1,0,63,80,2400,2760
1,0,73,80,2400,2640
1,0,72,80,2640,2880
1,0,61,80,2760,2880
2,0,44,80,2880,3840
2,0,54,80,2880,3360
1,0,60,80,2880,3840
1,0,65,80,2880,3120
1,0,68,80,2880,3600
1,0,68,80,2880,3840
1,0,64,80,3120,3840
2,0,54,80,3360,3840
2,0,56,80,3360,3840
1,0,60,80,3360,3840
1,0,70,80,3600,3840
2,0,37,80,3840,4320
2,0,37,80,3840,5280
2,0,44,80,3840,4320
2,0,44,80,3840,5280
2,0,53,80,3840,4320
2,0,53,80,3840,4800
1,0,68,80,3840,4320
1,0,77,80,3840,4320
1,0,80,80,3840,4320
1,0,65,80,4000,4160
1,0,68,80,4160,5280
2,0,53,80,4320,5280
2,0,56,80,4320,4800
1,0,61,80,4320,4800
1,0,63,80,4320,4800
1,0,75,80,4320,4680
1,0,77,80,4320,4800
1,0,80,80,4320,4800
1,0,73,80,4680,4800
2,0,56,80,4800,5280
2,0,58,80,4800,5280
1,0,61,80,4800,5280
1,0,65,80,4800,5280
1,0,70,80,4800,5280
1,0,77,80,4800,5160
1,0,80,80,4800,5160
1,0,78,80,5160,5220
1,0,82,80,5160,5220
1,0,77,80,5220,5280
1,0,80,80,5220,5280
2,0,37,80,5280,5760
2,0,44,80,5280,5760
1,0,68,80,5280,5520
1,0,70,80,5280,5440
1,0,77,80,5280,5760
1,0,80,80,5280,5760
1,0,67,80,5440,5600
1,0,68,80,5600,5760
2,0,56,80,5760,6000
1,0,61,80,5760,6240
1,0,78,80,5760,5920
1,0,82,80,5760,6240
1,0,77,80,5920,6160
2,0,58,80,6000,6240
1,0,70,80,6160,6240
1,0,63,80,6240,6400
1,0,65,80,6240,6720
1,0,68,80,6240,6720
1,0,60,80,6400,6560
1,0,61,80,6560,6720
2,0,42,80,6720,7200
2,0,49,80,6720,7200
2,0,58,80,6720,7200
1,0,65,80,6720,7200
1,0,70,80,6720,7200
1,0,70,80,6960,7200
2,0,39,80,7200,7680
2,0,46,80,7200,7680
2,0,54,80,7200,7680
1,0,60,80,7200,7680
1,0,66,80,7200,7680
1,0,72,80,7200,7560
1,0,70,80,7560,7680
2,0,41,80,7680,8160
2,0,51,80,7680,8160
2,0,57,80,7680,8160
1,0,61,80,7680,7920
1,0,65,80,7680,8160
1,0,65,80,7680,8160
1,0,60,80,7920,8160
2,0,42,80,8160,8640
2,0,49,80,8160,8640
2,0,53,80,8160,8640
2,0,58,80,8160,8640
1,0,65,80,8160,8640
1,0,70,80,8160,8640
1,0,70,80,8400,8640
2,0,43,80,8640,9120
2,0,48,80,8640,9120
2,0,55,80,8640,9120
2,0,58,80,8640,9120
1,0,64,80,8640,9120
1,0,72,80,8640,8880
1,0,70,80,8880,9120
2,0,45,80,9120,9600
2,0,51,80,9120,9600
2,0,53,80,9120,9600
1,0,61,80,9120,9360
1,0,65,80,9120,9360
1,0,60,80,9360,9600
1,0,65,80,9360,9600
2,0,46,80,9600,10080
2,0,51,80,9600,10080
2,0,58,80,9600,10080
1,0,60,80,9600,10080
1,0,66,80,9600,10080
1,0,70,80,9600,10080
1,0,72,80,9600,10080
1,0,78,80,9840,10080
2,0,45,80,10080,11040
2,0,53,80,10080,11040
1,0,60,80,10080,11040
1,0,65,80,10080,10320
1,0,72,80,10080,11040
1,0,77,80,10080,10320
1,0,66,80,10320,10560
1,0,75,80,10320,10560
1,0,65,80,10560,10800
1,0,73,80,10560,10920
1,0,63,80,10800,11040
1,0,72,80,10920,11040
2,0,55,80,11040,11520
2,0,58,80,11040,11520
1,0,63,80,11040,11360
1,0,65,80,11040,11520
1,0,72,80,11040,11280
1,0,70,80,11280,11520
1,0,61,80,11360,11520
2,0,54,80,11520,12000
2,0,58,80,11520,12000
1,0,60,80,11520,11880
1,0,65,80,11520,11760
1,0,64,80,11760,12000
1,0,69,80,11760,11880
1,0,61,80,11880,12000
1,0,70,80,11880,12000
2,0,41,80,12000,12480
2,0,51,80,12000,12480
1,0,61,80,12000,12240
1,0,63,80,12000,12480
1,0,65,80,12000,12360
1,0,65,80,12000,12480
1,0,69,80,12000,12480
1,0,60,80,12240,12480
1,0,65,80,12360,12480
2,0,41,80,12480,12960
2,0,49,80,12480,12960
2,0,53,80,12480,12960
1,0,60,80,12480,12960
1,0,65,80,12640,12800
1,0,70,80,12800,12960
2,0,53,80,12960,13440
2,0,58,80,12960,13440
1,0,60,80,12960,13440
1,0,70,80,12960,13440
1,0,78,80,12960,13120
1,0,77,80,13120,13360
1,0,72,80,13360,13440
2,0,53,80,13440,13920
2,0,58,80,13440,13920
1,0,61,80,13440,13920
1,0,64,80,13440,13680
1,0,70,80,13440,13920
1,0,65,80,13680,13920
2,0,46,80,13920,14400
2,0,49,80,13920,14400
2,0,54,80,13920,14400
1,0,61,80,13920,14160
1,0,66,80,13920,14160
1,0,70,80,13920,14080
1,0,72,80,14080,14240
1,0,73,80,14240,14400
2,0,46,80,14400,14880
2,0,54,80,14400,14880
1,0,61,80,14400,14880
1,0,73,80,14400,14880
1,0,84,80,14400,14560
1,0,82,80,14560,14800
1,0,78,80,14800,14880
2,0,58,80,14880,15360
1,0,61,80,14880,15360
1,0,68,80,14880,15040
1,0,73,80,14880,15360
1,0,66,80,15040,15200
1,0,65,80,15200,15360
2,0,41,80,15360,15840
2,0,52,80,15360,15840
1,0,62,80,15360,15520
1,0,64,80,15360,15840
1,0,61,80,15520,15760
2,0,55,80,15760,15840
2,0,52,80,15840,16160
2,0,54,80,15840,16160
1,0,60,80,15840,16160
1,0,70,80,16000,16160
2,0,50,80,16160,16320
2,0,54,80,16160,16320
2,0,59,80,16160,16320
1,0,71,80,16160,16320
2,0,41,80,16320,16800
2,0,50,80,16320,16800
2,0,56,80,16320,16800
1,0,62,80,16320,16800
1,0,66,80,16320,16800
1,0,74,80,16320,16480
1,0,73,80,16480,16760
2,0,59,80,16760,16800
2,0,42,80,16800,17280
2,0,49,80,16800,17280
2,0,56,80,16800,16960
2,0,57,80,16800,17120
2,0,54,80,16960,17120
2,0,54,80,17120,17280
1,0,69,80,17120,17280
2,0,50,80,17280,17760
2,0,54,80,17280,17600
1,0,60,80,17280,17760
1,0,69,80,17280,17440
1,0,68,80,17440,17600
2,0,56,80,17600,17760
1,0,66,80,17600,17760
2,0,49,80,17760,18240
2,0,54,80,17760,17920
